Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,3.91,3.91,3.91,3.91,000,3.91
2013-09-26,3.92,3.92,3.90,3.90,800,3.90
2013-09-25,3.92,3.92,3.92,3.92,000,3.92
2013-09-24,4.09,4.09,3.92,3.92,700,3.92
2013-09-23,4.09,4.09,4.09,4.09,000,4.09
2013-09-20,4.09,4.09,4.09,4.09,000,4.09
2013-09-19,4.09,4.09,4.09,4.09,000,4.09
2013-09-18,4.09,4.09,4.01,4.01,400,4.01
2013-09-17,4.09,4.09,4.09,4.09,000,4.09
2013-09-16,4.09,4.09,4.09,4.09,000,4.09
2013-09-13,4.02,4.02,4.02,4.02,000,4.02
2013-09-12,4.01,4.01,4.01,4.01,000,4.01
2013-09-11,4.09,4.09,4.00,4.00,200,4.00
2013-09-10,4.09,4.09,4.09,4.09,000,4.09
2013-09-09,4.09,4.09,4.09,4.09,000,4.09
2013-09-06,3.90,4.10,3.90,4.10,1300,4.10
2013-09-05,3.88,3.90,3.88,3.90,000,3.90
2013-09-04,3.89,3.89,3.89,3.89,000,3.89
2013-09-03,3.89,3.89,3.89,3.89,000,3.89
2013-09-02,3.89,3.89,3.89,3.89,000,3.89
2013-08-30,3.92,3.92,3.90,3.90,000,3.90
2013-08-29,3.92,3.92,3.92,3.92,000,3.92
2013-08-28,3.91,3.91,3.91,3.91,000,3.91
2013-08-27,3.90,3.90,3.90,3.90,000,3.90
2013-08-26,3.90,3.90,3.90,3.90,200,3.90
2013-08-23,4.02,4.02,3.80,3.80,1000,3.80
2013-08-22,3.91,3.91,3.91,3.91,000,3.91
2013-08-21,3.91,3.91,3.91,3.91,000,3.91
2013-08-20,3.91,3.91,3.91,3.91,000,3.91
2013-08-19,3.91,3.91,3.91,3.91,000,3.91
2013-08-16,3.91,3.91,3.91,3.91,000,3.91
2013-08-15,3.91,3.91,3.91,3.91,000,3.91
2013-08-14,3.87,3.87,3.87,3.87,000,3.87
2013-08-13,3.98,3.98,3.86,3.86,700,3.86
2013-08-12,3.98,3.98,3.98,3.98,000,3.98
2013-08-09,3.98,3.98,3.98,3.98,000,3.98
2013-08-08,3.98,3.98,3.98,3.98,000,3.98
2013-08-07,3.98,3.98,3.98,3.98,000,3.98
2013-08-06,3.98,3.98,3.98,3.98,000,3.98
2013-08-05,3.98,3.98,3.98,3.98,000,3.98
2013-08-02,3.98,3.98,3.98,3.98,000,3.98
2013-08-01,4.01,4.01,3.98,3.98,400,3.98
2013-07-31,4.20,4.20,4.00,4.00,1000,4.00
2013-07-30,4.20,4.20,4.20,4.20,300,4.20
2013-07-29,4.01,4.35,4.00,4.00,3500,4.00
2013-07-26,4.12,4.12,4.00,4.00,200,4.00
2013-07-25,4.12,4.12,4.12,4.12,000,4.12
2013-07-24,4.05,4.12,4.05,4.12,1900,4.12
2013-07-23,3.77,4.06,3.77,4.06,1000,4.06
2013-07-22,3.77,3.77,3.77,3.77,000,3.77
2013-07-19,3.92,3.92,3.76,3.76,300,3.76
2013-07-18,3.91,3.91,3.91,3.91,000,3.91
2013-07-17,3.80,3.92,3.80,3.92,100,3.92
2013-07-16,3.91,3.92,3.80,3.92,1400,3.92
2013-07-15,4.00,4.00,3.90,3.90,000,3.90
2013-07-12,4.00,4.00,4.00,4.00,000,4.00
2013-07-11,3.91,4.00,3.91,4.00,1000,4.00
2013-07-10,3.91,3.91,3.91,3.91,000,3.91
2013-07-09,3.91,3.91,3.91,3.91,000,3.91
2013-07-08,3.91,3.91,3.91,3.91,000,3.91
2013-07-05,4.05,4.05,3.91,3.91,700,3.91
2013-07-04,4.05,4.05,4.05,4.05,100,4.05
2013-07-03,4.05,4.05,4.05,4.05,000,4.05
2013-07-02,4.05,4.05,4.05,4.05,000,4.05
2013-07-01,4.00,4.20,3.97,4.20,200,4.20
2013-06-28,4.07,4.07,4.00,4.00,100,4.00
2013-06-27,4.11,4.11,4.06,4.06,300,4.06
2013-06-26,4.11,4.11,4.11,4.11,000,4.11
2013-06-25,4.15,4.24,4.10,4.10,700,4.10
2013-06-24,4.15,4.15,4.14,4.14,300,4.14
2013-06-21,4.15,4.15,4.15,4.15,000,4.15
2013-06-20,4.25,4.25,4.14,4.14,400,4.14
2013-06-19,4.24,4.24,4.24,4.24,100,4.24
2013-06-18,4.31,4.31,4.31,4.31,000,4.31
2013-06-17,4.31,4.31,4.31,4.31,000,4.31
2013-06-14,4.31,4.31,4.31,4.31,000,4.31
2013-06-13,4.31,4.31,4.31,4.31,000,4.31
2013-06-12,4.30,4.30,4.30,4.30,000,4.30
2013-06-11,4.36,4.36,4.30,4.30,100,4.30
2013-06-10,4.12,4.36,4.12,4.36,1000,4.36
2013-06-07,4.11,4.11,4.11,4.11,000,4.11
2013-06-06,4.11,4.11,4.11,4.11,000,4.11
2013-06-05,4.11,4.11,4.11,4.11,000,4.11
2013-06-04,4.15,4.15,4.10,4.10,100,4.10
2013-06-03,4.15,4.15,4.15,4.15,000,4.15
2013-05-31,4.15,4.15,4.15,4.15,000,4.15
2013-05-30,4.23,4.23,4.14,4.14,200,4.14
2013-05-29,4.23,4.23,4.23,4.23,000,4.23
2013-05-28,4.23,4.23,4.23,4.23,000,4.23
2013-05-27,4.23,4.23,4.23,4.23,000,4.23
2013-05-24,4.23,4.23,4.23,4.23,000,4.23
2013-05-23,4.28,4.28,4.14,4.24,1600,4.24
2013-05-22,4.51,4.51,4.20,4.28,2000,4.28
2013-05-21,4.51,4.51,4.51,4.51,000,4.51
2013-05-20,4.38,4.38,4.38,4.38,000,4.38
2013-05-17,4.38,4.38,4.38,4.38,000,4.38
2013-05-16,4.50,4.50,4.36,4.36,400,4.36
2013-05-15,4.49,4.49,4.49,4.49,000,4.49
2013-05-14,4.49,4.49,4.49,4.49,000,4.49
2013-05-13,4.48,4.48,4.48,4.48,200,4.48
2013-05-10,4.57,4.57,4.48,4.48,1000,4.48
2013-05-09,4.57,4.57,4.57,4.57,000,4.57
2013-05-08,4.57,4.57,4.57,4.57,000,4.57
2013-05-07,4.59,4.59,4.50,4.52,200,4.52
2013-05-06,4.59,4.59,4.59,4.59,000,4.59
2013-05-03,4.59,4.59,4.59,4.59,000,4.59
2013-05-02,4.60,4.60,4.58,4.58,000,4.58
2013-05-01,4.60,4.60,4.60,4.60,000,4.60
2013-04-30,4.61,4.61,4.60,4.60,300,4.60
2013-04-29,4.61,4.61,4.61,4.61,000,4.61
2013-04-26,4.60,4.60,4.60,4.60,2100,4.60
2013-04-25,4.61,4.61,4.61,4.61,000,4.61
2013-04-24,4.67,4.67,4.60,4.60,100,4.60
2013-04-23,4.68,4.68,4.68,4.68,000,4.68
2013-04-22,4.61,4.68,4.61,4.68,800,4.68
2013-04-19,4.60,4.60,4.60,4.60,000,4.60
2013-04-18,4.61,4.61,4.61,4.61,000,4.61
2013-04-17,4.61,4.61,4.61,4.61,000,4.61
2013-04-16,4.60,4.60,4.60,4.60,100,4.60
2013-04-15,4.61,4.61,4.60,4.60,600,4.60
2013-04-12,4.61,4.61,4.60,4.60,1400,4.60
2013-04-11,4.61,4.61,4.61,4.61,000,4.61
2013-04-10,4.61,4.61,4.61,4.61,000,4.61
2013-04-09,4.60,4.62,4.60,4.60,3600,4.60
2013-04-08,4.61,4.61,4.60,4.60,2000,4.60
2013-04-05,4.61,4.61,4.60,4.60,1400,4.60
2013-04-04,4.61,4.61,4.61,4.61,000,4.61
2013-04-03,4.61,4.61,4.61,4.61,000,4.61
2013-04-02,4.61,4.61,4.61,4.61,000,4.61
2013-04-01,4.61,4.61,4.61,4.61,000,4.61
2013-03-29,4.61,4.61,4.61,4.61,000,4.61
2013-03-28,4.61,4.61,4.61,4.61,000,4.61
2013-03-27,4.60,4.60,4.60,4.60,1100,4.60
2013-03-26,4.61,4.61,4.60,4.60,3800,4.60
2013-03-25,4.70,4.70,4.60,4.60,1700,4.60
2013-03-22,4.70,4.70,4.70,4.70,000,4.70
2013-03-21,4.61,4.70,4.60,4.70,3000,4.70
2013-03-20,4.30,4.72,4.30,4.60,37800,4.60
2013-03-19,4.00,4.31,4.00,4.31,3300,4.31
2013-03-18,4.00,4.00,4.00,4.00,700,4.00
2013-03-15,4.05,4.05,4.05,4.05,000,4.05
2013-03-14,4.05,4.05,4.05,4.05,000,4.05
2013-03-13,4.05,4.05,4.05,4.05,000,4.05
2013-03-12,4.05,4.05,4.05,4.05,000,4.05
