Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,11.00,11.01,10.11,10.59,1100,10.59
2013-09-26,11.35,11.35,11.02,11.20,500,11.20
2013-09-25,12.31,12.31,11.26,11.26,2200,11.26
2013-09-24,12.34,12.34,12.30,12.30,300,12.30
2013-09-23,12.39,12.39,12.39,12.39,000,12.39
2013-09-20,12.64,12.64,12.30,12.49,100,12.49
2013-09-19,12.64,12.64,12.64,12.64,000,12.64
2013-09-18,12.94,12.94,12.30,12.64,100,12.64
2013-09-17,12.95,12.95,12.95,12.95,600,12.95
2013-09-16,12.94,12.94,12.94,12.94,000,12.94
2013-09-13,12.95,12.95,12.95,12.95,000,12.95
2013-09-12,12.95,12.95,12.95,12.95,000,12.95
2013-09-11,12.80,12.80,12.80,12.80,000,12.80
2013-09-10,12.80,12.80,12.80,12.80,400,12.80
2013-09-09,12.74,12.74,12.45,12.68,000,12.68
2013-09-06,12.54,12.54,12.45,12.45,100,12.45
2013-09-05,12.54,12.54,12.54,12.54,000,12.54
2013-09-04,12.54,12.54,12.54,12.54,000,12.54
2013-09-03,12.54,12.54,12.54,12.54,000,12.54
2013-09-02,12.34,12.55,12.34,12.55,200,12.55
2013-08-30,12.54,12.54,12.35,12.35,000,12.35
2013-08-29,12.54,12.54,12.54,12.54,000,12.54
2013-08-28,12.55,12.55,12.55,12.55,000,12.55
2013-08-27,12.99,12.99,12.30,12.55,200,12.55
2013-08-26,12.96,12.99,12.55,12.99,400,12.99
2013-08-23,12.96,12.96,12.96,12.96,000,12.96
2013-08-22,13.32,13.32,12.70,12.96,000,12.96
2013-08-21,13.32,13.32,13.32,13.32,000,13.32
2013-08-20,13.32,13.32,13.32,13.32,000,13.32
2013-08-19,13.36,13.36,13.36,13.36,000,13.36
2013-08-16,13.49,13.50,12.90,13.50,000,13.50
2013-08-15,13.59,13.59,13.59,13.59,000,13.59
2013-08-14,13.75,13.82,13.00,13.40,700,13.40
2013-08-13,13.66,13.75,13.65,13.75,800,13.75
2013-08-12,13.66,13.66,13.66,13.66,000,13.66
2013-08-09,13.40,13.60,13.03,13.60,500,13.60
2013-08-08,13.40,13.40,12.75,13.40,1100,13.40
2013-08-07,13.20,13.40,12.45,13.40,500,13.40
2013-08-06,13.00,13.20,13.00,13.20,300,13.20
2013-08-05,13.05,13.10,13.00,13.00,300,13.00
2013-08-02,12.99,13.03,12.99,13.03,300,13.03
2013-08-01,13.00,13.00,13.00,13.00,000,13.00
2013-07-31,12.99,13.00,12.30,13.00,500,13.00
2013-07-30,12.30,13.03,12.30,13.03,800,13.03
2013-07-29,12.98,12.99,12.98,12.99,100,12.99
2013-07-26,12.98,12.99,12.30,12.98,100,12.98
2013-07-25,13.10,13.10,13.10,13.10,000,13.10
2013-07-24,13.14,13.15,12.30,13.15,000,13.15
2013-07-23,13.14,13.14,13.14,13.14,000,13.14
2013-07-22,12.55,13.00,12.40,13.00,200,13.00
2013-07-19,12.30,12.85,12.30,12.55,1100,12.55
2013-07-18,12.84,12.84,12.84,12.84,000,12.84
2013-07-17,12.30,12.85,12.30,12.85,000,12.85
2013-07-16,12.59,12.85,12.50,12.50,600,12.50
2013-07-15,12.71,12.80,12.71,12.80,100,12.80
2013-07-12,12.70,12.71,12.70,12.71,000,12.71
2013-07-11,12.70,12.72,12.70,12.72,100,12.72
2013-07-10,12.69,12.70,12.69,12.70,200,12.70
2013-07-09,12.69,12.70,12.69,12.70,000,12.70
2013-07-08,12.69,12.70,12.30,12.70,100,12.70
2013-07-05,12.69,12.69,12.69,12.69,000,12.69
2013-07-04,12.50,12.87,12.30,12.85,100,12.85
2013-07-03,12.86,12.86,12.86,12.86,000,12.86
2013-07-02,12.76,12.87,12.76,12.87,1000,12.87
2013-07-01,12.99,12.99,12.99,12.99,000,12.99
2013-06-28,12.99,13.00,12.50,12.99,800,12.99
2013-06-27,12.99,12.99,12.99,12.99,000,12.99
2013-06-26,12.59,12.99,12.59,12.99,200,12.99
2013-06-25,12.98,12.98,12.30,12.59,1100,12.59
2013-06-24,13.04,13.04,12.40,12.98,400,12.98
2013-06-21,12.88,13.04,12.88,13.04,100,13.04
2013-06-20,13.09,13.09,12.50,12.88,000,12.88
2013-06-19,13.01,13.09,13.01,13.09,100,13.09
2013-06-18,13.01,13.01,13.01,13.01,000,13.01
2013-06-17,12.60,13.01,12.51,13.01,600,13.01
2013-06-14,12.71,13.01,12.60,13.01,200,13.01
2013-06-13,12.81,12.81,12.60,12.60,100,12.60
2013-06-12,12.81,12.81,12.80,12.80,000,12.80
2013-06-11,12.80,12.80,12.80,12.80,000,12.80
2013-06-10,13.00,13.00,13.00,13.00,100,13.00
2013-06-07,12.99,13.04,12.60,13.04,2100,13.04
2013-06-06,12.60,12.80,12.60,12.80,100,12.80
2013-06-05,12.79,12.79,12.79,12.79,000,12.79
2013-06-04,12.79,12.79,12.79,12.79,000,12.79
2013-06-03,12.80,12.80,12.70,12.80,500,12.80
2013-05-31,12.65,13.01,12.65,13.00,1000,13.00
2013-05-30,12.61,12.65,12.61,12.65,200,12.65
2013-05-29,12.60,12.61,12.60,12.60,1500,12.60
2013-05-28,12.64,12.65,12.50,12.65,1600,12.65
2013-05-27,12.64,12.64,12.64,12.64,000,12.64
2013-05-24,12.76,12.76,12.30,12.75,400,12.75
2013-05-23,12.98,12.98,12.76,12.76,000,12.76
2013-05-22,12.77,13.00,12.77,13.00,1100,13.00
2013-05-21,12.95,12.95,12.76,12.76,300,12.76
2013-05-20,12.96,12.96,12.96,12.96,100,12.96
2013-05-17,13.00,13.30,13.00,13.30,600,13.30
