Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,34.14,34.85,34.09,34.39,1522200,34.39
2013-09-26,34.81,35.22,34.32,34.41,1555000,34.41
2013-09-25,35.38,35.38,34.78,34.86,1750700,34.86
2013-09-24,35.20,35.62,34.73,35.30,1925300,35.30
2013-09-23,35.51,35.74,34.88,34.95,1612800,34.95
2013-09-20,35.22,35.61,34.98,35.58,1769100,35.58
2013-09-19,34.96,35.24,34.24,35.22,1604500,35.22
2013-09-18,34.10,34.44,33.71,34.37,663800,34.37
2013-09-17,33.82,34.07,33.62,34.07,825400,34.07
2013-09-16,34.01,34.34,33.67,33.80,901700,33.80
2013-09-13,34.50,34.70,33.86,33.93,1023200,33.93
2013-09-12,33.69,34.74,33.58,34.38,1714200,34.38
2013-09-11,32.40,33.60,32.40,33.56,1628500,33.56
2013-09-10,32.93,32.99,32.21,32.49,1412800,32.49
2013-09-09,32.70,33.24,32.69,32.91,714900,32.91
2013-09-06,33.33,33.35,32.73,32.76,617400,32.76
2013-09-05,33.12,33.47,32.87,33.29,616600,33.29
2013-09-04,32.80,33.40,32.62,33.11,840300,33.11
2013-09-03,33.32,33.86,32.60,32.85,1132700,32.85
2013-08-30,33.90,33.90,32.73,32.93,1046600,32.93
2013-08-29,33.80,34.24,33.74,33.95,758300,33.95
2013-08-28,34.13,34.37,33.84,33.88,680600,33.88
2013-08-27,34.59,34.74,33.90,34.05,720200,34.05
2013-08-26,34.85,35.25,34.75,34.87,603500,34.87
2013-08-23,34.35,35.22,34.01,34.94,1141400,34.94
2013-08-22,33.94,34.44,33.84,34.27,806700,34.27
2013-08-21,34.12,34.17,33.45,33.81,1743700,33.81
2013-08-20,34.25,34.66,33.91,34.26,1220500,34.26
2013-08-19,35.14,35.15,34.27,34.38,1194500,34.38
2013-08-16,35.31,35.58,34.85,35.21,815700,35.21
2013-08-15,35.77,35.81,35.20,35.45,1056400,35.45
2013-08-14,36.21,36.64,35.90,36.14,862200,36.14
2013-08-13,37.12,37.28,36.10,36.20,1120100,36.20
2013-08-12,37.25,37.60,37.11,37.41,783900,37.41
2013-08-09,36.77,37.62,36.70,37.53,1055200,37.53
2013-08-08,37.19,37.32,36.57,36.81,1404700,36.81
2013-08-07,37.46,38.40,36.58,36.69,4529000,36.69
2013-08-06,35.44,36.74,35.36,36.18,2490500,36.18
2013-08-05,35.73,36.00,34.93,35.40,1937000,35.40
2013-08-02,36.73,37.09,35.58,35.79,2833900,35.79
2013-08-01,37.13,38.01,36.80,37.90,877200,37.90
2013-07-31,36.65,37.19,36.43,36.84,744000,36.84
2013-07-30,36.61,36.81,36.01,36.56,690700,36.56
2013-07-29,38.01,38.12,36.46,36.60,1014700,36.60
2013-07-26,38.20,38.48,37.82,38.21,588100,38.21
2013-07-25,37.45,38.43,37.16,38.39,1009500,38.39
2013-07-24,37.38,37.62,37.09,37.45,514300,37.45
2013-07-23,37.24,37.57,36.88,37.30,512800,37.30
2013-07-22,37.40,37.53,36.88,37.15,603400,37.15
2013-07-19,37.26,37.59,36.82,37.29,932200,37.29
2013-07-18,37.57,37.94,37.34,37.35,1197300,37.35
2013-07-17,37.26,37.84,37.01,37.50,1004000,37.50
2013-07-16,38.18,38.27,37.10,37.41,584600,37.41
2013-07-15,37.96,38.46,37.38,38.30,884400,38.30
2013-07-12,36.98,38.16,36.88,37.90,591300,37.90
2013-07-11,37.64,37.88,36.68,36.98,1269600,36.98
2013-07-10,37.99,38.10,36.60,37.32,941900,37.32
2013-07-09,37.31,37.83,36.71,37.57,728100,37.57
2013-07-08,37.00,37.28,36.63,37.00,1003300,37.00
2013-07-05,36.30,36.50,36.12,36.45,436500,36.45
2013-07-03,36.44,36.60,35.82,36.20,690500,36.20
2013-07-02,36.69,37.54,36.31,36.63,1323900,36.63
2013-07-01,36.59,36.91,36.40,36.77,525600,36.77
2013-06-28,36.45,37.08,36.34,36.48,1253900,36.48
2013-06-27,35.82,37.07,35.82,36.64,870900,36.64
2013-06-26,35.39,36.06,34.93,35.76,1085900,35.76
2013-06-25,34.79,35.52,34.29,35.11,847700,35.11
2013-06-24,34.42,35.07,33.90,34.50,899600,34.50
2013-06-21,35.74,35.97,34.69,34.82,1149300,34.82
2013-06-20,36.18,36.30,35.40,35.50,659800,35.50
