Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.11,0.11,0.11,0.11,9100,0.11
2013-09-26,0.11,0.11,0.11,0.11,800,0.11
2013-09-25,0.13,0.13,0.11,0.11,15000,0.11
2013-09-24,0.15,0.15,0.15,0.15,7200,0.15
2013-09-23,0.13,0.15,0.13,0.15,13800,0.15
2013-09-20,0.12,0.13,0.12,0.13,9300,0.13
2013-09-19,0.12,0.12,0.12,0.12,10000,0.12
2013-09-18,0.13,0.13,0.10,0.10,25000,0.10
2013-09-17,0.14,0.14,0.13,0.13,10500,0.13
2013-09-16,0.15,0.15,0.15,0.15,000,0.15
2013-09-13,0.15,0.15,0.15,0.15,100,0.15
2013-09-12,0.15,0.15,0.15,0.15,000,0.15
2013-09-11,0.15,0.15,0.15,0.15,000,0.15
2013-09-10,0.14,0.16,0.14,0.15,18500,0.15
2013-09-09,0.14,0.16,0.14,0.16,4700,0.16
2013-09-06,0.20,0.20,0.15,0.17,73500,0.17
2013-09-05,0.19,0.20,0.19,0.20,600,0.20
2013-09-04,0.19,0.20,0.15,0.20,40900,0.20
2013-09-03,0.20,0.20,0.19,0.19,8600,0.19
2013-08-30,0.20,0.20,0.20,0.20,2500,0.20
2013-08-29,0.20,0.20,0.20,0.20,4200,0.20
2013-08-28,0.16,0.21,0.15,0.15,18800,0.15
2013-08-27,0.15,0.15,0.15,0.15,000,0.15
2013-08-26,0.20,0.20,0.15,0.15,6900,0.15
2013-08-23,0.20,0.22,0.20,0.22,1700,0.22
2013-08-22,0.22,0.22,0.20,0.20,17300,0.20
2013-08-21,0.20,0.20,0.02,0.17,35500,0.17
2013-08-20,0.20,0.20,0.20,0.20,10900,0.20
2013-08-19,0.14,0.28,0.14,0.28,3800,0.28
2013-08-16,0.15,0.15,0.15,0.15,6700,0.15
2013-08-15,0.15,0.15,0.15,0.15,000,0.15
2013-08-14,0.15,0.15,0.15,0.15,000,0.15
2013-08-13,0.20,0.20,0.15,0.15,6300,0.15
2013-08-12,0.18,0.22,0.18,0.22,8000,0.22
2013-08-09,0.19,0.19,0.19,0.19,6500,0.19
2013-08-08,0.19,0.19,0.19,0.19,5000,0.19
2013-08-07,0.21,0.21,0.20,0.20,5500,0.20
2013-08-06,0.27,0.27,0.27,0.27,000,0.27
2013-08-05,0.27,0.27,0.27,0.27,2500,0.27
2013-08-02,0.30,0.30,0.30,0.30,5000,0.30
2013-08-01,0.30,0.30,0.30,0.30,000,0.30
2013-07-31,0.30,0.30,0.30,0.30,000,0.30
2013-07-30,0.30,0.32,0.30,0.30,5600,0.30
2013-07-29,0.30,0.30,0.30,0.30,2800,0.30
2013-07-26,0.30,0.30,0.30,0.30,000,0.30
2013-07-25,0.30,0.30,0.30,0.30,000,0.30
2013-07-24,0.30,0.30,0.30,0.30,000,0.30
2013-07-23,0.30,0.30,0.30,0.30,000,0.30
2013-07-22,0.30,0.30,0.30,0.30,000,0.30
2013-07-19,0.28,0.30,0.28,0.30,3500,0.30
2013-07-18,0.23,0.23,0.23,0.23,3500,0.23
2013-07-17,0.20,0.20,0.20,0.20,000,0.20
2013-07-16,0.20,0.20,0.20,0.20,14900,0.20
2013-07-15,0.19,0.19,0.19,0.19,1000,0.19
2013-07-12,0.19,0.19,0.19,0.19,1200,0.19
2013-07-11,0.19,0.19,0.19,0.19,1600,0.19
2013-07-10,0.19,0.19,0.19,0.19,000,0.19
2013-07-09,0.19,0.19,0.19,0.19,000,0.19
2013-07-08,0.19,0.19,0.19,0.19,000,0.19
2013-07-05,0.19,0.19,0.19,0.19,000,0.19
2013-07-03,0.19,0.19,0.19,0.19,000,0.19
2013-07-02,0.19,0.19,0.19,0.19,000,0.19
2013-07-01,0.19,0.19,0.19,0.19,000,0.19
2013-06-28,0.19,0.19,0.19,0.19,000,0.19
2013-06-27,0.19,0.19,0.19,0.19,000,0.19
2013-06-26,0.19,0.19,0.19,0.19,000,0.19
2013-06-25,0.19,0.19,0.19,0.19,1700,0.19
2013-06-24,0.19,0.19,0.19,0.19,800,0.19
2013-06-21,0.21,0.21,0.21,0.21,1000,0.21
2013-06-20,0.23,0.23,0.18,0.19,90400,0.19
2013-06-19,0.19,0.19,0.19,0.19,2000,0.19
2013-06-18,0.30,0.30,0.23,0.25,18200,0.25
2013-06-17,0.19,0.49,0.19,0.23,14600,0.23
2013-06-14,0.75,0.75,0.75,0.75,100,0.75
2013-06-13,0.19,0.19,0.19,0.19,000,0.19
2013-06-12,0.19,0.19,0.19,0.19,600,0.19
2013-06-11,0.19,0.19,0.19,0.19,1000,0.19
2013-06-10,0.19,0.19,0.19,0.19,2400,0.19
2013-06-07,0.19,0.19,0.19,0.19,2000,0.19
2013-06-06,0.20,0.20,0.20,0.20,000,0.20
2013-06-05,0.20,0.20,0.20,0.20,000,0.20
2013-06-04,0.20,0.20,0.20,0.20,1000,0.20
2013-06-03,0.20,0.20,0.19,0.19,12000,0.19
2013-05-31,0.18,0.20,0.18,0.20,7000,0.20
2013-05-30,0.21,0.21,0.20,0.20,7000,0.20
2013-05-29,0.20,0.20,0.20,0.20,000,0.20
2013-05-28,0.20,0.20,0.20,0.20,000,0.20
2013-05-24,0.20,0.20,0.20,0.20,11300,0.20
2013-05-23,0.20,0.20,0.20,0.20,1000,0.20
2013-05-22,0.20,0.20,0.20,0.20,8100,0.20
2013-05-21,0.24,0.24,0.11,0.20,70300,0.20
2013-05-20,0.40,0.40,0.16,0.16,54300,0.16
2013-05-17,0.38,0.38,0.38,0.38,000,0.38
2013-05-16,0.38,0.38,0.38,0.38,000,0.38
2013-05-15,0.38,0.38,0.38,0.38,2000,0.38
2013-05-14,0.38,0.38,0.38,0.38,000,0.38
2013-05-13,0.45,0.45,0.38,0.38,3200,0.38
2013-05-10,0.45,0.45,0.45,0.45,000,0.45
2013-05-09,0.51,0.51,0.40,0.45,5000,0.45
2013-05-08,0.27,0.45,0.27,0.45,6200,0.45
2013-05-07,0.25,0.25,0.25,0.25,11900,0.25
2013-05-06,0.20,0.20,0.20,0.20,000,0.20
2013-05-03,0.25,0.25,0.20,0.20,10400,0.20
2013-05-02,0.20,0.20,0.20,0.20,000,0.20
2013-05-01,0.24,0.25,0.20,0.20,20500,0.20
2013-04-30,0.28,0.28,0.20,0.24,35000,0.24
2013-04-29,0.32,0.32,0.32,0.32,1700,0.32
