Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,7.10,7.10,7.10,7.10,000,7.10
2013-09-26,7.47,7.47,7.47,7.47,000,7.47
2013-09-25,7.47,7.47,7.47,7.47,000,7.47
2013-09-24,7.86,7.86,7.86,7.86,000,7.86
2013-09-23,7.86,7.86,7.86,7.86,000,7.86
2013-09-20,8.27,8.27,8.27,8.27,000,8.27
2013-09-19,8.70,8.70,8.70,8.70,000,8.70
2013-09-18,8.70,8.70,8.70,8.70,200,8.70
2013-09-17,8.33,8.33,8.33,8.33,000,8.33
2013-09-16,9.65,9.65,8.76,8.76,100,8.76
2013-09-13,10.10,10.10,9.22,9.22,100,9.22
2013-09-12,9.70,9.70,9.70,9.70,000,9.70
2013-09-11,9.25,9.25,9.25,9.25,000,9.25
2013-09-10,9.25,9.25,9.25,9.25,000,9.25
2013-09-09,9.25,9.25,9.25,9.25,000,9.25
2013-09-06,9.25,9.25,9.25,9.25,000,9.25
2013-09-05,9.25,9.25,9.25,9.25,000,9.25
2013-09-04,9.50,9.50,9.00,9.00,000,9.00
2013-09-03,9.25,9.25,9.25,9.25,000,9.25
2013-09-02,9.25,9.25,9.25,9.25,000,9.25
2013-08-30,9.40,9.40,9.40,9.40,000,9.40
2013-08-29,9.00,9.00,9.00,9.00,000,9.00
2013-08-28,8.60,8.60,8.60,8.60,000,8.60
2013-08-27,8.35,8.35,8.35,8.35,000,8.35
2013-08-26,8.00,8.00,8.00,8.00,000,8.00
2013-08-23,7.67,7.67,7.67,7.67,000,7.67
2013-08-22,7.67,7.67,7.67,7.67,000,7.67
2013-08-21,7.33,7.33,7.33,7.33,000,7.33
2013-08-20,8.09,8.09,7.33,7.33,300,7.33
2013-08-19,7.71,7.71,7.71,7.71,000,7.71
2013-08-16,7.35,7.35,7.35,7.35,000,7.35
2013-08-15,7.00,7.00,7.00,7.00,000,7.00
2013-08-14,7.63,7.63,7.00,7.00,000,7.00
2013-08-13,7.15,7.29,7.15,7.29,000,7.29
2013-08-12,6.95,6.95,6.95,6.95,000,6.95
2013-08-09,6.64,6.64,6.64,6.64,000,6.64
2013-08-08,6.64,6.64,6.64,6.64,000,6.64
2013-08-07,6.64,6.64,6.64,6.64,000,6.64
2013-08-06,6.00,6.35,6.00,6.35,1000,6.35
2013-08-05,6.06,6.06,6.06,6.06,000,6.06
2013-08-02,5.78,5.78,5.78,5.78,000,5.78
2013-08-01,5.51,5.51,5.51,5.51,000,5.51
2013-07-31,5.51,5.51,4.99,5.51,100,5.51
2013-07-30,5.25,5.25,5.25,5.25,400,5.25
2013-07-29,5.00,5.00,5.00,5.00,500,5.00
2013-07-26,4.77,4.77,4.77,4.77,500,4.77
2013-07-25,4.55,4.55,4.55,4.55,000,4.55
2013-07-24,4.55,4.55,4.55,4.55,000,4.55
2013-07-23,4.75,4.75,4.75,4.75,000,4.75
2013-07-22,4.75,4.75,4.75,4.75,000,4.75
2013-07-19,4.75,4.75,4.75,4.75,000,4.75
2013-07-18,4.97,4.97,4.97,4.97,000,4.97
2013-07-17,4.54,4.97,4.54,4.97,000,4.97
2013-07-16,4.74,4.74,4.74,4.74,000,4.74
2013-07-15,4.20,4.52,4.20,4.52,000,4.52
2013-07-12,4.11,4.31,4.11,4.31,1500,4.31
2013-07-11,4.11,4.11,4.11,4.11,000,4.11
2013-07-10,4.40,4.40,4.22,4.22,100,4.22
2013-07-09,4.35,4.35,4.35,4.35,000,4.35
2013-07-08,4.40,4.40,4.31,4.31,000,4.31
2013-07-05,4.51,4.51,4.51,4.51,000,4.51
2013-07-04,4.60,4.60,4.60,4.60,000,4.60
2013-07-03,4.60,4.60,4.60,4.60,000,4.60
2013-07-02,4.60,4.60,4.60,4.60,000,4.60
2013-07-01,4.60,4.60,4.60,4.60,000,4.60
2013-06-28,4.60,4.60,4.60,4.60,000,4.60
2013-06-27,4.60,4.60,4.60,4.60,000,4.60
2013-06-26,4.60,4.60,4.60,4.60,000,4.60
2013-06-25,4.60,4.60,4.60,4.60,000,4.60
2013-06-24,4.60,4.60,4.60,4.60,000,4.60
2013-06-21,4.60,4.60,4.60,4.60,500,4.60
2013-06-20,4.83,4.83,4.83,4.83,000,4.83
2013-06-19,4.60,4.60,4.60,4.60,000,4.60
2013-06-18,4.60,4.60,4.60,4.60,000,4.60
2013-06-17,4.60,4.60,4.60,4.60,000,4.60
2013-06-14,4.60,4.60,4.60,4.60,000,4.60
2013-06-13,4.60,4.60,4.60,4.60,200,4.60
2013-06-12,4.45,4.45,4.45,4.45,000,4.45
2013-06-11,4.45,4.45,4.45,4.45,000,4.45
2013-06-10,4.45,4.45,4.45,4.45,500,4.45
2013-06-07,4.68,4.68,4.68,4.68,000,4.68
2013-06-06,4.68,4.68,4.68,4.68,000,4.68
2013-06-05,4.68,4.68,4.68,4.68,000,4.68
2013-06-04,4.68,4.68,4.68,4.68,000,4.68
2013-06-03,4.68,4.68,4.68,4.68,500,4.68
2013-05-31,4.90,4.90,4.90,4.90,000,4.90
2013-05-30,4.90,4.90,4.90,4.90,000,4.90
2013-05-29,4.90,4.90,4.90,4.90,000,4.90
2013-05-28,4.90,4.90,4.90,4.90,000,4.90
2013-05-27,4.90,4.90,4.90,4.90,000,4.90
2013-05-24,4.90,4.90,4.90,4.90,000,4.90
2013-05-23,4.67,4.67,4.67,4.67,000,4.67
2013-05-22,4.67,4.67,4.67,4.67,000,4.67
2013-05-21,4.67,4.67,4.67,4.67,600,4.67
2013-05-20,4.91,4.91,4.91,4.91,000,4.91
2013-05-17,4.91,4.91,4.91,4.91,000,4.91
2013-05-16,4.91,4.91,4.91,4.91,000,4.91
2013-05-15,4.85,4.91,4.85,4.91,400,4.91
2013-05-14,5.10,5.10,5.10,5.10,000,5.10
