Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,16.09,16.96,15.80,16.84,556400,16.84
2013-09-26,15.98,16.28,15.80,15.97,315700,15.97
2013-09-25,16.43,16.43,15.91,16.00,451000,16.00
2013-09-24,16.10,16.80,15.99,16.36,781600,16.36
2013-09-23,15.98,16.05,15.28,15.94,403700,15.94
2013-09-20,15.50,15.88,15.10,15.88,346900,15.88
2013-09-19,14.70,15.69,14.54,15.56,398600,15.56
2013-09-18,14.90,14.96,14.27,14.60,576500,14.60
2013-09-17,15.70,15.94,14.55,14.85,452100,14.85
2013-09-16,15.80,16.62,15.57,15.62,433900,15.62
2013-09-13,16.00,16.20,15.29,15.74,443800,15.74
2013-09-12,15.80,16.15,15.03,15.87,1435400,15.87
2013-09-11,16.11,16.67,16.11,16.46,364900,16.46
2013-09-10,16.75,16.75,15.76,16.10,518800,16.10
2013-09-09,16.61,17.21,16.05,16.10,813600,16.10
2013-09-06,15.65,16.58,14.81,15.56,969300,15.56
2013-09-05,14.11,16.00,13.90,15.52,1179600,15.52
2013-09-04,14.12,14.13,13.85,13.94,165300,13.94
2013-09-03,14.02,14.40,13.60,13.95,303100,13.95
2013-08-30,14.00,14.16,13.67,13.72,138500,13.72
2013-08-29,14.01,14.56,13.79,14.06,227000,14.06
2013-08-28,14.16,14.38,13.69,13.99,186900,13.99
2013-08-27,14.16,15.08,13.88,14.25,323300,14.25
2013-08-26,14.90,15.75,14.61,15.11,519500,15.11
2013-08-23,15.38,15.50,14.58,14.93,321100,14.93
2013-08-22,14.33,15.80,14.33,15.10,479700,15.10
2013-08-21,14.50,14.79,14.18,14.29,171700,14.29
2013-08-20,14.35,14.78,14.00,14.60,301800,14.60
2013-08-19,13.25,15.33,13.25,14.36,592000,14.36
2013-08-16,14.44,14.45,12.85,12.86,460700,12.86
2013-08-15,15.30,15.30,13.93,14.54,414500,14.54
2013-08-14,16.00,16.02,15.52,15.70,211400,15.70
2013-08-13,16.20,16.20,15.75,16.00,330500,16.00
2013-08-12,16.30,16.55,15.80,16.24,573400,16.24
2013-08-09,14.40,18.10,14.38,16.30,1460400,16.30
2013-08-08,12.36,14.39,12.10,14.38,1745800,14.38
2013-08-07,12.06,12.09,11.00,12.00,153900,12.00
2013-08-06,12.15,12.27,12.01,12.13,138800,12.13
2013-08-05,12.15,12.40,12.15,12.25,200600,12.25
2013-08-02,12.10,12.28,12.04,12.15,201600,12.15
2013-08-01,12.15,12.41,12.04,12.18,169300,12.18
2013-07-31,12.00,12.23,11.91,12.04,57300,12.04
2013-07-30,12.15,12.33,11.97,12.10,43100,12.10
2013-07-29,12.33,12.46,12.11,12.11,85800,12.11
2013-07-26,12.05,12.35,11.98,12.25,146000,12.25
2013-07-25,12.04,12.20,11.97,12.05,89800,12.05
2013-07-24,12.02,12.25,11.87,12.01,72100,12.01
2013-07-23,12.40,12.59,11.81,11.90,61800,11.90
2013-07-22,12.20,12.42,11.81,12.28,59700,12.28
2013-07-19,12.70,12.70,12.00,12.07,111900,12.07
2013-07-18,12.62,12.75,12.62,12.68,36600,12.68
2013-07-17,12.74,12.86,12.43,12.59,79100,12.59
2013-07-16,12.62,12.70,12.48,12.61,96500,12.61
2013-07-15,12.40,12.50,12.37,12.50,288100,12.50
2013-07-12,12.30,12.35,12.04,12.35,71400,12.35
2013-07-11,12.20,12.28,12.00,12.26,41400,12.26
2013-07-10,12.00,12.31,11.90,12.17,64500,12.17
2013-07-09,12.00,12.20,11.83,12.03,39500,12.03
2013-07-08,12.39,12.39,11.70,11.98,119300,11.98
2013-07-05,11.88,12.20,11.56,12.17,50800,12.17
2013-07-03,11.76,11.99,11.62,11.88,38600,11.88
2013-07-02,11.18,11.57,11.18,11.50,45600,11.50
2013-07-01,11.07,11.38,11.06,11.27,73700,11.27
2013-06-28,11.05,11.09,10.82,10.97,23400,10.97
2013-06-27,11.15,11.19,10.91,10.98,22900,10.98
2013-06-26,10.52,11.08,10.52,10.88,61300,10.88
2013-06-25,10.50,10.61,10.23,10.53,45100,10.53
2013-06-24,10.50,10.91,9.84,10.22,167900,10.22
2013-06-21,11.48,11.61,10.50,10.52,132900,10.52
2013-06-20,11.77,11.85,11.35,11.50,128600,11.50
2013-06-19,12.15,12.26,11.88,11.94,73100,11.94
2013-06-18,12.00,12.38,12.00,12.31,122300,12.31
2013-06-17,12.04,12.17,12.00,12.04,53000,12.04
2013-06-14,11.90,12.17,11.66,12.02,57200,12.02
2013-06-13,11.97,11.97,11.46,11.82,38000,11.82
2013-06-12,12.75,12.75,11.70,11.80,111700,11.80
2013-06-11,11.75,11.99,11.46,11.90,154900,11.90
2013-06-10,11.14,11.50,11.14,11.44,148300,11.44
2013-06-07,10.92,11.24,10.85,11.14,128100,11.14
2013-06-06,10.40,10.95,9.98,10.68,215900,10.68
2013-06-05,10.02,10.26,9.98,10.02,71600,10.02
2013-06-04,10.14,10.40,9.93,10.05,73100,10.05
2013-06-03,10.22,10.55,10.15,10.21,92400,10.21
2013-05-31,10.10,10.55,10.06,10.21,133400,10.21
2013-05-30,10.10,10.44,9.95,10.05,143600,10.05
2013-05-29,10.05,10.11,9.75,10.00,175500,10.00
2013-05-28,10.70,11.00,10.00,10.17,97700,10.17
2013-05-24,10.72,10.77,10.55,10.66,53600,10.66
2013-05-23,10.93,10.98,10.33,10.71,93300,10.71
2013-05-22,11.34,11.39,11.10,11.15,63100,11.15
2013-05-21,11.05,11.25,11.05,11.20,48000,11.20
2013-05-20,10.98,11.25,10.98,11.18,111700,11.18
2013-05-17,11.17,11.17,10.99,10.99,30500,10.99
2013-05-16,10.68,11.25,10.61,11.10,115300,11.10
2013-05-15,11.00,11.16,10.89,10.95,199200,10.95
2013-05-14,11.15,11.28,11.00,11.02,71700,11.02
2013-05-13,11.04,11.19,10.92,11.07,179400,11.07
2013-05-10,10.85,11.30,10.71,10.91,145300,10.91
2013-05-09,12.35,12.35,10.21,10.66,441000,10.66
2013-05-08,12.25,13.20,12.15,12.50,200900,12.50
2013-05-07,11.68,12.20,11.68,12.04,70700,12.04
2013-05-06,11.46,11.61,11.40,11.57,38600,11.57
2013-05-03,11.48,11.48,11.35,11.44,18900,11.44
2013-05-02,11.30,11.40,11.25,11.38,28500,11.38
2013-05-01,11.40,11.42,11.21,11.32,9700,11.32
2013-04-30,11.20,11.40,11.15,11.37,13400,11.37
2013-04-29,11.15,11.23,11.02,11.20,37600,11.20
2013-04-26,11.10,11.25,11.10,11.25,21100,11.25
2013-04-25,11.50,11.50,11.00,11.12,217300,11.12
2013-04-24,11.23,11.56,11.06,11.46,23300,11.46
2013-04-23,11.24,11.57,11.05,11.19,24300,11.19
2013-04-22,10.84,11.19,10.80,11.05,209400,11.05
2013-04-19,10.20,10.86,10.11,10.86,256300,10.86
2013-04-18,10.17,10.35,10.10,10.29,16400,10.29
2013-04-17,10.06,10.19,10.06,10.14,9400,10.14
2013-04-16,10.10,10.18,10.10,10.16,3200,10.16
2013-04-15,10.11,10.14,9.81,10.11,90300,10.11
2013-04-12,10.14,10.15,9.90,10.15,10100,10.15
2013-04-11,10.09,10.18,9.72,10.18,65300,10.18
2013-04-10,10.01,10.30,9.93,10.07,50900,10.07
2013-04-09,9.97,10.19,9.90,9.98,136700,9.98
2013-04-08,9.90,9.94,9.79,9.86,8400,9.86
2013-04-05,9.93,9.94,9.80,9.94,4500,9.94
2013-04-04,9.45,9.94,9.45,9.93,11700,9.93
2013-04-03,9.80,10.08,9.80,10.00,58400,10.00
2013-04-02,9.88,9.89,9.73,9.88,24900,9.88
2013-04-01,9.82,9.89,9.73,9.87,25300,9.87
2013-03-28,9.85,10.00,9.71,9.90,25800,9.90
2013-03-27,9.80,9.85,9.67,9.83,14200,9.83
2013-03-26,9.72,9.83,9.63,9.73,12400,9.73
2013-03-25,9.78,9.94,9.39,9.94,25700,9.94
2013-03-22,9.60,9.67,9.48,9.65,7000,9.65
2013-03-21,9.41,9.67,9.41,9.62,18100,9.62
2013-03-20,9.25,9.44,9.12,9.44,22000,9.44
2013-03-19,9.41,9.46,9.10,9.18,126800,9.18
2013-03-18,9.32,9.59,8.85,9.33,118000,9.33
2013-03-15,8.93,9.52,8.90,9.52,329300,9.52
2013-03-14,9.04,9.09,8.91,8.94,8100,8.94
2013-03-13,8.87,9.10,8.70,8.97,9000,8.97
2013-03-12,9.09,9.11,8.86,8.95,26900,8.95
2013-03-11,8.91,9.58,8.91,9.21,73900,9.21
2013-03-08,9.09,9.24,8.56,8.80,134400,8.80
2013-03-07,9.80,10.40,8.81,9.06,283400,9.06
2013-03-06,9.22,9.40,9.05,9.33,38600,9.33
2013-03-05,8.83,9.14,8.83,9.08,16300,9.08
2013-03-04,8.92,8.98,8.77,8.97,12900,8.97
2013-03-01,8.50,8.93,8.50,8.88,5000,8.88
2013-02-28,8.47,8.61,8.47,8.55,4000,8.55
2013-02-27,8.55,8.68,8.54,8.54,2300,8.54
2013-02-26,8.45,8.60,8.40,8.60,20500,8.60
2013-02-25,8.50,8.54,8.46,8.49,8700,8.49
2013-02-22,8.49,8.65,8.49,8.53,3600,8.53
2013-02-21,8.32,8.54,8.30,8.44,38500,8.44
2013-02-20,8.22,8.49,8.16,8.49,24700,8.49
2013-02-19,7.13,8.25,7.06,8.22,89300,8.22
2013-02-15,8.42,8.45,8.22,8.25,21400,8.25
2013-02-14,8.80,8.85,8.17,8.33,78200,8.33
2013-02-13,8.89,9.09,8.85,8.90,9200,8.90
2013-02-12,8.91,9.08,8.66,9.00,29700,9.00
2013-02-11,9.40,9.40,8.93,9.03,59100,9.03
2013-02-08,9.69,9.70,9.41,9.49,67100,9.49
2013-02-07,9.77,9.98,9.61,9.70,40900,9.70
2013-02-06,9.90,10.00,9.78,9.85,50000,9.85
2013-02-05,9.89,10.02,9.63,9.78,54800,9.78
2013-02-04,9.51,9.87,9.50,9.78,44000,9.78
2013-02-01,9.99,10.11,9.40,9.50,65900,9.50
2013-01-31,10.00,10.04,9.91,9.93,34300,9.93
2013-01-30,10.06,10.18,9.84,10.10,96400,10.10
2013-01-29,9.75,10.24,9.75,10.18,69100,10.18
2013-01-28,9.70,9.75,9.53,9.58,54000,9.58
2013-01-25,9.45,9.52,9.38,9.52,47800,9.52
2013-01-24,9.38,9.50,9.27,9.34,79700,9.34
2013-01-23,9.31,9.38,9.20,9.30,113800,9.30
2013-01-22,8.99,9.45,8.92,9.17,97100,9.17
2013-01-18,8.51,8.90,8.50,8.80,37000,8.80
2013-01-17,8.39,8.44,8.30,8.44,13600,8.44
2013-01-16,8.48,8.53,8.40,8.48,8700,8.48
2013-01-15,8.00,8.26,8.00,8.26,25800,8.26
2013-01-14,8.70,8.70,7.89,8.18,85800,8.18
2013-01-11,8.98,9.03,8.60,8.70,88600,8.70
