Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.55,0.59,0.54,0.59,18300,0.59
2013-09-26,0.58,0.59,0.58,0.58,16100,0.58
2013-09-25,0.61,0.61,0.59,0.60,25400,0.60
2013-09-24,0.60,0.60,0.57,0.60,14900,0.60
2013-09-23,0.61,0.61,0.59,0.59,8800,0.59
2013-09-20,0.61,0.61,0.57,0.60,62800,0.60
2013-09-19,0.60,0.60,0.58,0.58,6600,0.58
2013-09-18,0.61,0.61,0.58,0.60,16500,0.60
2013-09-17,0.61,0.62,0.60,0.60,16800,0.60
2013-09-16,0.61,0.61,0.59,0.61,6000,0.61
2013-09-13,0.58,0.59,0.58,0.59,6300,0.59
2013-09-12,0.58,0.60,0.58,0.59,5000,0.59
2013-09-11,0.58,0.60,0.57,0.60,15600,0.60
2013-09-10,0.61,0.61,0.61,0.61,2900,0.61
2013-09-09,0.65,0.65,0.58,0.61,35300,0.61
2013-09-06,0.62,0.64,0.59,0.64,7200,0.64
2013-09-05,0.62,0.62,0.58,0.58,16100,0.58
2013-09-04,0.60,0.65,0.60,0.60,32700,0.60
2013-09-03,0.64,0.64,0.62,0.62,2300,0.62
2013-08-30,0.67,0.67,0.61,0.61,3100,0.61
2013-08-29,0.59,0.67,0.58,0.67,16600,0.67
2013-08-28,0.64,0.64,0.57,0.57,36300,0.57
2013-08-27,0.68,0.68,0.58,0.63,31200,0.63
2013-08-26,0.69,0.69,0.64,0.65,46600,0.65
2013-08-23,0.71,0.72,0.61,0.67,61800,0.67
2013-08-22,0.55,0.70,0.55,0.66,80200,0.66
2013-08-21,0.53,0.85,0.53,0.62,699000,0.62
2013-08-20,0.52,0.55,0.50,0.50,19700,0.50
2013-08-19,0.55,0.59,0.49,0.49,34900,0.49
2013-08-16,0.56,0.65,0.56,0.57,19600,0.57
2013-08-15,0.55,0.65,0.50,0.60,87800,0.60
2013-08-14,0.58,0.61,0.53,0.60,133200,0.60
2013-08-13,0.59,0.59,0.51,0.53,30100,0.53
2013-08-12,0.51,0.57,0.51,0.57,9200,0.57
2013-08-09,0.48,0.59,0.48,0.54,6600,0.54
2013-08-08,0.60,0.61,0.59,0.59,3000,0.59
2013-08-07,0.48,0.58,0.48,0.58,38900,0.58
2013-08-06,0.51,0.56,0.51,0.56,30300,0.56
2013-08-05,0.55,0.55,0.46,0.52,33000,0.52
2013-08-02,0.51,0.55,0.51,0.55,17500,0.55
2013-08-01,0.51,0.51,0.45,0.50,10300,0.50
2013-07-31,0.49,0.51,0.45,0.49,9100,0.49
2013-07-30,0.45,0.45,0.42,0.42,37900,0.42
2013-07-29,0.45,0.47,0.43,0.45,15900,0.45
2013-07-26,0.50,0.50,0.47,0.47,4700,0.47
2013-07-25,0.50,0.50,0.43,0.49,17300,0.49
2013-07-24,0.52,0.52,0.45,0.49,17500,0.49
2013-07-23,0.52,0.54,0.52,0.52,8500,0.52
2013-07-22,0.49,0.52,0.49,0.51,11600,0.51
2013-07-19,0.54,0.54,0.50,0.50,27800,0.50
2013-07-18,0.53,0.54,0.50,0.54,29100,0.54
2013-07-17,0.53,0.54,0.49,0.54,37800,0.54
2013-07-16,0.54,0.55,0.51,0.51,15100,0.51
2013-07-15,0.55,0.55,0.51,0.51,20500,0.51
2013-07-12,0.55,0.55,0.52,0.54,8000,0.54
2013-07-11,0.50,0.54,0.46,0.54,6800,0.54
2013-07-10,0.55,0.55,0.52,0.52,3200,0.52
2013-07-09,0.58,0.58,0.50,0.51,6100,0.51
2013-07-08,0.56,0.59,0.56,0.56,9500,0.56
2013-07-05,0.56,0.58,0.55,0.55,6100,0.55
2013-07-03,0.56,0.60,0.56,0.60,9900,0.60
2013-07-02,0.59,0.59,0.56,0.56,9000,0.56
2013-07-01,0.57,0.57,0.57,0.57,6100,0.57
2013-06-28,0.61,0.61,0.59,0.59,6100,0.59
