Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,11.70,11.70,11.51,11.53,390200,11.53
2013-09-26,11.51,11.76,11.51,11.72,395800,11.72
2013-09-25,11.55,11.61,11.47,11.50,292800,11.50
2013-09-24,11.33,11.45,11.22,11.42,521100,11.42
2013-09-23,11.26,11.45,11.16,11.34,330500,11.34
2013-09-20,11.48,11.55,11.23,11.25,544400,11.25
2013-09-19,11.17,11.57,11.17,11.50,998600,11.50
2013-09-18,11.24,11.24,11.01,11.03,692200,11.03
2013-09-17,11.24,11.37,11.24,11.26,573700,11.26
2013-09-16,11.42,11.60,11.24,11.30,462900,11.30
2013-09-13,11.47,11.57,11.24,11.24,510700,11.24
2013-09-12,11.30,11.68,11.27,11.53,648700,11.53
2013-09-11,11.50,11.50,11.20,11.32,453500,11.32
2013-09-10,11.28,11.44,11.13,11.41,487100,11.41
2013-09-09,11.34,11.36,11.15,11.30,274900,11.30
2013-09-06,11.30,11.30,11.11,11.28,545100,11.28
2013-09-05,11.20,11.30,10.98,11.28,743600,11.28
2013-09-04,11.18,11.32,11.04,11.22,596900,11.06
2013-09-03,11.26,11.35,11.05,11.25,759800,11.09
2013-09-02,11.19,11.41,11.18,11.24,957700,11.08
2013-08-30,11.10,11.25,10.99,11.14,637600,10.99
2013-08-29,11.14,11.23,10.99,11.19,924400,11.03
2013-08-28,10.87,11.25,10.81,11.04,995400,10.89
2013-08-27,10.95,11.55,10.93,11.48,1127400,11.32
2013-08-26,10.97,11.15,10.90,10.98,688500,10.83
2013-08-23,10.80,10.99,10.79,10.90,1166900,10.75
2013-08-22,10.95,11.03,10.65,10.78,989800,10.63
2013-08-21,11.02,11.35,11.00,11.29,893300,11.13
2013-08-20,10.88,11.02,10.74,10.88,714800,10.73
2013-08-19,10.85,11.11,10.85,10.86,932900,10.71
2013-08-16,11.07,11.13,10.86,10.86,1273900,10.71
2013-08-15,10.70,11.12,10.63,11.03,1445400,10.88
2013-08-14,10.20,10.78,10.09,10.72,1107600,10.57
2013-08-13,9.80,10.09,9.74,10.05,700800,9.91
2013-08-12,9.79,9.97,9.66,9.90,513700,9.76
2013-08-09,9.84,9.93,9.76,9.82,440100,9.68
2013-08-08,9.65,9.98,9.60,9.98,672400,9.84
2013-08-07,9.80,9.80,9.64,9.70,798800,9.57
2013-08-06,9.85,9.98,9.80,9.88,443600,9.74
2013-08-05,10.00,10.02,9.74,9.95,499900,9.81
2013-08-02,10.00,10.14,9.99,10.06,384500,9.92
2013-08-01,9.98,10.18,9.85,9.94,575700,9.80
2013-07-31,9.83,9.96,9.68,9.95,714200,9.81
2013-07-30,9.85,9.85,9.43,9.63,657500,9.50
2013-07-29,9.50,9.80,9.47,9.80,443500,9.66
2013-07-26,9.52,9.56,9.44,9.51,277700,9.38
2013-07-25,9.55,9.57,9.40,9.48,611600,9.35
2013-07-24,9.51,9.56,9.44,9.51,514100,9.38
2013-07-23,9.59,9.59,9.42,9.51,535500,9.38
2013-07-22,9.36,9.61,9.33,9.57,596400,9.44
2013-07-19,9.30,9.32,9.10,9.23,1400700,9.10
2013-07-18,9.31,9.47,9.22,9.30,1158200,9.17
2013-07-17,9.60,9.69,9.10,9.32,1659500,9.19
2013-07-16,9.82,9.85,9.71,9.74,289000,9.60
2013-07-15,9.64,9.91,9.63,9.76,283500,9.62
2013-07-12,9.72,9.85,9.56,9.70,337200,9.57
2013-07-11,9.60,9.75,9.50,9.75,607200,9.61
2013-07-10,10.03,10.09,9.47,9.57,3220800,9.44
2013-07-09,9.86,10.00,9.81,9.98,508600,9.84
2013-07-08,9.81,9.86,9.78,9.78,264800,9.64
2013-07-05,9.69,9.78,9.60,9.78,447500,9.64
2013-07-04,9.70,9.70,9.51,9.54,263900,9.41
2013-07-03,9.55,9.64,9.40,9.54,548600,9.41
2013-07-02,9.27,9.69,9.25,9.57,754900,9.44
2013-07-01,9.42,9.51,9.24,9.34,441500,9.21
2013-06-28,9.50,9.55,9.41,9.43,429600,9.30
2013-06-27,9.57,9.82,9.46,9.52,905600,9.39
2013-06-26,9.17,9.41,9.12,9.37,801600,9.24
2013-06-25,9.15,9.21,9.07,9.21,484800,9.08
2013-06-24,9.06,9.15,9.02,9.10,495300,8.97
2013-06-21,9.10,9.32,9.01,9.16,529100,9.03
2013-06-20,9.21,9.34,9.10,9.22,1135700,9.09
2013-06-19,9.20,9.26,9.02,9.26,782200,9.13
2013-06-18,9.03,9.13,8.91,9.10,842100,8.97
2013-06-17,9.20,9.20,8.82,9.00,831600,8.87
2013-06-14,9.08,9.15,8.99,9.14,718700,9.01
2013-06-13,8.75,8.97,8.75,8.94,1238800,8.82
2013-06-12,8.77,8.88,8.73,8.83,682400,8.71
2013-06-11,8.66,8.86,8.57,8.80,1779700,8.68
2013-06-10,8.72,8.72,8.72,8.72,000,8.60
2013-06-07,8.66,8.77,8.54,8.72,1621900,8.60
2013-06-06,8.63,8.74,8.45,8.68,1948800,8.56
2013-06-05,8.69,8.71,8.50,8.67,1371900,8.55
2013-06-04,8.88,8.88,8.65,8.73,1040400,8.61
2013-06-03,9.19,9.25,8.83,8.83,716900,8.71
2013-05-31,9.15,9.28,9.15,9.18,371600,9.05
2013-05-30,9.33,9.40,9.04,9.17,573400,9.04
2013-05-29,9.35,9.43,9.13,9.33,719200,9.20
2013-05-28,9.29,9.49,9.28,9.42,778000,9.29
2013-05-27,9.55,9.68,9.19,9.29,1078700,9.16
2013-05-24,9.99,9.99,9.42,9.52,2269900,9.39
2013-05-23,10.30,10.35,9.95,9.95,2252500,9.81
2013-05-22,10.44,10.51,10.30,10.33,619300,10.19
2013-05-21,10.35,10.42,10.24,10.33,364500,10.19
2013-05-20,10.22,10.34,10.17,10.32,465000,10.18
2013-05-17,10.38,10.38,10.10,10.10,689100,9.96
2013-05-16,10.47,10.54,10.12,10.24,1407400,10.10
