Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,3.32,3.32,3.32,3.32,52000,3.32
2013-09-26,3.32,3.32,3.32,3.32,2600,3.32
2013-09-25,3.32,3.32,3.32,3.32,1600,3.32
2013-09-24,3.32,3.33,3.32,3.33,2700,3.33
2013-09-23,3.32,3.32,3.32,3.32,2500,3.32
2013-09-20,3.32,3.33,3.32,3.32,1800,3.32
2013-09-19,3.32,3.32,3.32,3.32,31300,3.32
2013-09-18,3.32,3.32,3.32,3.32,6800,3.32
2013-09-17,3.32,3.32,3.32,3.32,13400,3.32
2013-09-16,3.32,3.33,3.32,3.33,5400,3.33
2013-09-13,3.32,3.32,3.32,3.32,500,3.32
2013-09-12,3.32,3.32,3.32,3.32,34500,3.32
2013-09-11,3.32,3.32,3.32,3.32,200,3.32
2013-09-10,3.32,3.32,3.32,3.32,2700,3.32
2013-09-09,3.32,3.32,3.32,3.32,1000,3.32
2013-09-06,3.32,3.32,3.32,3.32,2800,3.32
2013-09-05,3.31,3.32,3.31,3.32,8200,3.32
2013-09-04,3.32,3.32,3.31,3.31,90600,3.31
2013-09-03,3.31,3.33,3.31,3.32,44800,3.32
2013-09-02,3.32,3.33,3.31,3.33,400,3.33
2013-08-30,3.32,3.32,3.32,3.32,4600,3.32
2013-08-29,3.33,3.32,3.32,3.32,2600,3.32
2013-08-28,3.32,3.33,3.32,3.33,14600,3.33
2013-08-27,3.35,3.34,3.32,3.32,5700,3.32
2013-08-26,3.35,3.35,3.32,3.35,1900,3.35
2013-08-23,3.33,3.37,3.33,3.33,15500,3.33
2013-08-22,3.33,3.35,3.33,3.34,5100,3.34
2013-08-21,3.33,3.33,3.33,3.33,4300,3.33
2013-08-20,3.34,3.37,3.33,3.36,11100,3.36
2013-08-19,3.33,3.39,3.33,3.38,26700,3.38
2013-08-16,3.33,3.33,3.32,3.32,1800,3.32
2013-08-15,3.32,3.32,3.32,3.32,000,3.32
2013-08-14,3.33,3.34,3.32,3.32,5400,3.32
2013-08-13,3.32,3.34,3.32,3.32,900,3.32
2013-08-12,3.32,3.34,3.32,3.34,41300,3.34
2013-08-09,3.32,3.34,3.31,3.32,45000,3.32
2013-08-08,3.32,3.32,3.31,3.32,72800,3.32
2013-08-07,3.36,3.36,3.32,3.33,123400,3.33
2013-08-06,3.36,3.37,3.36,3.36,8500,3.36
2013-08-05,3.36,3.37,3.36,3.36,8200,3.36
2013-08-02,3.36,3.36,3.36,3.36,5700,3.36
2013-08-01,3.37,3.38,3.36,3.38,13700,3.38
2013-07-31,3.36,3.39,3.36,3.38,29500,3.38
2013-07-30,3.36,3.39,3.36,3.39,13600,3.39
2013-07-29,3.36,3.36,3.35,3.36,7500,3.36
2013-07-26,3.37,3.38,3.35,3.36,19000,3.36
2013-07-25,3.35,3.39,3.35,3.35,3300,3.35
2013-07-24,3.36,3.38,3.35,3.35,33200,3.35
2013-07-23,3.38,3.38,3.35,3.38,6900,3.38
2013-07-22,3.35,3.39,3.35,3.39,9800,3.39
2013-07-19,3.39,3.38,3.35,3.35,2000,3.35
2013-07-18,3.39,3.39,3.34,3.39,58300,3.39
2013-07-17,3.40,3.41,3.36,3.37,24600,3.37
2013-07-16,3.43,3.43,3.40,3.42,28400,3.42
2013-07-15,3.40,3.45,3.39,3.43,18800,3.43
2013-07-12,3.57,3.58,3.39,3.41,112000,3.41
2013-07-11,3.94,3.94,3.91,3.94,2000,3.94
2013-07-10,3.92,3.94,3.90,3.94,4200,3.94
2013-07-09,3.99,4.00,3.93,3.99,19300,3.99
2013-07-08,3.94,4.05,3.87,4.00,52900,4.00
2013-07-05,3.95,3.96,3.91,3.94,200,3.94
2013-07-04,3.85,3.96,3.84,3.95,6600,3.95
