Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,30.00,30.00,30.00,30.00,000,30.00
2013-09-26,30.14,30.14,30.14,30.14,000,30.14
2013-09-25,30.14,30.14,30.14,30.14,000,30.14
2013-09-24,30.14,30.14,30.14,30.14,000,30.14
2013-09-23,30.14,30.14,30.14,30.14,000,30.14
2013-09-20,29.95,30.15,28.88,30.14,2700,30.14
2013-09-19,29.90,29.90,28.90,28.90,600,28.90
2013-09-18,29.30,30.00,29.30,30.00,100,30.00
2013-09-17,28.93,28.93,28.93,28.93,000,28.93
2013-09-16,29.10,29.10,29.10,29.10,000,29.10
2013-09-13,29.10,29.10,29.10,29.10,100,29.10
2013-09-12,29.60,29.60,29.60,29.60,000,29.60
2013-09-11,30.00,30.00,29.60,29.60,300,29.60
2013-09-10,29.95,30.49,29.95,30.49,100,30.49
2013-09-09,30.15,30.15,30.15,30.15,000,30.15
2013-09-06,30.15,30.15,30.15,30.15,000,30.15
2013-09-05,29.81,29.81,29.81,29.81,000,29.81
2013-09-04,29.50,29.81,29.50,29.81,400,29.81
2013-09-03,29.72,29.72,29.72,29.72,400,29.72
2013-09-02,29.49,29.49,29.49,29.49,000,29.49
2013-08-30,29.10,29.49,29.01,29.49,600,29.49
2013-08-29,28.71,29.09,28.71,29.00,1300,29.00
2013-08-28,29.10,29.10,29.00,29.00,1300,29.00
2013-08-27,29.00,29.00,29.00,29.00,900,29.00
2013-08-26,29.00,29.00,29.00,29.00,800,29.00
2013-08-23,29.00,29.10,29.00,29.10,1200,29.10
2013-08-22,28.60,28.60,28.60,28.60,400,28.60
2013-08-21,29.00,29.00,29.00,29.00,000,29.00
2013-08-20,29.00,29.00,29.00,29.00,000,29.00
2013-08-19,29.00,29.00,29.00,29.00,200,29.00
2013-08-16,29.00,29.00,29.00,29.00,100,29.00
2013-08-15,29.49,29.49,29.49,29.49,000,29.49
2013-08-14,29.00,29.49,28.32,29.49,6600,29.49
2013-08-13,29.00,29.46,29.00,29.46,500,29.46
2013-08-12,29.49,29.49,28.75,28.75,500,28.75
2013-08-09,29.00,29.41,28.50,29.41,2000,29.41
2013-08-08,29.30,29.45,29.30,29.45,100,29.45
2013-08-07,28.66,29.00,28.55,29.00,2900,29.00
2013-08-06,28.66,28.66,28.66,28.66,300,28.66
2013-08-05,28.61,28.61,28.61,28.61,300,28.61
2013-08-02,28.60,28.60,28.60,28.60,000,28.60
2013-08-01,28.60,28.60,28.60,28.60,000,28.60
2013-07-31,28.50,29.00,28.50,29.00,1000,29.00
2013-07-30,29.30,29.30,29.30,29.30,000,29.30
2013-07-29,29.30,29.30,29.30,29.30,000,29.30
2013-07-26,29.30,29.30,29.30,29.30,000,29.30
2013-07-25,29.30,29.30,29.30,29.30,000,29.30
2013-07-24,29.30,29.30,29.30,29.30,000,29.30
2013-07-23,29.30,29.30,29.30,29.30,000,29.30
2013-07-22,29.34,29.34,29.34,29.34,000,29.34
2013-07-19,29.34,29.34,29.34,29.34,000,29.34
2013-07-18,29.34,29.34,29.34,29.34,000,29.34
2013-07-17,29.34,29.34,29.34,29.34,100,29.34
2013-07-16,29.00,29.15,29.00,29.15,1200,29.15
2013-07-15,29.00,29.00,29.00,29.00,400,29.00
2013-07-12,29.10,29.10,29.10,29.10,000,29.10
2013-07-11,29.35,29.35,28.80,29.00,800,29.00
2013-07-10,28.51,29.35,28.50,29.35,1500,29.35
2013-07-09,28.50,28.50,28.50,28.50,1000,28.50
2013-07-08,28.12,28.12,28.12,28.12,000,28.12
2013-07-05,28.45,28.45,28.12,28.12,400,28.12
