Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.01,0.01,0.01,0.01,200000,0.01
2013-09-26,0.01,0.01,0.01,0.01,2450000,0.01
2013-09-25,0.01,0.01,0.01,0.01,200000,0.01
2013-09-24,0.01,0.01,0.01,0.01,400000,0.01
2013-09-23,0.01,0.01,0.01,0.01,1389000,0.01
2013-09-20,0.01,0.01,0.01,0.01,2190000,0.01
2013-09-19,0.01,0.01,0.01,0.01,3460000,0.01
2013-09-18,0.01,0.01,0.01,0.01,425500,0.01
2013-09-17,0.01,0.01,0.01,0.01,000,0.01
2013-09-16,0.01,0.01,0.01,0.01,2000000,0.01
2013-09-13,0.01,0.01,0.01,0.01,1040600,0.01
2013-09-12,0.01,0.01,0.01,0.01,118700,0.01
2013-09-11,0.01,0.01,0.01,0.01,150000,0.01
2013-09-10,0.01,0.01,0.01,0.01,9022600,0.01
2013-09-09,0.01,0.01,0.01,0.01,10395500,0.01
2013-09-06,0.01,0.01,0.01,0.01,000,0.01
2013-09-05,0.01,0.01,0.01,0.01,000,0.01
2013-09-04,0.01,0.01,0.01,0.01,251300,0.01
2013-09-03,0.01,0.01,0.01,0.01,000,0.01
2013-09-02,0.01,0.01,0.01,0.01,201800,0.01
2013-08-30,0.01,0.01,0.01,0.01,8203500,0.01
2013-08-29,0.01,0.01,0.01,0.01,000,0.01
2013-08-28,0.01,0.01,0.01,0.01,1500000,0.01
2013-08-27,0.01,0.01,0.01,0.01,265700,0.01
2013-08-26,0.01,0.01,0.01,0.01,3165000,0.01
2013-08-23,0.01,0.01,0.01,0.01,550000,0.01
2013-08-22,0.01,0.01,0.01,0.01,434800,0.01
2013-08-21,0.01,0.01,0.00,0.01,7299900,0.01
2013-08-20,0.01,0.01,0.01,0.01,80000,0.01
2013-08-19,0.01,0.01,0.01,0.01,697000,0.01
2013-08-16,0.01,0.01,0.01,0.01,3909800,0.01
2013-08-15,0.01,0.01,0.01,0.01,000,0.01
2013-08-14,0.01,0.01,0.01,0.01,000,0.01
2013-08-13,0.01,0.01,0.01,0.01,000,0.01
2013-08-12,0.01,0.01,0.01,0.01,000,0.01
2013-08-09,0.01,0.01,0.01,0.01,615700,0.01
2013-08-08,0.01,0.01,0.01,0.01,800000,0.01
2013-08-07,0.01,0.01,0.01,0.01,10166300,0.01
2013-08-06,0.01,0.01,0.01,0.01,372900,0.01
2013-08-05,0.01,0.01,0.01,0.01,1401000,0.01
2013-08-02,0.01,0.01,0.01,0.01,1638900,0.01
2013-08-01,0.01,0.01,0.01,0.01,2837500,0.01
2013-07-31,0.01,0.01,0.01,0.01,300000,0.01
2013-07-30,0.01,0.01,0.01,0.01,2000000,0.01
