Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,37.34,37.95,36.46,36.77,83500,36.77
2013-09-26,38.05,38.14,37.35,37.69,68900,37.69
2013-09-25,35.82,38.34,35.60,37.82,176400,37.82
2013-09-24,35.17,35.70,34.70,35.16,255500,35.16
2013-09-23,35.89,35.89,34.79,35.00,178200,35.00
2013-09-20,35.91,36.10,35.02,36.01,170700,36.01
2013-09-19,36.43,36.63,35.73,35.84,45400,35.84
2013-09-18,36.33,37.00,35.29,36.42,110200,36.42
2013-09-17,35.53,36.25,35.44,36.22,49300,36.22
2013-09-16,35.96,36.40,35.07,35.53,52800,35.53
2013-09-13,35.67,36.25,34.95,35.42,44800,35.42
2013-09-12,35.94,36.20,35.33,35.48,79700,35.48
2013-09-11,35.72,36.20,35.14,36.11,49400,36.11
2013-09-10,35.26,35.99,34.23,35.87,105400,35.87
2013-09-09,34.87,35.30,34.48,35.04,88400,35.04
2013-09-06,35.05,35.05,33.83,34.81,63200,34.81
2013-09-05,34.28,34.98,34.28,34.80,49600,34.80
2013-09-04,33.86,34.20,33.40,34.14,107100,34.14
2013-09-03,33.65,34.10,33.05,33.71,69800,33.71
2013-08-30,33.48,33.48,32.87,33.15,60400,33.15
2013-08-29,33.42,33.95,33.18,33.53,28800,33.53
2013-08-28,33.64,33.78,33.23,33.41,43200,33.41
2013-08-27,33.18,33.64,33.18,33.35,127700,33.35
2013-08-26,32.65,33.64,32.65,33.59,90100,33.59
2013-08-23,32.68,33.05,32.38,32.64,65500,32.64
2013-08-22,32.38,32.62,31.67,32.61,54700,32.61
2013-08-21,31.79,32.58,31.32,32.16,114900,32.16
2013-08-20,31.45,32.13,31.17,32.04,133600,32.04
2013-08-19,31.85,32.08,31.25,31.33,55800,31.33
2013-08-16,31.88,32.17,31.57,31.95,80600,31.95
2013-08-15,32.01,32.05,31.33,32.02,97000,32.02
2013-08-14,33.11,33.21,32.40,32.47,170600,32.47
2013-08-13,33.53,33.59,33.00,33.07,133800,33.07
2013-08-12,32.40,33.84,32.02,33.59,129800,33.59
2013-08-09,33.59,34.02,32.56,32.60,105200,32.60
2013-08-08,34.18,34.79,33.63,33.71,86200,33.71
2013-08-07,33.18,34.27,32.67,33.92,107500,33.92
2013-08-06,32.37,33.58,32.12,33.39,137300,33.39
2013-08-05,31.94,32.65,31.78,32.43,226700,32.43
2013-08-02,31.34,31.97,31.18,31.91,148000,31.91
2013-08-01,31.89,31.99,31.35,31.56,95400,31.56
2013-07-31,31.85,32.00,31.47,31.50,104200,31.50
2013-07-30,31.90,32.09,31.35,31.66,222500,31.66
2013-07-29,31.90,32.37,31.76,31.90,111800,31.90
2013-07-26,32.12,32.65,31.63,31.96,184800,31.96
2013-07-25,32.17,32.85,31.85,32.50,309900,32.50
2013-07-24,32.09,32.66,31.97,32.45,153900,32.45
2013-07-23,30.00,33.55,28.79,32.29,729100,32.29
2013-07-22,28.91,29.24,28.91,28.98,82600,28.98
2013-07-19,29.88,29.99,28.89,29.03,127700,29.03
2013-07-18,30.10,30.17,29.84,29.94,133300,29.94
2013-07-17,29.75,30.10,29.61,30.09,148900,30.09
2013-07-16,29.80,29.96,29.25,29.45,73100,29.45
2013-07-15,30.00,30.49,29.65,29.76,378500,29.76
2013-07-12,29.16,30.02,28.94,29.93,188700,29.93
2013-07-11,29.01,29.31,28.65,29.12,114600,29.12
2013-07-10,27.76,28.84,27.72,28.62,79700,28.62
2013-07-09,27.93,28.20,27.63,27.76,114500,27.76
2013-07-08,27.51,27.83,26.99,27.80,85900,27.80
2013-07-05,27.15,27.53,26.75,27.49,43600,27.49
2013-07-03,26.20,26.64,25.92,26.52,53000,26.52
2013-07-02,26.30,26.47,26.00,26.26,64000,26.26
2013-07-01,25.38,26.09,25.20,26.03,69300,26.03
2013-06-28,25.25,25.69,25.06,25.32,162300,25.32
2013-06-27,24.76,25.49,24.31,25.44,113500,25.44
2013-06-26,24.73,24.86,24.44,24.54,102700,24.54
2013-06-25,24.84,25.04,24.42,24.54,88400,24.54
2013-06-24,24.87,25.19,24.48,24.52,85800,24.52
2013-06-21,25.30,25.45,24.24,25.20,184300,25.20
2013-06-20,26.13,26.13,25.00,25.35,135500,25.35
2013-06-19,26.49,26.75,26.37,26.44,45800,26.44
2013-06-18,26.69,26.85,26.35,26.60,67500,26.60
2013-06-17,26.41,26.99,26.13,26.57,81200,26.57
2013-06-14,26.51,26.52,25.61,26.04,80300,26.04
2013-06-13,26.64,26.71,26.09,26.63,56100,26.63
2013-06-12,27.01,27.47,26.34,26.55,39800,26.55
2013-06-11,27.38,27.56,26.53,26.88,49700,26.88
2013-06-10,27.03,28.13,26.78,27.75,60700,27.75
2013-06-07,27.43,27.79,26.87,26.90,82000,26.90
2013-06-06,26.84,27.21,26.65,27.20,51900,27.20
2013-06-05,27.10,27.39,26.64,26.91,49200,26.91
2013-06-04,27.70,27.70,26.76,27.21,261800,27.21
2013-06-03,27.27,27.84,26.53,27.74,161700,27.74
2013-05-31,26.22,26.84,25.97,26.78,94200,26.78
2013-05-30,25.69,26.51,25.69,26.46,43200,26.46
2013-05-29,25.42,26.09,25.37,25.53,50600,25.53
2013-05-28,25.61,26.11,25.03,25.69,186900,25.69
2013-05-24,24.18,24.50,23.94,24.49,111700,24.49
2013-05-23,24.45,24.72,23.94,24.36,105200,24.36
2013-05-22,25.00,25.27,24.28,24.70,130900,24.70
2013-05-21,25.34,25.62,24.76,25.06,64600,25.06
2013-05-20,24.90,25.39,24.89,25.26,88000,25.26
2013-05-17,25.00,25.00,24.63,24.99,73100,24.99
2013-05-16,24.35,24.99,24.14,24.97,93000,24.97
2013-05-15,23.93,24.37,23.73,24.35,86700,24.35
2013-05-14,23.10,23.95,22.89,23.93,64000,23.93
2013-05-13,23.42,23.48,22.88,23.00,89400,23.00
2013-05-10,23.42,23.68,23.33,23.55,63700,23.55
2013-05-09,23.45,23.76,23.17,23.46,49700,23.46
2013-05-08,23.24,23.55,23.11,23.54,47000,23.54
2013-05-07,22.90,23.25,22.68,23.24,63200,23.24
2013-05-06,22.62,23.17,22.49,22.93,38900,22.93
2013-05-03,22.62,22.88,22.43,22.69,48700,22.69
2013-05-02,22.19,22.63,22.01,22.27,46200,22.27
2013-05-01,22.98,23.23,22.02,22.04,116400,22.04
2013-04-30,23.45,23.72,22.75,22.94,52800,22.94
2013-04-29,22.66,23.29,22.58,23.25,60100,23.25
2013-04-26,23.04,23.04,22.49,22.50,68600,22.50
2013-04-25,23.58,23.85,22.84,23.06,123400,23.06
2013-04-24,23.54,23.77,22.99,23.58,104700,23.58
2013-04-23,21.35,23.98,20.71,23.54,281300,23.54
2013-04-22,20.07,20.34,19.50,20.26,101000,20.26
2013-04-19,20.07,20.31,20.00,20.14,80500,20.14
2013-04-18,20.56,20.66,19.94,20.04,80700,20.04
2013-04-17,21.03,21.20,20.24,20.58,105600,20.58
2013-04-16,20.92,21.26,20.60,21.20,190000,21.20
2013-04-15,22.72,22.72,20.37,20.68,134700,20.68
2013-04-12,22.66,23.00,22.66,22.81,109500,22.81
2013-04-11,22.65,22.82,22.52,22.73,75100,22.73
2013-04-10,22.20,22.77,22.17,22.74,51600,22.74
2013-04-09,22.48,22.63,22.25,22.26,79400,22.26
2013-04-08,22.39,22.57,22.25,22.50,80300,22.50
2013-04-05,21.86,22.29,21.80,22.25,74800,22.25
2013-04-04,22.29,22.60,21.94,22.27,174000,22.27
2013-04-03,22.50,22.50,21.80,22.21,88200,22.21
2013-04-02,23.07,23.07,22.33,22.46,44100,22.46
2013-04-01,22.96,23.09,22.57,22.90,234500,22.90
2013-03-28,22.12,23.20,22.02,22.94,183800,22.94
2013-03-27,22.40,22.40,21.79,22.21,130100,22.21
2013-03-26,21.58,22.64,21.49,22.50,128400,22.50
2013-03-25,21.44,21.68,21.32,21.42,76500,21.42
2013-03-22,21.47,21.79,21.36,21.41,70700,21.41
2013-03-21,21.64,21.79,21.26,21.34,40200,21.34
2013-03-20,21.88,22.08,21.58,21.85,86500,21.85
2013-03-19,21.75,22.10,21.66,21.82,108600,21.82
2013-03-18,21.90,21.99,21.63,21.70,90500,21.70
2013-03-15,21.65,22.33,21.65,22.21,307500,22.21
2013-03-14,21.09,22.04,20.70,21.60,171300,21.60
2013-03-13,21.00,21.27,20.77,21.11,86600,21.11
2013-03-12,20.65,21.06,20.62,21.02,130400,21.02
2013-03-11,21.09,21.09,20.53,20.74,117500,20.74
2013-03-08,21.00,21.18,20.67,21.09,84800,21.09
2013-03-07,20.96,21.08,20.69,20.80,105800,20.80
2013-03-06,20.56,21.16,20.15,21.00,739900,21.00
2013-03-05,20.74,20.88,20.33,20.59,195500,20.59
2013-03-04,21.83,21.95,20.71,20.71,235700,20.71
2013-03-01,21.19,22.16,21.19,21.75,442000,21.75
2013-02-28,21.22,22.07,20.95,21.39,284800,21.39
2013-02-27,21.49,22.25,21.00,21.16,431400,21.16
2013-02-26,21.26,21.96,21.10,21.11,226700,21.11
2013-02-25,22.12,22.14,21.20,21.21,258500,21.21
2013-02-22,22.26,22.49,22.00,22.09,114800,22.09
2013-02-21,23.34,23.40,21.90,22.16,211800,22.16
2013-02-20,23.88,24.10,23.30,23.33,67500,23.33
2013-02-19,23.50,24.09,23.50,23.94,81300,23.94
2013-02-15,24.30,24.30,23.46,23.52,105900,23.52
2013-02-14,24.30,24.46,24.06,24.16,27500,24.16
2013-02-13,24.27,24.61,24.10,24.41,68200,24.41
2013-02-12,24.28,24.74,24.12,24.30,50600,24.30
2013-02-11,24.37,24.50,24.15,24.38,29900,24.38
2013-02-08,24.60,24.73,24.33,24.37,29300,24.37
2013-02-07,24.72,24.75,24.34,24.62,21800,24.62
2013-02-06,24.50,24.85,24.32,24.80,77400,24.80
2013-02-05,24.73,24.78,24.44,24.62,81000,24.62
2013-02-04,25.15,25.24,24.57,24.65,26600,24.65
2013-02-01,24.98,25.39,24.81,25.23,50400,25.23
2013-01-31,24.76,25.07,24.56,24.78,50500,24.78
2013-01-30,25.00,25.24,24.62,24.75,35000,24.75
2013-01-29,25.05,25.41,24.94,25.02,202700,25.02
2013-01-28,24.91,25.13,24.81,25.12,72100,25.12
2013-01-25,25.15,25.15,24.77,24.97,81600,24.97
2013-01-24,24.75,25.15,24.72,24.99,69000,24.99
2013-01-23,24.33,24.72,24.33,24.71,83500,24.71
2013-01-22,23.85,24.32,23.85,24.27,86100,24.27
2013-01-18,23.75,24.00,23.64,23.92,91300,23.92
2013-01-17,24.02,24.08,23.51,23.81,54800,23.81
2013-01-16,23.50,23.95,23.37,23.89,188100,23.89
2013-01-15,22.97,23.57,22.97,23.50,173200,23.50
2013-01-14,24.28,24.33,22.92,23.06,147100,23.06
2013-01-11,24.71,24.80,24.21,24.37,37000,24.37
2013-01-10,24.64,24.70,24.18,24.67,54400,24.67
2013-01-09,24.25,25.03,24.08,24.46,80700,24.46
2013-01-08,23.92,24.36,23.73,24.10,83500,24.10
2013-01-07,24.81,24.90,23.69,23.87,86200,23.87
2013-01-04,24.56,25.21,24.56,24.89,70900,24.89
2013-01-03,24.44,24.80,24.14,24.42,129400,24.42
2013-01-02,24.88,25.26,24.14,24.47,131500,24.47
2012-12-31,22.95,24.48,22.95,24.31,123100,24.31
2012-12-28,22.80,23.10,22.55,22.99,98900,22.99
2012-12-27,22.87,23.27,22.82,22.93,131600,22.93
