Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,54.49,54.62,54.21,54.52,730900,54.52
2013-09-26,54.22,54.71,53.99,54.69,551900,54.69
2013-09-25,54.00,54.26,53.56,54.15,620500,54.15
2013-09-24,53.62,54.34,53.22,53.91,551300,53.91
2013-09-23,53.42,53.54,53.03,53.48,604400,53.48
2013-09-20,52.30,53.65,51.50,53.40,1687100,53.40
2013-09-19,53.71,54.01,53.39,53.64,683400,53.64
2013-09-18,53.70,54.05,52.64,53.28,649500,53.28
2013-09-17,52.62,53.69,52.50,53.62,562800,53.62
2013-09-16,53.80,54.25,53.28,53.40,542100,53.40
2013-09-13,53.31,53.71,53.07,53.11,357600,53.11
2013-09-12,53.06,53.25,52.68,53.15,394500,53.15
2013-09-11,52.59,53.18,52.19,53.16,651500,53.16
2013-09-10,52.51,53.09,52.34,52.73,668600,52.73
2013-09-09,51.21,52.76,51.07,52.36,1142900,52.36
2013-09-06,51.39,52.20,51.06,51.91,821400,51.91
2013-09-05,50.88,51.82,50.80,51.75,805000,51.75
2013-09-04,49.92,50.78,49.84,50.77,641800,50.77
2013-09-03,49.69,49.91,49.15,49.71,504400,49.71
2013-08-30,49.66,49.85,49.09,49.09,404900,49.09
2013-08-29,49.70,50.03,49.49,49.52,437600,49.52
2013-08-28,49.08,49.85,49.03,49.64,452900,49.64
2013-08-27,49.98,50.14,49.13,49.25,394700,49.25
2013-08-26,50.73,50.93,50.14,50.29,441800,50.29
2013-08-23,50.42,50.64,49.82,50.60,530200,50.60
2013-08-22,49.82,50.43,49.66,50.05,357000,50.05
2013-08-21,50.62,50.71,49.61,49.73,556900,49.73
2013-08-20,50.25,51.07,50.11,50.84,934200,50.84
2013-08-19,50.00,50.72,49.91,50.15,874000,50.15
2013-08-16,50.41,50.72,49.80,49.99,874400,49.99
2013-08-15,49.38,50.39,49.06,50.25,1011500,50.25
2013-08-14,49.93,50.23,49.75,49.92,600000,49.92
2013-08-13,50.11,50.48,49.79,50.18,549200,50.18
2013-08-12,50.31,50.47,50.01,50.16,550400,49.92
2013-08-09,50.20,50.75,50.06,50.40,543600,50.16
2013-08-08,49.98,50.33,49.70,50.30,573400,50.06
2013-08-07,50.16,50.37,49.55,49.87,1023800,49.63
2013-08-06,50.55,50.81,50.00,50.23,795400,49.99
2013-08-05,49.88,50.85,49.80,50.55,960500,50.31
2013-08-02,49.99,50.24,49.43,49.72,1124900,49.48
2013-08-01,51.10,51.43,49.68,49.90,3483400,49.66
2013-07-31,52.95,53.31,48.65,50.61,3688000,50.37
2013-07-30,52.14,52.75,51.83,52.63,1976600,52.38
2013-07-29,51.87,51.96,51.08,51.78,1250700,51.53
2013-07-26,51.43,52.36,51.25,51.90,1073400,51.65
2013-07-25,51.48,51.83,51.25,51.42,813100,51.17
2013-07-24,52.25,52.25,51.40,51.51,873900,51.26
2013-07-23,52.04,52.35,51.51,51.96,680000,51.71
2013-07-22,52.46,52.46,51.51,51.94,669800,51.69
2013-07-19,52.40,52.54,51.82,52.20,1092100,51.95
2013-07-18,52.40,53.06,51.92,52.57,1517500,52.32
2013-07-17,51.00,52.05,50.79,52.03,785100,51.78
2013-07-16,51.24,51.27,50.64,50.84,897200,50.60
2013-07-15,51.05,51.57,50.69,51.32,843100,51.07
2013-07-12,50.79,51.21,50.52,51.03,727200,50.79
2013-07-11,50.54,50.89,50.12,50.74,1050400,50.50
2013-07-10,48.73,49.91,48.50,49.87,1451500,49.63
2013-07-09,48.72,49.07,48.55,48.91,1420600,48.68
2013-07-08,47.87,48.54,47.78,48.40,1011300,48.17
2013-07-05,47.05,47.63,46.66,47.59,844900,47.36
2013-07-03,46.86,47.16,46.48,46.72,530800,46.50
2013-07-02,47.63,48.34,46.77,47.13,1717600,46.90
2013-07-01,47.97,48.29,47.45,47.54,636400,47.31
2013-06-28,47.26,48.09,47.20,47.58,2130800,47.35
2013-06-27,47.45,48.47,47.45,47.60,941100,47.37
2013-06-26,47.82,47.83,46.52,47.28,907000,47.05
2013-06-25,47.43,47.76,46.84,46.96,1064600,46.74
2013-06-24,46.90,47.19,46.31,46.77,1116200,46.55
2013-06-21,47.59,47.94,46.85,47.32,1248000,47.09
2013-06-20,48.74,48.80,47.11,47.32,1446400,47.09
2013-06-19,49.81,50.19,48.96,49.00,923900,48.77
2013-06-18,49.35,50.45,49.31,49.70,1253800,49.46
2013-06-17,49.68,50.20,49.37,49.39,808500,49.15
2013-06-14,49.93,49.93,49.06,49.21,657900,48.97
2013-06-13,49.17,50.14,48.87,49.70,962200,49.46
2013-06-12,49.96,50.53,48.99,49.07,742300,48.84
2013-06-11,49.76,50.38,49.42,49.78,731700,49.54
2013-06-10,49.95,50.57,49.44,50.18,919200,49.94
2013-06-07,49.32,49.99,48.81,49.94,618700,49.70
2013-06-06,48.11,48.92,48.11,48.91,1165300,48.68
2013-06-05,48.15,48.91,48.08,48.15,833200,47.92
2013-06-04,48.16,49.02,47.99,48.28,693200,48.05
2013-06-03,48.46,48.69,47.72,48.21,1306700,47.98
2013-05-31,49.52,49.82,48.46,48.48,1477900,48.25
2013-05-30,49.67,50.75,49.37,49.45,1281300,49.21
2013-05-29,50.65,50.70,49.21,49.49,1219900,49.25
2013-05-28,50.87,51.24,50.44,50.68,571300,50.44
2013-05-24,50.97,51.14,50.50,50.73,695200,50.49
2013-05-23,50.07,51.41,49.87,51.38,1159600,51.13
2013-05-22,51.03,51.56,50.11,50.47,806000,50.23
2013-05-21,51.20,51.74,50.85,51.32,1049500,51.07
2013-05-20,51.26,51.29,50.65,50.88,881600,50.64
2013-05-17,50.95,51.50,50.87,51.25,1130000,51.00
2013-05-16,51.86,52.27,50.64,50.95,1497500,50.71
2013-05-15,50.10,51.82,50.00,51.36,1529400,51.11
2013-05-14,48.93,50.50,48.77,50.22,2519800,49.98
2013-05-13,48.68,49.15,48.57,48.77,584300,48.54
2013-05-10,48.68,49.26,48.55,48.88,1817600,48.41
2013-05-09,48.99,49.31,48.38,48.78,1008200,48.31
2013-05-08,48.98,49.41,48.67,49.20,800600,48.72
2013-05-07,49.25,49.60,48.95,49.20,799500,48.72
2013-05-06,48.50,49.45,48.40,49.26,1127800,48.78
2013-05-03,47.56,48.50,47.37,48.22,1556500,47.75
2013-05-02,47.80,48.06,47.06,47.06,1120800,46.60
2013-05-01,45.71,50.24,45.67,47.57,2723200,47.11
2013-04-30,45.83,47.15,45.51,47.07,1545200,46.61
