Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,22.34,22.50,22.04,22.49,243100,22.49
2013-09-26,23.01,23.02,22.18,22.47,640800,22.47
2013-09-25,23.49,23.49,22.85,22.90,350500,22.90
2013-09-24,23.66,23.88,23.37,23.52,447700,23.52
2013-09-23,23.78,23.85,23.41,23.72,488600,23.72
2013-09-20,23.85,23.89,23.40,23.78,325400,23.78
2013-09-19,23.92,24.02,23.76,23.79,143700,23.79
2013-09-18,23.71,23.92,23.43,23.92,371900,23.92
2013-09-17,23.59,23.95,23.56,23.77,305300,23.77
2013-09-16,23.25,23.98,23.07,23.52,432000,23.52
2013-09-13,23.10,23.21,22.75,23.15,281500,23.15
2013-09-12,23.16,23.24,22.70,22.99,426400,22.99
2013-09-11,23.14,23.42,22.97,23.09,234600,23.09
2013-09-10,22.61,23.35,22.46,23.20,437700,23.20
2013-09-09,22.30,22.67,22.18,22.41,490300,22.41
2013-09-06,23.00,23.08,21.99,22.39,957100,22.39
2013-09-05,23.47,23.68,23.31,23.51,208800,23.51
2013-09-04,23.96,24.01,23.40,23.40,536500,23.40
2013-09-03,24.12,24.28,23.83,23.94,195000,23.94
2013-08-30,24.02,24.36,23.81,23.93,193700,23.93
2013-08-29,23.74,24.06,23.74,23.93,150500,23.93
2013-08-28,23.74,24.01,23.63,23.79,331300,23.79
2013-08-27,23.77,24.03,23.67,23.82,288500,23.82
2013-08-26,24.37,24.47,24.08,24.10,166000,24.10
2013-08-23,24.25,24.60,24.13,24.43,169000,24.43
2013-08-22,24.06,24.26,23.92,24.16,123800,24.16
2013-08-21,23.99,24.46,23.91,24.02,286300,24.02
2013-08-20,23.90,24.04,23.77,23.98,346200,23.98
2013-08-19,23.45,23.99,23.38,23.90,566800,23.90
2013-08-16,23.38,23.59,23.33,23.50,416900,23.50
2013-08-15,23.68,23.86,23.32,23.47,357500,23.47
2013-08-14,24.06,24.43,23.83,23.94,308700,23.94
2013-08-13,23.86,24.72,23.31,24.26,534100,24.26
2013-08-12,23.49,24.01,23.23,23.97,307000,23.97
2013-08-09,23.00,23.60,22.92,23.43,369300,23.43
2013-08-08,23.75,24.06,23.00,23.30,1178900,23.30
2013-08-07,24.88,25.45,23.68,24.15,626600,24.15
2013-08-06,25.29,25.58,24.96,25.03,469300,25.03
2013-08-05,25.34,25.49,24.92,25.27,417200,25.27
2013-08-02,25.91,25.91,25.38,25.51,307300,25.51
2013-08-01,25.35,25.97,24.72,25.93,894000,25.93
2013-07-31,25.40,25.69,25.13,25.17,335600,25.17
2013-07-30,25.58,25.90,25.07,25.50,356000,25.50
2013-07-29,26.12,26.29,25.69,25.73,264000,25.73
2013-07-26,26.09,26.53,26.00,26.23,194800,26.23
2013-07-25,26.49,26.49,25.72,26.09,310800,26.09
2013-07-24,27.00,27.15,26.44,26.60,172600,26.60
2013-07-23,26.95,27.07,26.80,26.90,121700,26.90
2013-07-22,27.19,27.19,26.68,26.86,139600,26.86
2013-07-19,27.00,27.20,26.89,27.15,186300,27.15
2013-07-18,27.15,27.41,27.00,27.11,167000,27.11
2013-07-17,27.33,27.33,26.44,27.03,160000,27.03
2013-07-16,27.35,27.38,27.12,27.29,246100,27.29
2013-07-15,27.39,27.43,27.18,27.29,91500,27.29
2013-07-12,27.00,27.34,26.87,27.32,319700,27.32
2013-07-11,27.06,27.34,26.84,27.00,152600,27.00
2013-07-10,26.16,26.73,26.09,26.64,218200,26.64
2013-07-09,26.77,26.78,25.86,26.20,375600,26.20
2013-07-08,26.42,26.50,26.08,26.45,229100,26.45
2013-07-05,26.05,26.35,26.00,26.31,151400,26.31
2013-07-03,25.97,26.23,25.68,26.00,132600,26.00
2013-07-02,26.45,26.73,26.01,26.11,172800,26.11
2013-07-01,26.43,27.10,26.18,26.45,527000,26.45
2013-06-28,26.24,26.54,26.03,26.13,294400,26.13
