Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.00,0.00,0.00,0.00,000,0.00
2013-09-26,0.00,0.00,0.00,0.00,000,0.00
2013-09-25,0.00,0.00,0.00,0.00,27000,0.00
2013-09-24,0.00,0.00,0.00,0.00,53700,0.00
2013-09-23,0.00,0.00,0.00,0.00,000,0.00
2013-09-20,0.00,0.00,0.00,0.00,129800,0.00
2013-09-19,0.00,0.00,0.00,0.00,000,0.00
2013-09-18,0.00,0.00,0.00,0.00,481000,0.00
2013-09-17,0.00,0.00,0.00,0.00,260000,0.00
2013-09-16,0.00,0.00,0.00,0.00,3912500,0.00
2013-09-13,0.00,0.00,0.00,0.00,000,0.00
2013-09-12,0.00,0.00,0.00,0.00,000,0.00
2013-09-11,0.00,0.00,0.00,0.00,000,0.00
2013-09-10,0.00,0.00,0.00,0.00,000,0.00
2013-09-09,0.00,0.00,0.00,0.00,90000,0.00
2013-09-06,0.00,0.00,0.00,0.00,47000,0.00
2013-09-05,0.00,0.00,0.00,0.00,1455500,0.00
2013-09-04,0.00,0.00,0.00,0.00,000,0.00
2013-09-03,0.00,0.00,0.00,0.00,1000,0.00
2013-09-02,0.00,0.00,0.00,0.00,000,0.00
2013-08-30,0.00,0.00,0.00,0.00,000,0.00
2013-08-29,0.00,0.00,0.00,0.00,10000,0.00
2013-08-28,0.00,0.00,0.00,0.00,220000,0.00
2013-08-27,0.00,0.00,0.00,0.00,20200,0.00
2013-08-26,0.00,0.00,0.00,0.00,118600,0.00
2013-08-23,0.00,0.00,0.00,0.00,000,0.00
2013-08-22,0.00,0.00,0.00,0.00,000,0.00
2013-08-21,0.00,0.00,0.00,0.00,100000,0.00
2013-08-20,0.00,0.00,0.00,0.00,1000,0.00
2013-08-19,0.00,0.00,0.00,0.00,248600,0.00
2013-08-16,0.00,0.00,0.00,0.00,40000,0.00
2013-08-15,0.00,0.00,0.00,0.00,10000,0.00
2013-08-14,0.00,0.00,0.00,0.00,272000,0.00
2013-08-13,0.00,0.00,0.00,0.00,50000,0.00
2013-08-12,0.00,0.00,0.00,0.00,1500,0.00
2013-08-09,0.00,0.00,0.00,0.00,000,0.00
2013-08-08,0.00,0.00,0.00,0.00,000,0.00
2013-08-07,0.00,0.00,0.00,0.00,2600,0.00
2013-08-06,0.00,0.00,0.00,0.00,000,0.00
2013-08-05,0.00,0.00,0.00,0.00,000,0.00
2013-08-02,0.00,0.00,0.00,0.00,13500,0.00
2013-08-01,0.00,0.00,0.00,0.00,000,0.00
2013-07-31,0.00,0.00,0.00,0.00,5200,0.00
2013-07-30,0.00,0.00,0.00,0.00,200000,0.00
2013-07-29,0.00,0.00,0.00,0.00,495400,0.00
2013-07-26,0.00,0.00,0.00,0.00,168600,0.00
2013-07-25,0.00,0.00,0.00,0.00,73300,0.00
2013-07-24,0.00,0.00,0.00,0.00,1900,0.00
2013-07-23,0.00,0.00,0.00,0.00,000,0.00
2013-07-22,0.00,0.00,0.00,0.00,10000,0.00
2013-07-19,0.00,0.00,0.00,0.00,000,0.00
2013-07-18,0.00,0.00,0.00,0.00,000,0.00
2013-07-17,0.00,0.00,0.00,0.00,16000,0.00
2013-07-16,0.00,0.00,0.00,0.00,64600,0.00
2013-07-15,0.00,0.00,0.00,0.00,000,0.00
2013-07-12,0.00,0.00,0.00,0.00,40000,0.00
2013-07-11,0.00,0.00,0.00,0.00,000,0.00
2013-07-10,0.00,0.00,0.00,0.00,4012300,0.00
2013-07-09,0.01,0.01,0.00,0.01,70000,0.01
2013-07-08,0.00,0.00,0.00,0.00,227200,0.00
2013-07-05,0.01,0.01,0.01,0.01,000,0.01
2013-07-04,0.01,0.01,0.01,0.01,000,0.01
2013-07-03,0.01,0.01,0.01,0.01,000,0.01
2013-07-02,0.01,0.01,0.01,0.01,000,0.01
2013-07-01,0.01,0.01,0.01,0.01,000,0.01
2013-06-28,0.01,0.01,0.01,0.01,000,0.01
2013-06-27,0.01,0.01,0.01,0.01,000,0.01
2013-06-26,0.01,0.01,0.01,0.01,5000,0.01
2013-06-25,0.00,0.00,0.00,0.00,200000,0.00
2013-06-24,0.00,0.01,0.00,0.01,1200,0.01
2013-06-21,0.01,0.01,0.01,0.01,000,0.01
2013-06-20,0.01,0.01,0.01,0.01,000,0.01
2013-06-19,0.01,0.01,0.01,0.01,000,0.01
2013-06-18,0.01,0.01,0.01,0.01,000,0.01
2013-06-17,0.01,0.01,0.01,0.01,000,0.01
2013-06-14,0.01,0.01,0.01,0.01,000,0.01
2013-06-13,0.00,0.01,0.00,0.01,13200,0.01
2013-06-12,0.01,0.01,0.01,0.01,2000,0.01
2013-06-11,0.00,0.00,0.00,0.00,000,0.00
2013-06-10,0.00,0.00,0.00,0.00,000,0.00
