date,time,open price,high price,low price,close price,volume,adjusted price
20140129,0,16.27,19.4,16.11,17.04,1075900,17.04
20140128,0,20.31,23.7,15.88,16.1,2112100,16.1
20140127,0,24,25.73,22.19,23.52,999500,23.52
20140124,0,16.65,25.1,16.05,21.18,2653300,21.18
20140123,0,14.25,17.1,13.52,17,1142000,17
20140122,0,14.25,14.5,13.05,14.01,374100,14.01
20140121,0,15.06,15.76,11.62,14.09,1432900,14.09
20140117,0,12.36,14.3,12.2,14.1,1238700,14.1
20140116,0,11.5,12.2,11.07,12.16,655900,12.16
20140115,0,10.71,11.36,10.51,11.25,464800,11.25
20140114,0,10.2,11.5,9.28,10.21,721000,10.21
20140113,0,8.6,12.5,8.6,10.39,2077000,10.39
20140110,0,8.47,9.9,8.38,8.65,530700,8.65
20140109,0,8.5,9.1,7.75,8.95,323000,8.95
20140108,0,8.72,9.15,7.6,8.43,687800,8.43
20140107,0,5.8,9.37,5.8,9.35,1577900,9.35
20140106,0,5.05,5.91,4.81,5.7,463500,5.7
20140103,0,4.4,4.89,4.35,4.88,212000,4.88
20140102,0,4.06,4.38,4.05,4.21,98000,4.21
20131231,0,3.95,4.1,3.91,3.98,80300,3.98
20131230,0,3.64,3.91,3.5,3.8,45600,3.8
20131227,0,3.6,3.78,3.43,3.68,44900,3.68
20131226,0,3.65,3.9,3.48,3.48,77500,3.48
20131224,0,3.55,3.91,3.53,3.56,56500,3.56
20131223,0,3.44,3.55,3.38,3.5,13200,3.5
20131220,0,3.46,3.6,3.38,3.38,29700,3.38
20131219,0,3.42,3.48,3.26,3.47,28200,3.47
20131218,0,3.3,3.54,3.19,3.3,30900,3.3
20131217,0,3.44,3.64,3.18,3.24,50800,3.24
20131216,0,3.41,3.47,3.2,3.39,14400,3.39
20131213,0,3.45,3.59,3.23,3.34,36600,3.34
20131212,0,3.56,3.63,3.4,3.41,39100,3.41
20131211,0,4,4.29,3.5,3.64,520000,3.64
20131210,0,3.41,3.43,3.21,3.28,15900,3.28
20131209,0,3.48,3.6,3.25,3.32,11400,3.32
20131206,0,3.55,3.6,3.39,3.45,13000,3.45
20131205,0,3.76,3.76,3.44,3.49,36800,3.49
20131204,0,3.26,3.52,3.15,3.49,28600,3.49
20131203,0,3.37,3.47,3.15,3.24,33200,3.24
20131202,0,3.4,3.4,3.25,3.3,5900,3.3
20131129,0,3.23,3.46,3.23,3.4,10500,3.4
20131127,0,3.69,3.89,3.22,3.25,124200,3.25
20131126,0,3.05,3.68,3,3.67,387700,3.67
20131125,0,2.96,3.05,2.93,2.93,3900,2.93
20131122,0,2.81,3.17,2.81,2.96,41600,2.96
20131121,0,2.9,2.9,2.84,2.84,9600,2.84
20131120,0,2.99,2.99,2.86,2.86,5500,2.86
20131119,0,2.91,3.04,2.9,2.96,8400,2.96
20131118,0,3,3.05,2.97,2.98,7500,2.98
20131115,0,3.17,3.24,3.01,3.03,13200,3.03
20131114,0,2.9,3.09,2.9,3.02,14700,3.02
20131113,0,3.03,3.22,2.86,2.99,52100,2.99
20131112,0,2.91,3.02,2.86,3.01,4900,3.01
20131111,0,2.89,2.98,2.88,2.98,1500,2.98
20131108,0,2.96,2.96,2.85,2.87,7500,2.87
20131107,0,2.95,2.95,2.85,2.85,14900,2.85
20131106,0,3.03,3.03,2.92,2.93,13300,2.93
20131105,0,2.99,3.14,2.96,3.01,2400,3.01
20131104,0,2.95,3.01,2.95,2.96,15700,2.96
20131101,0,3.14,3.14,3.05,3.05,600,3.05
20131031,0,2.96,3.13,2.95,2.98,7400,2.98
20131030,0,2.99,3,2.96,2.97,4400,2.97
20131029,0,3.01,3.04,2.96,2.96,1700,2.96
20131028,0,3.15,3.15,2.95,2.96,10000,2.96
20131025,0,3.24,3.24,3.06,3.23,9500,3.23
20131024,0,3.13,3.33,3.06,3.19,38600,3.19
20131023,0,3.08,3.15,3.02,3.1,5900,3.1
20131022,0,3.07,3.12,3.05,3.05,9200,3.05
20131021,0,3.1,3.17,2.95,3.05,16900,3.05
20131018,0,3.05,3.32,3.05,3.09,32300,3.09
20131017,0,2.97,3.04,2.97,3.04,4900,3.04
20131016,0,3.09,3.09,2.9,2.99,31700,2.99
20131015,0,3.2,3.33,3.05,3.07,36900,3.07
20131014,0,2.97,3.1,2.92,3.05,6700,3.05
20131011,0,3.06,3.17,3.01,3.01,11500,3.01
20131010,0,2.88,3.05,2.88,2.98,13900,2.98
20131009,0,2.92,3.02,2.77,2.87,33500,2.87
20131008,0,3.21,3.3,2.96,3.06,29800,3.06
20131007,0,3.14,3.22,3.14,3.19,9700,3.19
20131004,0,3.25,3.3,3.14,3.2,33500,3.2
20131003,0,3.48,3.48,3.3,3.31,27500,3.31
20131002,0,3.42,3.49,3.38,3.44,18600,3.44
20131001,0,3.44,3.44,3.4,3.42,17200,3.42
20130930,0,3.4,3.5,3.4,3.44,33600,3.44
20130927,0,3.54,3.59,3.4,3.41,10800,3.41
20130926,0,3.5,3.6,3.43,3.52,35800,3.52
20130925,0,3.62,3.63,3.4,3.46,35300,3.46
20130924,0,3.58,3.82,3.49,3.63,46100,3.63
20130923,0,3.93,3.94,3.58,3.62,52400,3.62
20130920,0,4.36,4.36,3.81,3.93,130000,3.93
20130919,0,5.03,5.65,4.27,4.38,513500,4.38
20130918,0,5.09,5.25,4.81,4.9,84800,4.9
20130917,0,5.03,5.16,4.8,5.03,33200,5.03
20130916,0,4.96,5.24,4.85,4.98,81900,4.98
20130913,0,5.03,5.45,4.84,4.94,128900,4.94
20130912,0,4.79,5.32,4.66,4.94,146200,4.94
20130911,0,4.84,5.1,4.74,4.81,46000,4.81
20130910,0,4.96,5.15,4.78,4.82,39900,4.82
20130909,0,5.25,5.4,4.57,4.97,200300,4.97
20130906,0,4.28,5.38,4.12,5.19,421400,5.19
20130905,0,4.07,4.4,4.05,4.22,161300,4.22
20130904,0,4.1,4.82,3.93,4.07,665500,4.07
20130903,0,3.4,3.4,3.18,3.32,18700,3.32
20130830,0,3.38,3.48,3.24,3.33,15400,3.33
20130829,0,3.2,3.52,3.17,3.4,41400,3.4
20130828,0,3.27,3.4,3.21,3.3,7000,3.3
20130827,0,3.24,3.49,3.21,3.3,14000,3.3
20130826,0,3.3,3.72,3.27,3.32,153900,3.32
20130823,0,3.17,3.39,3.15,3.26,45300,3.26
20130822,0,3.3,3.34,3.15,3.17,21300,3.17
20130821,0,3.24,3.42,3.15,3.35,12500,3.35
20130820,0,3.25,3.36,3.16,3.23,45500,3.23
20130819,0,3.55,3.55,3.16,3.27,67500,3.27
20130816,0,3.35,4.36,3.25,3.64,295500,3.64
20130815,0,3.17,3.45,3.16,3.42,27900,3.42
20130814,0,3.4,3.49,3.15,3.3,32100,3.3
20130813,0,3.29,3.84,3.16,3.44,272500,3.44
20130812,0,3.29,3.33,2.99,3.08,15900,3.08
20130809,0,3.09,3.26,3.09,3.15,4300,3.15
20130808,0,3.22,3.3,3.13,3.2,3200,3.2
20130807,0,3.03,3.4,3,3.27,20900,3.27
20130806,0,3.16,3.3,3.1,3.16,17400,3.16
20130805,0,3.4,3.5,2.82,3.1,134000,3.1
20130802,0,3.41,3.95,3.2,3.37,291400,3.37
20130801,0,2.54,3.39,2.42,3.17,250600,3.17
20130731,0,2.61,2.67,2.54,2.54,6500,2.54
20130730,0,2.64,2.71,2.61,2.65,3600,2.65
20130729,0,2.63,2.64,2.58,2.64,2100,2.64
20130726,0,2.63,2.63,2.47,2.58,5900,2.58
20130725,0,2.5,2.64,2.38,2.38,23000,2.38
