Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,1.97,2.01,1.97,1.98,210500,1.98
2013-09-26,2.01,2.01,1.96,1.98,272200,1.98
2013-09-25,1.97,2.02,1.97,2.01,435700,2.01
2013-09-24,2.00,2.00,1.96,1.97,281500,1.97
2013-09-23,1.99,2.00,1.98,1.99,389300,1.99
2013-09-20,2.04,2.05,1.99,1.99,802200,1.99
2013-09-19,2.00,2.03,2.00,2.03,308700,2.03
2013-09-18,2.02,2.05,2.00,2.00,225800,2.00
2013-09-17,2.01,2.04,2.01,2.04,119600,2.04
2013-09-16,2.04,2.04,2.00,2.01,167500,2.01
2013-09-13,2.02,2.05,1.99,2.04,231900,2.04
2013-09-12,2.02,2.05,2.01,2.02,200800,2.02
2013-09-11,2.01,2.05,2.01,2.02,257100,2.02
2013-09-10,2.05,2.05,2.01,2.02,256100,2.02
2013-09-09,2.02,2.05,2.00,2.05,278300,2.05
2013-09-06,2.07,2.07,2.00,2.02,224600,2.02
2013-09-05,2.02,2.08,2.02,2.05,152500,2.05
2013-09-04,2.05,2.08,2.00,2.03,221700,2.03
2013-09-03,2.03,2.10,1.99,2.05,259200,2.05
2013-08-30,2.10,2.12,2.02,2.02,273900,2.02
2013-08-29,2.12,2.13,2.06,2.11,118400,2.11
2013-08-28,2.08,2.13,2.08,2.12,268100,2.12
2013-08-27,2.11,2.18,2.06,2.07,285800,2.07
2013-08-26,2.08,2.17,2.08,2.14,227400,2.14
2013-08-23,2.12,2.15,2.04,2.08,224200,2.08
2013-08-22,2.11,2.14,2.07,2.14,245700,2.14
2013-08-21,2.02,2.13,1.99,2.12,345800,2.12
2013-08-20,2.02,2.05,1.93,2.02,612000,2.02
2013-08-19,2.07,2.09,2.02,2.03,188000,2.03
2013-08-16,2.04,2.11,2.04,2.07,198600,2.07
2013-08-15,2.13,2.13,2.03,2.04,354700,2.04
2013-08-14,2.12,2.20,2.10,2.12,272900,2.12
2013-08-13,2.04,2.16,2.04,2.10,524500,2.10
2013-08-12,2.06,2.10,2.02,2.06,283200,2.06
2013-08-09,2.17,2.18,2.06,2.10,312900,2.10
2013-08-08,2.06,2.20,1.89,2.19,748700,2.19
2013-08-07,2.30,2.33,2.19,2.20,322100,2.20
2013-08-06,2.31,2.33,2.25,2.31,145400,2.31
2013-08-05,2.40,2.42,2.33,2.34,257100,2.34
2013-08-02,2.40,2.43,2.38,2.38,169800,2.38
2013-08-01,2.41,2.45,2.38,2.42,193400,2.42
2013-07-31,2.43,2.44,2.35,2.40,163600,2.40
2013-07-30,2.40,2.44,2.38,2.42,133400,2.42
2013-07-29,2.41,2.46,2.37,2.38,219100,2.38
2013-07-26,2.45,2.49,2.44,2.44,108300,2.44
2013-07-25,2.42,2.51,2.42,2.48,333800,2.48
2013-07-24,2.48,2.54,2.39,2.43,447000,2.43
2013-07-23,2.49,2.56,2.45,2.46,600200,2.46
2013-07-22,2.44,2.52,2.43,2.49,309700,2.49
2013-07-19,2.44,2.50,2.43,2.46,290800,2.46
2013-07-18,2.41,2.48,2.41,2.45,308600,2.45
2013-07-17,2.44,2.45,2.39,2.42,243200,2.42
2013-07-16,2.40,2.45,2.38,2.44,341100,2.44
2013-07-15,2.39,2.43,2.37,2.39,258800,2.39
2013-07-12,2.43,2.43,2.38,2.40,218600,2.40
2013-07-11,2.41,2.45,2.39,2.44,263000,2.44
2013-07-10,2.43,2.45,2.37,2.39,269000,2.39
2013-07-09,2.40,2.42,2.38,2.41,241200,2.41
2013-07-08,2.37,2.41,2.37,2.39,277200,2.39
2013-07-05,2.36,2.39,2.33,2.37,216000,2.37
2013-07-03,2.30,2.36,2.30,2.35,95500,2.35
2013-07-02,2.30,2.38,2.23,2.31,447300,2.31
2013-07-01,2.23,2.30,2.22,2.29,235600,2.29
2013-06-28,2.23,2.28,2.22,2.25,562400,2.25
2013-06-27,2.25,2.26,2.21,2.26,325400,2.26
2013-06-26,2.25,2.27,2.22,2.24,165500,2.24
2013-06-25,2.25,2.27,2.17,2.24,263400,2.24
2013-06-24,2.26,2.29,2.22,2.23,255500,2.23
2013-06-21,2.24,2.32,2.22,2.26,462100,2.26
2013-06-20,2.29,2.36,2.26,2.28,344700,2.28
2013-06-19,2.42,2.42,2.26,2.32,290800,2.32
2013-06-18,2.33,2.44,2.32,2.43,297000,2.43
2013-06-17,2.29,2.40,2.23,2.32,526100,2.32
2013-06-14,2.48,2.50,2.40,2.40,178700,2.40
2013-06-13,2.42,2.50,2.38,2.48,556500,2.48
2013-06-12,2.50,2.50,2.41,2.45,223900,2.45
2013-06-11,2.44,2.50,2.39,2.50,549100,2.50
2013-06-10,2.39,2.45,2.39,2.45,262600,2.45
2013-06-07,2.44,2.45,2.37,2.45,430900,2.45
2013-06-06,2.36,2.44,2.33,2.39,244500,2.39
2013-06-05,2.39,2.42,2.33,2.37,290100,2.37
2013-06-04,2.37,2.47,2.33,2.40,625300,2.40
2013-06-03,2.38,2.39,2.26,2.36,503400,2.36
2013-05-31,2.32,2.39,2.28,2.37,585600,2.37
2013-05-30,2.23,2.36,2.19,2.31,769300,2.31
2013-05-29,2.16,2.25,2.16,2.21,597600,2.21
2013-05-28,2.08,2.27,2.04,2.20,2248000,2.20
2013-05-24,2.06,2.06,2.03,2.05,161900,2.05
2013-05-23,2.03,2.10,2.00,2.06,376600,2.06
2013-05-22,2.08,2.09,2.02,2.05,363800,2.05
2013-05-21,2.08,2.10,2.05,2.08,196500,2.08
2013-05-20,2.02,2.10,2.02,2.09,236200,2.09
2013-05-17,2.09,2.10,2.04,2.04,331800,2.04
2013-05-16,2.10,2.10,2.05,2.08,144500,2.08
2013-05-15,2.08,2.12,2.04,2.10,442400,2.10
2013-05-14,1.95,2.11,1.95,2.07,592700,2.07
2013-05-13,2.01,2.03,1.92,1.95,407900,1.95
2013-05-10,2.03,2.08,1.98,2.02,329700,2.02
2013-05-09,2.02,2.11,2.00,2.03,922700,2.03
2013-05-08,1.96,2.05,1.93,2.04,361200,2.04
2013-05-07,2.00,2.03,1.98,1.98,265700,1.98
2013-05-06,1.95,2.07,1.92,2.03,414300,2.03
2013-05-03,1.92,2.00,1.90,1.97,304300,1.97
2013-05-02,1.90,1.92,1.86,1.90,185900,1.90
2013-05-01,1.92,1.92,1.88,1.88,307700,1.88
2013-04-30,1.91,1.94,1.90,1.93,129900,1.93
2013-04-29,1.93,1.95,1.90,1.92,161700,1.92
2013-04-26,2.00,2.00,1.92,1.92,288300,1.92
2013-04-25,1.89,2.00,1.89,1.96,310300,1.96
2013-04-24,1.90,1.91,1.85,1.87,244000,1.87
2013-04-23,1.86,1.95,1.84,1.92,304400,1.92
2013-04-22,1.83,1.85,1.81,1.83,121900,1.83
2013-04-19,1.80,1.87,1.80,1.85,186300,1.85
2013-04-18,1.85,1.89,1.80,1.81,192900,1.81
2013-04-17,1.92,1.95,1.83,1.85,252400,1.85
2013-04-16,1.86,2.06,1.86,1.94,255500,1.94
2013-04-15,1.95,1.97,1.82,1.84,278500,1.84
2013-04-12,1.96,2.02,1.93,1.95,154800,1.95
2013-04-11,1.99,2.08,1.97,1.97,191800,1.97
2013-04-10,1.90,2.01,1.90,2.00,344300,2.00
2013-04-09,2.00,2.00,1.92,1.92,203400,1.92
2013-04-08,1.93,2.01,1.90,2.01,287800,2.01
2013-04-05,1.97,2.00,1.88,1.92,319900,1.92
2013-04-04,2.02,2.08,2.00,2.03,185400,2.03
2013-04-03,2.04,2.05,1.95,2.03,284900,2.03
2013-04-02,2.05,2.09,2.02,2.04,208400,2.04
2013-04-01,2.06,2.07,2.00,2.04,328900,2.04
2013-03-28,2.20,2.20,2.06,2.08,283200,2.08
2013-03-27,2.10,2.20,2.10,2.19,280000,2.19
2013-03-26,2.14,2.14,2.07,2.12,147100,2.12
2013-03-25,2.14,2.15,2.03,2.13,384400,2.13
2013-03-22,2.10,2.15,2.08,2.14,157400,2.14
2013-03-21,2.06,2.14,2.05,2.13,251800,2.13
2013-03-20,2.10,2.14,2.04,2.06,244100,2.06
2013-03-19,2.13,2.17,2.07,2.11,322300,2.11
2013-03-18,2.15,2.17,2.12,2.14,131300,2.14
2013-03-15,2.25,2.27,2.16,2.17,491200,2.17
2013-03-14,2.22,2.25,2.18,2.23,197300,2.23
2013-03-13,2.15,2.25,2.10,2.22,278900,2.22
2013-03-12,2.19,2.22,2.12,2.14,340700,2.14
2013-03-11,2.24,2.26,2.20,2.23,136200,2.23
2013-03-08,2.26,2.33,2.22,2.25,314500,2.25
2013-03-07,2.15,2.25,2.14,2.25,292000,2.25
2013-03-06,2.13,2.19,2.13,2.16,254200,2.16
2013-03-05,2.10,2.15,2.08,2.13,355100,2.13
2013-03-04,2.12,2.13,2.07,2.10,308800,2.10
2013-03-01,2.10,2.16,2.10,2.14,376300,2.14
2013-02-28,2.14,2.17,2.12,2.12,573300,2.12
2013-02-27,2.13,2.16,2.09,2.14,287400,2.14
2013-02-26,2.20,2.20,2.11,2.13,355200,2.13
2013-02-25,2.26,2.29,2.17,2.19,401400,2.19
2013-02-22,2.17,2.28,2.13,2.26,605700,2.26
2013-02-21,2.18,2.20,2.11,2.15,440200,2.15
2013-02-20,2.30,2.30,2.08,2.20,654800,2.20
2013-02-19,2.32,2.40,2.30,2.38,543000,2.38
2013-02-15,2.21,2.37,2.17,2.31,439900,2.31
2013-02-14,2.35,2.36,2.12,2.17,906900,2.17
2013-02-13,2.39,2.41,2.32,2.36,408100,2.36
2013-02-12,2.31,2.40,2.30,2.38,247800,2.38
2013-02-11,2.27,2.34,2.25,2.30,288100,2.30
2013-02-08,2.29,2.31,2.26,2.28,354700,2.28
2013-02-07,2.39,2.39,2.27,2.28,473500,2.28
2013-02-06,2.39,2.45,2.37,2.40,193800,2.40
2013-02-05,2.41,2.44,2.37,2.41,285700,2.41
2013-02-04,2.35,2.45,2.34,2.39,476300,2.39
2013-02-01,2.33,2.39,2.29,2.37,455300,2.37
2013-01-31,2.30,2.40,2.26,2.36,298200,2.36
2013-01-30,2.47,2.49,2.34,2.34,427000,2.34
2013-01-29,2.47,2.49,2.36,2.49,467400,2.49
2013-01-28,2.45,2.48,2.42,2.46,318900,2.46
2013-01-25,2.50,2.50,2.42,2.45,356400,2.45
2013-01-24,2.37,2.52,2.31,2.48,884400,2.48
2013-01-23,2.31,2.40,2.30,2.38,391800,2.38
2013-01-22,2.31,2.34,2.25,2.33,399400,2.33
2013-01-18,2.39,2.40,2.31,2.32,620600,2.32
2013-01-17,2.31,2.35,2.28,2.34,228400,2.34
2013-01-16,2.31,2.35,2.29,2.30,239000,2.30
2013-01-15,2.35,2.40,2.30,2.33,518900,2.33
2013-01-14,2.24,2.40,2.24,2.37,498200,2.37
2013-01-11,2.29,2.29,2.24,2.26,203000,2.26
2013-01-10,2.27,2.29,2.26,2.28,158600,2.28
2013-01-09,2.29,2.29,2.24,2.25,140700,2.25
2013-01-08,2.28,2.31,2.24,2.29,156000,2.29
2013-01-07,2.25,2.30,2.25,2.29,285500,2.29
2013-01-04,2.30,2.33,2.25,2.27,246700,2.27
2013-01-03,2.25,2.31,2.25,2.28,315200,2.28
2013-01-02,2.29,2.42,2.26,2.34,818800,2.34
2012-12-31,2.21,2.24,2.16,2.22,1408700,2.22
2012-12-28,2.27,2.29,2.22,2.22,691200,2.22
2012-12-27,2.35,2.35,2.22,2.29,838700,2.29
2012-12-26,2.24,2.35,2.22,2.35,1241100,2.35
2012-12-24,2.15,2.25,2.15,2.24,399200,2.24
2012-12-21,2.18,2.24,2.12,2.17,1107600,2.17
2012-12-20,2.29,2.29,2.25,2.28,657000,2.28
2012-12-19,2.24,2.35,2.18,2.33,824400,2.33
2012-12-18,2.16,2.29,2.05,2.25,612200,2.25
2012-12-17,2.16,2.29,2.14,2.22,629800,2.22
2012-12-14,2.14,2.18,2.06,2.16,777900,2.16
2012-12-13,2.18,2.24,2.14,2.15,556400,2.15
2012-12-12,2.13,2.25,2.10,2.19,915100,2.19
2012-12-11,2.12,2.13,2.06,2.12,740800,2.12
2012-12-10,2.06,2.12,2.04,2.11,644600,2.11
2012-12-07,2.08,2.10,2.02,2.06,443300,2.06
2012-12-06,2.08,2.09,1.99,2.07,658400,2.07
2012-12-05,2.05,2.09,1.99,2.07,433300,2.07
2012-12-04,2.04,2.11,1.98,2.03,731900,2.03
2012-12-03,1.96,2.05,1.95,2.04,875400,2.04
2012-11-30,1.96,2.00,1.91,1.94,745200,1.94
2012-11-29,1.97,1.97,1.83,1.95,812300,1.95
2012-11-28,1.79,1.95,1.76,1.95,919300,1.95
2012-11-27,1.69,1.83,1.66,1.81,1876600,1.81
2012-11-26,1.71,1.71,1.66,1.67,692500,1.67
2012-11-23,1.70,1.72,1.65,1.71,403000,1.71
2012-11-21,1.67,1.72,1.62,1.69,548100,1.69
2012-11-20,1.70,1.73,1.66,1.68,442900,1.68
2012-11-19,1.78,1.82,1.66,1.70,527200,1.70
2012-11-16,1.80,1.83,1.77,1.78,295200,1.78
2012-11-15,1.84,1.85,1.80,1.81,185800,1.81
2012-11-14,1.79,1.86,1.79,1.85,380000,1.85
2012-11-13,1.73,1.80,1.70,1.78,366200,1.78
2012-11-12,1.77,1.78,1.68,1.75,558000,1.75
2012-11-09,1.79,1.81,1.75,1.76,484800,1.76
2012-11-08,1.90,1.91,1.80,1.80,454400,1.80
2012-11-07,1.99,2.01,1.88,1.88,457800,1.88
2012-11-06,2.09,2.09,1.97,1.99,613300,1.99
2012-11-05,2.07,2.14,2.05,2.07,261000,2.07
2012-11-02,2.08,2.18,2.08,2.09,386100,2.09
2012-11-01,2.10,2.17,2.10,2.16,324600,2.16
2012-10-31,2.10,2.18,2.10,2.11,254300,2.11
2012-10-26,2.10,2.18,2.09,2.11,235000,2.11
2012-10-25,2.19,2.23,2.13,2.17,261900,2.17
2012-10-24,2.15,2.20,2.11,2.16,203600,2.16
2012-10-23,2.15,2.21,2.11,2.15,210300,2.15
2012-10-22,2.11,2.29,2.09,2.17,390300,2.17
2012-10-19,2.12,2.12,2.05,2.10,473700,2.10
2012-10-18,2.13,2.14,2.10,2.10,304500,2.10
2012-10-17,2.10,2.17,2.10,2.13,290800,2.13
2012-10-16,2.21,2.21,2.08,2.11,758100,2.11
2012-10-15,2.30,2.31,2.17,2.21,343300,2.21
2012-10-12,2.34,2.35,2.29,2.30,105200,2.30
2012-10-11,2.32,2.36,2.31,2.35,185500,2.35
2012-10-10,2.26,2.35,2.26,2.31,190700,2.31
2012-10-09,2.25,2.28,2.24,2.26,136600,2.26
2012-10-08,2.29,2.29,2.18,2.25,205100,2.25
2012-10-05,2.36,2.42,2.29,2.31,201700,2.31
2012-10-04,2.31,2.38,2.26,2.35,183900,2.35
2012-10-03,2.34,2.37,2.24,2.30,484600,2.30
2012-10-02,2.39,2.41,2.32,2.34,254400,2.34
2012-10-01,2.35,2.40,2.32,2.37,202900,2.37
2012-09-28,2.37,2.44,2.34,2.34,156500,2.34
2012-09-27,2.33,2.43,2.32,2.40,494000,2.40
2012-09-26,2.35,2.35,2.26,2.33,247900,2.33
2012-09-25,2.42,2.47,2.34,2.37,239100,2.37
2012-09-24,2.38,2.41,2.31,2.39,224900,2.39
2012-09-21,2.42,2.42,2.37,2.40,412200,2.40
2012-09-20,2.44,2.47,2.42,2.43,172800,2.43
2012-09-19,2.45,2.50,2.42,2.45,198600,2.45
2012-09-18,2.48,2.48,2.40,2.44,309700,2.44
2012-09-17,2.42,2.53,2.42,2.49,309700,2.49
2012-09-14,2.43,2.45,2.40,2.45,330100,2.45
2012-09-13,2.42,2.45,2.40,2.41,406700,2.41
2012-09-12,2.42,2.45,2.38,2.43,290900,2.43
2012-09-11,2.35,2.44,2.35,2.42,263300,2.42
2012-09-10,2.28,2.36,2.28,2.35,428700,2.35
2012-09-07,2.36,2.36,2.22,2.26,648500,2.26
2012-09-06,2.36,2.40,2.29,2.32,490700,2.32
2012-09-05,2.40,2.40,2.32,2.34,303100,2.34
2012-09-04,2.31,2.41,2.26,2.38,411000,2.38
2012-08-31,2.54,2.54,2.27,2.31,1165400,2.31
2012-08-30,2.50,2.54,2.46,2.51,165300,2.51
2012-08-29,2.51,2.54,2.48,2.53,149900,2.53
2012-08-28,2.50,2.54,2.46,2.50,211400,2.50
2012-08-27,2.49,2.58,2.46,2.51,242700,2.51
2012-08-24,2.52,2.52,2.44,2.49,222700,2.49
2012-08-23,2.57,2.57,2.52,2.53,126400,2.53
2012-08-22,2.53,2.65,2.52,2.58,208000,2.58
2012-08-21,2.61,2.62,2.53,2.53,218500,2.53
2012-08-20,2.59,2.67,2.53,2.60,355100,2.60
2012-08-17,2.60,2.62,2.53,2.59,255600,2.59
2012-08-16,2.59,2.65,2.55,2.61,246500,2.61
2012-08-15,2.54,2.88,2.53,2.60,872900,2.60
2012-08-14,2.54,2.56,2.50,2.51,159100,2.51
2012-08-13,2.55,2.56,2.46,2.53,210400,2.53
2012-08-10,2.58,2.59,2.50,2.53,271400,2.53
2012-08-09,2.41,2.60,2.41,2.59,619600,2.59
2012-08-08,2.56,2.63,2.38,2.39,775800,2.39
