Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,3.86,4.14,3.86,3.90,15900,3.90
2013-09-26,3.69,4.11,3.34,3.91,13700,3.91
2013-09-25,4.04,4.10,3.95,3.99,12400,3.99
2013-09-24,4.12,4.16,3.81,3.96,30900,3.96
2013-09-23,4.25,4.41,4.15,4.27,22000,4.27
2013-09-20,4.39,4.43,4.10,4.21,40400,4.21
2013-09-19,4.22,4.57,4.08,4.57,51200,4.57
2013-09-18,4.38,4.40,4.05,4.30,45200,4.30
2013-09-17,4.26,4.40,3.91,4.30,21300,4.30
2013-09-16,4.21,4.40,4.14,4.17,45200,4.17
2013-09-13,4.05,4.25,3.91,4.15,48200,4.15
2013-09-12,3.62,4.25,3.62,3.99,70600,3.99
2013-09-11,3.57,3.65,3.45,3.55,20300,3.55
2013-09-10,3.59,3.80,3.30,3.60,90600,3.60
2013-09-09,3.66,3.75,3.36,3.47,18800,3.47
2013-09-06,3.38,3.75,3.36,3.75,22700,3.75
2013-09-05,3.36,3.38,3.27,3.38,4700,3.38
2013-09-04,3.19,3.39,3.17,3.38,15200,3.38
2013-09-03,3.12,3.17,3.00,3.17,19600,3.17
2013-08-30,3.00,3.21,3.00,3.21,45800,3.21
2013-08-29,2.85,3.10,2.83,3.10,66000,3.10
2013-08-28,2.95,2.95,2.93,2.95,15000,2.95
2013-08-27,2.97,3.00,2.90,2.91,41900,2.91
2013-08-26,3.00,3.19,2.95,2.99,41400,2.99
2013-08-23,3.22,3.27,2.70,2.70,38400,2.70
2013-08-22,3.21,3.35,3.10,3.28,2200,3.28
2013-08-21,3.08,3.34,3.03,3.28,29400,3.28
2013-08-20,3.04,3.20,2.91,3.10,77600,3.10
2013-08-19,3.10,3.10,2.85,2.99,10800,2.99
2013-08-16,2.91,3.15,2.91,3.03,26900,3.03
2013-08-15,2.89,2.95,2.80,2.95,5300,2.95
2013-08-14,2.77,2.90,2.75,2.90,48200,2.90
2013-08-13,2.88,2.88,2.80,2.80,12900,2.80
2013-08-12,2.75,2.88,2.73,2.84,18800,2.84
2013-08-09,2.77,2.77,2.73,2.76,12900,2.76
2013-08-08,2.75,2.91,2.74,2.77,14600,2.77
2013-08-07,2.78,2.84,2.71,2.79,7200,2.79
2013-08-06,2.75,3.08,2.74,2.85,50200,2.85
2013-08-05,2.90,2.95,2.78,2.79,37700,2.79
2013-08-02,2.83,2.85,2.68,2.80,44300,2.80
2013-08-01,2.91,2.96,2.84,2.84,9100,2.84
2013-07-31,2.86,2.97,2.76,2.97,13700,2.97
2013-07-30,3.00,3.45,2.77,2.77,89700,2.77
2013-07-29,2.85,3.10,2.80,3.00,105600,3.00
2013-07-26,2.59,3.00,2.24,2.89,58000,2.89
2013-07-25,2.51,2.51,2.51,2.51,000,2.51
2013-07-24,2.65,2.65,2.50,2.51,17500,2.51
2013-07-23,2.65,2.65,2.65,2.65,000,2.65
2013-07-22,2.72,2.72,2.65,2.65,1500,2.65
2013-07-19,2.59,2.74,2.59,2.74,10600,2.74
2013-07-18,2.75,2.75,2.70,2.70,3800,2.70
2013-07-17,2.72,2.74,2.72,2.74,200,2.74
2013-07-16,2.76,2.78,2.66,2.75,16200,2.75
2013-07-15,2.77,2.79,2.76,2.77,12400,2.77
2013-07-12,2.79,2.79,2.76,2.76,1500,2.76
2013-07-11,2.83,2.83,2.75,2.77,2000,2.77
2013-07-10,2.77,2.82,2.75,2.82,8500,2.82
2013-07-09,2.83,2.86,2.80,2.83,5200,2.83
2013-07-08,2.79,2.82,2.77,2.82,3400,2.82
2013-07-05,2.89,2.89,2.77,2.77,5200,2.77
2013-07-03,2.80,2.93,2.78,2.84,12700,2.84
2013-07-02,2.95,2.95,2.85,2.85,5100,2.85
2013-07-01,2.92,2.92,2.85,2.90,1300,2.90
2013-06-28,3.00,3.00,2.86,2.96,7500,2.96
2013-06-27,3.01,3.01,2.94,3.00,19600,3.00
2013-06-26,3.01,3.01,2.95,3.01,17400,3.01
2013-06-25,3.00,3.00,2.96,3.00,14700,3.00
2013-06-24,3.00,3.03,2.85,3.03,10100,3.03
2013-06-21,3.00,3.03,2.94,3.03,6400,3.03
2013-06-20,3.00,3.02,3.00,3.00,21400,3.00
2013-06-19,3.00,3.03,3.00,3.00,10200,3.00
2013-06-18,2.98,3.00,2.97,3.00,13800,3.00
2013-06-17,2.99,3.02,2.98,3.00,7100,3.00
2013-06-14,2.98,3.02,2.96,3.00,9600,3.00
2013-06-13,3.00,3.03,2.93,3.01,3600,3.01
2013-06-12,2.98,3.02,2.88,3.00,28400,3.00
2013-06-11,2.98,3.02,2.90,2.93,15000,2.93
2013-06-10,3.03,3.06,2.89,3.00,14100,3.00
2013-06-07,2.89,3.05,2.89,3.05,23800,3.05
2013-06-06,2.99,2.99,2.82,2.83,11600,2.83
2013-06-05,3.08,3.08,2.89,2.98,7000,2.98
2013-06-04,3.25,3.27,3.03,3.03,46000,3.03
2013-06-03,3.25,3.30,3.25,3.25,14800,3.25
2013-05-31,3.45,3.45,3.12,3.19,3100,3.19
2013-05-30,3.07,3.60,3.07,3.41,45700,3.41
2013-05-29,3.10,3.11,3.10,3.10,22200,3.10
2013-05-28,3.10,3.12,3.10,3.10,31500,3.10
2013-05-24,3.10,3.13,3.06,3.06,21700,3.06
2013-05-23,3.10,3.16,3.10,3.15,17700,3.15
2013-05-22,3.10,3.11,3.08,3.08,54400,3.08
2013-05-21,3.05,3.10,3.05,3.10,1600,3.10
2013-05-20,3.01,3.17,3.00,3.10,3200,3.10
2013-05-17,3.13,3.13,3.10,3.10,30900,3.10
2013-05-16,3.00,3.18,2.91,3.15,53800,3.15
2013-05-15,3.09,3.16,2.84,3.15,88700,3.15
2013-05-14,2.86,3.05,2.83,3.05,87100,3.05
2013-05-13,2.87,2.89,2.57,2.79,14600,2.79
2013-05-10,2.69,2.78,2.65,2.77,23900,2.77
2013-05-09,3.21,3.21,2.64,2.74,97500,2.74
