Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,1.48,1.49,1.36,1.49,12000,1.49
2013-09-26,1.41,1.49,1.38,1.49,6200,1.49
2013-09-25,1.49,1.50,1.48,1.48,5100,1.48
2013-09-24,1.53,1.54,1.50,1.50,4800,1.50
2013-09-23,1.41,1.53,1.41,1.53,4800,1.53
2013-09-20,1.51,1.55,1.43,1.43,8300,1.43
2013-09-19,1.55,1.55,1.50,1.52,6100,1.52
2013-09-18,1.55,1.57,1.55,1.56,600,1.56
2013-09-17,1.60,1.61,1.49,1.49,10600,1.49
2013-09-16,1.57,1.63,1.57,1.63,4300,1.63
2013-09-13,1.54,1.60,1.52,1.54,10600,1.54
2013-09-12,1.57,1.60,1.50,1.57,14500,1.57
2013-09-11,1.60,1.69,1.49,1.61,22500,1.61
2013-09-10,1.52,1.68,1.52,1.57,40500,1.57
2013-09-09,1.55,1.59,1.51,1.51,8100,1.51
2013-09-06,1.58,1.59,1.55,1.59,3400,1.59
2013-09-05,1.50,1.58,1.42,1.58,7000,1.58
2013-09-04,1.57,1.57,1.57,1.57,000,1.57
2013-09-03,1.53,1.57,1.50,1.57,3200,1.57
2013-08-30,1.61,1.61,1.49,1.51,9200,1.51
2013-08-29,1.55,1.63,1.55,1.63,5400,1.63
2013-08-28,1.59,1.60,1.59,1.60,1700,1.60
2013-08-27,1.59,1.60,1.53,1.55,3600,1.55
2013-08-26,1.60,1.60,1.50,1.59,5000,1.59
2013-08-23,1.50,1.50,1.50,1.50,000,1.50
2013-08-22,1.50,1.50,1.50,1.50,000,1.50
2013-08-21,1.45,1.53,1.45,1.50,2800,1.50
2013-08-20,1.44,1.45,1.42,1.42,3000,1.42
2013-08-19,1.45,1.45,1.40,1.45,11700,1.45
2013-08-16,1.42,1.45,1.41,1.45,3000,1.45
2013-08-15,1.45,1.50,1.44,1.47,19000,1.47
2013-08-14,1.60,1.60,1.55,1.55,5400,1.55
2013-08-13,1.53,1.63,1.53,1.63,1000,1.63
2013-08-12,1.50,1.59,1.46,1.59,12200,1.59
2013-08-09,1.59,1.60,1.55,1.55,2800,1.55
2013-08-08,1.60,1.62,1.60,1.62,800,1.62
2013-08-07,1.55,1.63,1.53,1.60,11800,1.60
2013-08-06,1.63,1.65,1.57,1.63,26200,1.63
2013-08-05,1.70,1.70,1.56,1.67,41300,1.67
2013-08-02,1.73,1.80,1.66,1.73,15100,1.73
2013-08-01,1.60,2.04,1.60,1.72,76600,1.72
2013-07-31,1.85,1.85,1.68,1.76,17500,1.76
2013-07-30,1.75,1.90,1.66,1.80,39900,1.80
2013-07-29,1.80,1.80,1.62,1.79,6900,1.79
2013-07-26,1.75,1.81,1.62,1.81,29200,1.81
2013-07-25,1.56,1.73,1.56,1.73,22600,1.73
