Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,9.31,9.31,9.31,9.31,000,9.31
2013-09-26,9.31,9.31,9.31,9.31,000,9.31
2013-09-25,9.31,9.31,9.31,9.31,000,9.31
2013-09-24,9.31,9.31,9.31,9.31,000,9.31
2013-09-23,9.31,9.31,9.31,9.31,000,9.31
2013-09-20,9.31,9.31,9.31,9.31,000,9.31
2013-09-19,9.31,9.31,9.31,9.31,000,9.31
2013-09-18,9.31,9.31,9.31,9.31,000,9.31
2013-09-17,9.31,9.31,9.31,9.31,000,9.31
2013-09-16,9.31,9.31,9.31,9.31,000,9.31
2013-09-13,9.31,9.31,9.31,9.31,000,9.31
2013-09-12,9.31,9.31,9.31,9.31,000,9.31
2013-09-11,9.31,9.31,9.31,9.31,000,9.31
2013-09-10,9.31,9.31,9.31,9.31,000,9.31
2013-09-09,9.31,9.31,9.31,9.31,000,9.31
2013-09-06,9.31,9.31,9.31,9.31,000,9.31
2013-09-05,9.31,9.31,9.31,9.31,000,9.31
2013-09-04,9.31,9.31,9.31,9.31,000,9.31
2013-09-03,9.31,9.31,9.31,9.31,000,9.31
2013-09-02,9.31,9.31,9.31,9.31,000,9.31
2013-08-30,9.31,9.31,9.31,9.31,000,9.31
2013-08-29,9.31,9.31,9.31,9.31,000,9.31
2013-08-28,9.31,9.31,9.31,9.31,000,9.31
2013-08-27,9.31,9.31,9.31,9.31,000,9.31
2013-08-26,9.31,9.31,9.31,9.31,000,9.31
2013-08-23,9.31,9.31,9.31,9.31,000,9.31
2013-08-22,9.31,9.31,9.31,9.31,000,9.31
2013-08-21,9.31,9.31,9.31,9.31,000,9.31
2013-08-20,9.31,9.31,9.31,9.31,000,9.31
2013-08-19,9.31,9.31,9.31,9.31,000,9.31
2013-08-16,9.31,9.31,9.31,9.31,000,9.31
2013-08-15,9.31,9.31,9.31,9.31,000,9.31
2013-08-14,9.31,9.31,9.31,9.31,000,9.31
2013-08-13,9.31,9.31,9.31,9.31,000,9.31
2013-08-12,9.31,9.31,9.31,9.31,000,9.31
2013-08-09,9.31,9.31,9.31,9.31,000,9.31
2013-08-08,9.31,9.31,9.31,9.31,000,9.31
2013-08-07,9.31,9.31,9.31,9.31,000,9.31
2013-08-06,9.31,9.31,9.31,9.31,000,9.31
2013-08-05,9.31,9.31,9.31,9.31,000,9.31
2013-08-02,9.31,9.31,9.31,9.31,000,9.31
2013-08-01,9.31,9.31,9.31,9.31,000,9.31
2013-07-31,9.31,9.31,9.31,9.31,000,9.31
2013-07-30,9.31,9.31,9.31,9.31,000,9.31
2013-07-29,9.31,9.31,9.31,9.31,000,9.31
2013-07-26,9.31,9.31,9.31,9.31,000,9.31
2013-07-25,9.31,9.31,9.31,9.31,000,9.31
2013-07-24,9.31,9.31,9.31,9.31,000,9.31
2013-07-23,9.31,9.31,9.31,9.31,000,9.31
2013-07-22,9.31,9.31,9.31,9.31,000,9.31
2013-07-19,9.31,9.31,9.31,9.31,000,9.31
2013-07-18,9.31,9.31,9.31,9.31,000,9.31
2013-07-17,9.31,9.31,9.31,9.31,000,9.31
2013-07-16,9.31,9.31,9.31,9.31,000,9.31
2013-07-15,9.31,9.31,9.31,9.31,000,9.31
2013-07-12,9.31,9.31,9.31,9.31,000,9.31
2013-07-11,9.31,9.31,9.31,9.31,000,9.31
2013-07-10,9.31,9.31,9.31,9.31,000,9.31
2013-07-09,9.31,9.31,9.31,9.31,000,9.31
2013-07-08,9.31,9.31,9.31,9.31,000,9.31
2013-07-05,9.31,9.31,9.31,9.31,000,9.31
2013-07-04,9.31,9.31,9.31,9.31,000,9.31
