Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.03,0.03,0.02,0.03,274100,0.03
2013-09-26,0.03,0.03,0.03,0.03,651800,0.03
2013-09-25,0.03,0.03,0.03,0.03,76200,0.03
2013-09-24,0.03,0.03,0.03,0.03,213100,0.03
2013-09-23,0.03,0.03,0.03,0.03,797700,0.03
2013-09-20,0.03,0.03,0.03,0.03,212100,0.03
2013-09-19,0.03,0.03,0.03,0.03,786100,0.03
2013-09-18,0.03,0.03,0.03,0.03,443500,0.03
2013-09-17,0.03,0.03,0.03,0.03,420300,0.03
2013-09-16,0.03,0.03,0.03,0.03,101200,0.03
2013-09-13,0.03,0.03,0.03,0.03,247300,0.03
2013-09-12,0.03,0.03,0.03,0.03,102800,0.03
2013-09-11,0.03,0.03,0.03,0.03,134600,0.03
2013-09-10,0.03,0.03,0.03,0.03,251700,0.03
2013-09-09,0.03,0.03,0.03,0.03,720500,0.03
2013-09-06,0.03,0.03,0.03,0.03,220200,0.03
2013-09-05,0.03,0.03,0.03,0.03,133100,0.03
2013-09-04,0.03,0.03,0.03,0.03,1578200,0.03
2013-09-03,0.03,0.03,0.03,0.03,429700,0.03
2013-08-30,0.03,0.03,0.03,0.03,489600,0.03
2013-08-29,0.03,0.03,0.03,0.03,98800,0.03
2013-08-28,0.03,0.03,0.03,0.03,97300,0.03
2013-08-27,0.03,0.03,0.03,0.03,91700,0.03
2013-08-26,0.04,0.04,0.03,0.04,699800,0.04
2013-08-23,0.04,0.04,0.04,0.04,19700,0.04
2013-08-22,0.03,0.04,0.03,0.04,311400,0.04
2013-08-21,0.03,0.03,0.03,0.03,714900,0.03
2013-08-20,0.03,0.03,0.03,0.03,329200,0.03
2013-08-19,0.03,0.03,0.03,0.03,74400,0.03
2013-08-16,0.04,0.04,0.03,0.03,72100,0.03
2013-08-15,0.03,0.03,0.03,0.03,269400,0.03
2013-08-14,0.04,0.04,0.03,0.03,200300,0.03
2013-08-13,0.04,0.04,0.03,0.04,432400,0.04
2013-08-12,0.04,0.04,0.03,0.04,385900,0.04
2013-08-09,0.04,0.04,0.04,0.04,92900,0.04
2013-08-08,0.04,0.04,0.04,0.04,35700,0.04
2013-08-07,0.04,0.04,0.04,0.04,33700,0.04
2013-08-06,0.04,0.04,0.03,0.04,307500,0.04
2013-08-05,0.04,0.04,0.03,0.04,408500,0.04
