Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,40.00,40.42,40.00,40.42,200,40.42
2013-09-26,39.55,39.55,39.55,39.55,000,39.55
2013-09-25,38.30,39.79,38.30,39.79,900,39.79
2013-09-24,37.81,37.81,37.81,37.81,000,37.81
2013-09-23,38.88,39.37,38.88,39.37,300,39.37
2013-09-20,39.85,39.85,39.50,39.65,1600,39.65
2013-09-19,39.40,39.90,38.64,39.90,500,39.90
2013-09-18,38.91,39.78,38.35,39.60,1700,39.60
2013-09-17,40.78,40.78,40.06,40.06,200,40.06
2013-09-16,41.12,41.12,41.12,41.12,100,41.12
2013-09-13,38.96,39.90,38.94,39.90,700,39.90
2013-09-12,40.49,40.49,40.49,40.49,200,40.49
2013-09-11,39.82,39.82,39.79,39.79,500,39.79
2013-09-10,39.27,39.27,37.85,39.26,1100,39.26
2013-09-09,38.29,38.90,37.47,37.47,600,37.47
2013-09-06,38.49,38.49,37.82,37.82,600,37.82
2013-09-05,38.51,38.51,38.51,38.51,000,38.51
2013-09-04,37.54,37.54,37.54,37.54,100,37.54
2013-09-03,37.24,37.77,36.35,36.52,1200,36.52
2013-09-02,36.54,37.07,35.94,35.94,100,35.94
2013-08-30,35.77,35.77,35.77,35.77,000,35.77
2013-08-29,35.77,35.77,35.77,35.77,000,35.77
2013-08-28,33.72,34.30,33.69,33.73,1700,33.73
2013-08-27,35.00,35.50,34.45,34.65,5500,34.65
2013-08-26,35.00,35.00,33.71,33.71,300,33.71
2013-08-23,34.11,34.98,33.78,34.98,200,34.98
2013-08-22,34.25,35.10,34.05,34.17,400,34.17
2013-08-21,34.19,34.20,33.97,33.97,800,33.97
2013-08-20,35.13,35.13,35.13,35.13,000,35.13
2013-08-19,36.79,36.79,35.13,35.13,800,35.13
2013-08-16,35.01,36.15,34.97,36.15,600,36.15
2013-08-15,35.28,36.28,35.01,35.01,100,35.01
2013-08-14,36.25,36.65,35.00,36.00,700,36.00
2013-08-13,35.53,36.49,35.53,36.49,100,36.49
2013-08-12,35.99,36.25,35.99,35.99,1100,35.99
2013-08-09,35.08,35.08,34.40,34.40,100,34.40
2013-08-08,34.97,35.06,34.41,34.41,800,34.41
2013-08-07,35.83,35.83,34.50,34.50,1300,34.50
2013-08-06,36.99,37.01,36.92,36.92,1100,36.92
2013-08-05,36.43,36.47,35.95,36.42,1200,36.42
2013-08-02,35.61,35.67,34.51,34.51,1200,34.51
2013-08-01,35.52,35.72,35.52,35.72,1100,35.72
2013-07-31,34.70,34.70,33.10,33.10,5000,33.10
2013-07-30,35.30,35.72,35.30,35.40,500,35.40
2013-07-29,34.20,34.65,34.00,34.00,1800,34.00
2013-07-26,33.56,34.08,33.56,34.08,300,34.08
2013-07-25,32.94,32.94,32.94,32.94,1000,32.94
2013-07-24,32.53,32.99,32.53,32.99,600,32.99
2013-07-23,32.20,32.78,32.20,32.78,900,32.78
2013-07-22,32.30,32.30,32.30,32.30,000,32.30
2013-07-19,32.11,32.11,32.11,32.11,300,32.11
