Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,76.00,80.97,75.83,80.97,10300,80.97
2013-09-26,75.62,76.01,74.97,75.29,9700,75.29
2013-09-25,74.20,75.57,73.97,75.50,11600,75.50
2013-09-24,72.20,74.20,72.20,74.20,6900,74.20
2013-09-23,73.00,73.00,72.06,72.82,6500,72.82
2013-09-20,72.25,73.61,70.99,73.61,10400,73.61
2013-09-19,70.95,72.50,70.82,72.21,4600,72.21
2013-09-18,72.00,72.00,69.81,70.35,7100,70.35
2013-09-17,71.92,72.08,70.00,71.85,7700,71.85
2013-09-16,73.50,73.60,71.64,72.14,7100,72.14
2013-09-13,71.90,73.99,71.62,73.58,4800,73.58
2013-09-12,73.23,74.21,71.73,72.09,7000,72.09
2013-09-11,71.80,72.83,71.51,72.83,2600,72.83
2013-09-10,71.40,71.98,70.85,71.60,12800,71.60
2013-09-09,71.25,71.60,70.67,70.79,2900,70.79
2013-09-06,71.90,71.90,71.30,71.60,6400,71.60
2013-09-05,71.75,73.47,70.55,71.50,16700,71.50
2013-09-04,72.20,72.50,69.52,71.07,7700,71.07
2013-09-03,72.68,74.66,72.00,72.50,11500,72.50
2013-09-02,76.41,76.95,73.59,74.00,9700,74.00
2013-08-30,74.75,75.95,74.10,75.16,8100,75.16
2013-08-29,72.76,76.13,72.70,74.85,18900,74.85
2013-08-28,70.76,72.00,67.55,72.00,28400,72.00
2013-08-27,76.41,76.41,70.72,72.00,21800,72.00
2013-08-26,75.69,76.83,74.50,76.39,25400,76.39
2013-08-23,73.17,78.40,73.17,75.00,62000,75.00
2013-08-22,67.20,70.00,66.80,69.61,6300,69.61
2013-08-21,67.35,67.90,66.80,66.80,4500,66.80
2013-08-20,69.40,69.44,66.94,67.20,7000,67.20
2013-08-19,69.31,69.85,68.69,69.50,7100,69.50
2013-08-16,70.20,70.20,68.70,69.87,6400,69.87
2013-08-15,69.10,70.73,68.53,70.22,7500,70.22
2013-08-14,71.85,71.99,68.26,69.94,14600,69.94
2013-08-13,72.20,72.34,70.72,72.03,10700,72.03
2013-08-12,71.86,72.19,70.15,72.19,14900,72.19
2013-08-09,68.13,72.45,68.12,71.29,26200,71.29
2013-08-08,70.70,71.13,66.13,68.34,43300,68.34
2013-08-07,64.49,70.49,64.24,69.91,55200,69.91
2013-08-06,59.00,63.95,58.73,63.11,32400,63.11
2013-08-05,54.44,56.50,53.69,56.17,33800,56.17
2013-08-02,53.76,53.76,51.60,51.60,5100,51.60
2013-08-01,54.81,54.81,53.67,53.88,2400,53.88
2013-07-31,55.94,55.94,55.08,55.08,1500,55.08
2013-07-30,54.80,56.00,54.77,55.89,2200,55.89
2013-07-29,55.82,55.99,54.71,54.96,4900,54.96
2013-07-26,55.15,55.75,55.15,55.75,700,55.75
2013-07-25,54.48,55.48,54.45,55.10,2700,55.10
2013-07-24,55.45,55.45,53.94,54.41,1100,54.41
2013-07-23,56.05,56.05,55.00,55.20,1100,55.20
2013-07-22,55.75,56.02,54.65,55.18,3800,55.18
2013-07-19,55.49,56.00,54.90,54.90,1900,54.90
2013-07-18,56.40,56.40,55.52,56.23,2000,56.23
2013-07-17,55.48,56.40,54.51,56.33,5900,56.33
2013-07-16,55.00,55.69,54.80,55.69,3000,55.69
