Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.98,0.98,0.98,0.98,000,0.98
2013-09-26,0.98,0.98,0.98,0.98,000,0.98
2013-09-25,0.97,0.98,0.97,0.98,3000,0.98
2013-09-24,0.95,0.95,0.95,0.95,000,0.95
2013-09-23,0.95,0.95,0.95,0.95,000,0.95
2013-09-20,0.95,0.95,0.95,0.95,000,0.95
2013-09-19,0.95,0.95,0.95,0.95,000,0.95
2013-09-18,0.95,0.95,0.95,0.95,000,0.95
2013-09-17,0.95,0.95,0.95,0.95,000,0.95
2013-09-16,0.95,0.95,0.95,0.95,000,0.95
2013-09-13,0.95,0.95,0.95,0.95,000,0.95
2013-09-12,0.95,0.95,0.95,0.95,000,0.95
2013-09-11,0.95,0.95,0.95,0.95,000,0.95
2013-09-10,0.95,0.95,0.95,0.95,000,0.95
2013-09-09,0.95,0.95,0.95,0.95,000,0.95
2013-09-06,0.95,0.95,0.95,0.95,000,0.95
2013-09-05,0.95,0.95,0.95,0.95,000,0.95
2013-09-04,0.95,0.95,0.95,0.95,000,0.95
2013-09-03,0.95,0.95,0.95,0.95,000,0.95
2013-08-30,0.95,0.95,0.95,0.95,000,0.95
2013-08-29,0.95,0.95,0.95,0.95,000,0.95
2013-08-28,0.95,0.95,0.95,0.95,000,0.95
2013-08-27,0.95,0.95,0.95,0.95,100,0.95
2013-08-26,0.95,0.95,0.95,0.95,000,0.95
2013-08-23,0.95,0.95,0.95,0.95,000,0.95
2013-08-22,0.95,0.95,0.95,0.95,000,0.95
2013-08-21,0.95,0.95,0.95,0.95,000,0.95
2013-08-20,0.95,0.95,0.95,0.95,000,0.95
2013-08-19,0.95,0.95,0.95,0.95,100,0.95
2013-08-16,0.95,0.95,0.95,0.95,000,0.95
2013-08-15,0.95,0.95,0.95,0.95,800,0.95
2013-08-14,0.98,0.98,0.98,0.98,7800,0.98
2013-08-13,1.03,1.03,1.03,1.03,000,1.03
2013-08-12,1.03,1.03,1.03,1.03,000,1.03
2013-08-09,1.03,1.03,1.03,1.03,000,1.03
2013-08-08,1.03,1.03,1.03,1.03,000,1.03
2013-08-07,1.03,1.03,1.03,1.03,000,1.03
2013-08-06,1.03,1.03,1.03,1.03,800,1.03
2013-08-05,0.98,0.98,0.98,0.98,5400,0.98
