Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.75,0.75,0.75,0.75,100,0.75
2013-09-26,0.74,0.74,0.74,0.74,000,0.74
2013-09-25,0.75,0.75,0.75,0.75,000,0.75
2013-09-24,0.75,0.75,0.75,0.75,1000,0.75
2013-09-23,0.75,0.75,0.75,0.75,100,0.75
2013-09-20,0.75,0.75,0.75,0.75,000,0.75
2013-09-19,0.75,0.75,0.75,0.75,100,0.75
2013-09-18,0.75,0.75,0.75,0.75,800,0.75
2013-09-17,0.75,0.75,0.75,0.75,3000,0.75
2013-09-16,0.71,0.71,0.71,0.71,100,0.71
2013-09-13,0.71,0.71,0.71,0.71,1000,0.71
2013-09-12,0.69,0.69,0.69,0.69,000,0.69
2013-09-11,0.69,0.69,0.69,0.69,000,0.69
2013-09-10,0.69,0.69,0.69,0.69,300,0.69
2013-09-09,0.69,0.69,0.69,0.69,000,0.69
2013-09-06,0.69,0.69,0.69,0.69,200,0.69
2013-09-05,0.65,0.65,0.65,0.65,000,0.65
2013-09-04,0.65,0.65,0.65,0.65,000,0.65
2013-09-03,0.65,0.65,0.65,0.65,000,0.65
2013-09-02,0.65,0.65,0.65,0.65,000,0.65
2013-08-30,0.65,0.65,0.65,0.65,000,0.65
2013-08-29,0.65,0.65,0.65,0.65,000,0.65
2013-08-28,0.65,0.65,0.65,0.65,000,0.65
2013-08-27,0.65,0.65,0.65,0.65,000,0.65
2013-08-26,0.62,0.62,0.62,0.62,000,0.62
2013-08-23,0.59,0.59,0.59,0.59,300,0.59
2013-08-22,0.57,0.57,0.57,0.57,000,0.57
2013-08-21,0.55,0.55,0.55,0.55,000,0.55
2013-08-20,0.52,0.52,0.52,0.52,000,0.52
2013-08-19,0.50,0.50,0.50,0.50,1300,0.50
2013-08-16,0.50,0.50,0.50,0.50,100,0.50
2013-08-15,0.55,0.55,0.55,0.55,000,0.55
2013-08-14,0.55,0.55,0.55,0.55,000,0.55
2013-08-13,0.55,0.55,0.55,0.55,000,0.55
2013-08-12,0.55,0.55,0.55,0.55,000,0.55
2013-08-09,0.55,0.55,0.55,0.55,000,0.55
2013-08-08,0.55,0.55,0.55,0.55,000,0.55
2013-08-07,0.55,0.55,0.55,0.55,000,0.55
2013-08-06,0.55,0.55,0.55,0.55,100,0.55
2013-08-05,0.55,0.55,0.55,0.55,300,0.55
2013-08-02,0.55,0.55,0.55,0.55,200,0.55
2013-08-01,0.55,0.55,0.55,0.55,000,0.55
2013-07-31,0.55,0.55,0.55,0.55,300,0.55
2013-07-30,0.58,0.58,0.58,0.58,000,0.58
2013-07-29,0.58,0.58,0.58,0.58,000,0.58
2013-07-26,0.58,0.58,0.58,0.58,000,0.58
2013-07-25,0.59,0.59,0.59,0.59,000,0.59
2013-07-24,0.59,0.59,0.59,0.59,300,0.59
2013-07-23,0.59,0.59,0.59,0.59,000,0.59
2013-07-22,0.60,0.60,0.60,0.60,000,0.60
2013-07-19,0.59,0.59,0.59,0.59,2300,0.59
2013-07-18,0.55,0.55,0.55,0.55,000,0.55
2013-07-17,0.55,0.55,0.55,0.55,000,0.55
2013-07-16,0.55,0.55,0.55,0.55,000,0.55
2013-07-15,0.55,0.55,0.55,0.55,000,0.55
2013-07-12,0.55,0.55,0.55,0.55,500,0.55
2013-07-11,0.65,0.65,0.65,0.65,000,0.65
2013-07-10,0.65,0.65,0.65,0.65,200,0.65
2013-07-09,0.65,0.65,0.65,0.65,000,0.65
2013-07-08,0.65,0.65,0.65,0.65,000,0.65
2013-07-05,0.65,0.65,0.65,0.65,200,0.65
2013-07-04,0.65,0.65,0.65,0.65,000,0.65
2013-07-03,0.67,0.67,0.67,0.67,000,0.67
2013-07-02,0.66,0.66,0.66,0.66,200,0.66
2013-07-01,0.66,0.66,0.66,0.66,000,0.66
2013-06-28,0.66,0.66,0.66,0.66,1900,0.66
2013-06-27,0.66,0.66,0.66,0.66,400,0.66
2013-06-26,0.66,0.66,0.66,0.66,1600,0.66
2013-06-25,0.69,0.69,0.69,0.69,100,0.69
2013-06-24,0.70,0.70,0.70,0.70,100,0.70
2013-06-21,0.75,0.75,0.75,0.75,000,0.75
2013-06-20,0.75,0.75,0.75,0.75,000,0.75
2013-06-19,0.75,0.75,0.75,0.75,000,0.75
2013-06-18,0.75,0.75,0.75,0.75,000,0.75
2013-06-17,0.75,0.75,0.75,0.75,000,0.75
2013-06-14,0.75,0.75,0.75,0.75,000,0.75
2013-06-13,0.75,0.75,0.75,0.75,000,0.75
2013-06-12,0.75,0.75,0.75,0.75,000,0.75
2013-06-11,0.75,0.75,0.75,0.75,200,0.75
2013-06-10,0.75,0.75,0.75,0.75,000,0.75
2013-06-07,0.75,0.75,0.75,0.75,500,0.75
2013-06-06,0.84,0.84,0.84,0.84,000,0.84
2013-06-05,0.84,0.84,0.84,0.84,000,0.84
2013-06-04,0.84,0.84,0.84,0.84,000,0.84
2013-06-03,0.84,0.84,0.84,0.84,000,0.84
2013-05-31,0.84,0.84,0.84,0.84,000,0.84
2013-05-30,0.84,0.84,0.84,0.84,000,0.84
2013-05-29,0.84,0.84,0.84,0.84,200,0.84
2013-05-28,0.84,0.84,0.84,0.84,000,0.84
2013-05-27,0.84,0.84,0.84,0.84,100,0.84
2013-05-24,0.84,0.84,0.84,0.84,000,0.84
2013-05-23,0.84,0.84,0.84,0.84,100,0.84
2013-05-22,0.88,0.88,0.88,0.88,000,0.88
2013-05-21,0.88,0.88,0.88,0.88,600,0.88
2013-05-20,0.88,0.88,0.88,0.88,000,0.88
2013-05-17,0.88,0.88,0.88,0.88,500,0.88
2013-05-16,0.84,0.84,0.84,0.84,000,0.84
2013-05-15,0.84,0.84,0.84,0.84,000,0.84
2013-05-14,0.84,0.84,0.84,0.84,000,0.84
2013-05-13,0.84,0.84,0.84,0.84,000,0.84
2013-05-10,0.84,0.84,0.84,0.84,000,0.84
2013-05-09,0.84,0.84,0.84,0.84,300,0.84
2013-05-08,0.85,0.85,0.85,0.85,1300,0.85
2013-05-07,0.90,0.90,0.90,0.90,000,0.90
2013-05-06,0.86,0.86,0.86,0.86,1900,0.86
2013-05-03,0.90,0.90,0.90,0.90,200,0.90
2013-05-02,0.90,0.90,0.90,0.90,300,0.90
2013-05-01,0.86,0.86,0.86,0.86,000,0.86
2013-04-30,0.86,0.86,0.86,0.86,100,0.86
2013-04-29,0.86,0.86,0.86,0.86,100,0.86
2013-04-26,0.82,0.82,0.82,0.82,300,0.82
2013-04-25,0.78,0.78,0.78,0.78,000,0.78
2013-04-24,0.78,0.78,0.78,0.78,500,0.78
2013-04-23,0.75,0.75,0.75,0.75,1500,0.75
2013-04-22,0.80,0.80,0.80,0.80,000,0.80
2013-04-19,0.80,0.80,0.80,0.80,100,0.80
2013-04-18,0.80,0.80,0.80,0.80,300,0.80
2013-04-17,0.80,0.80,0.80,0.80,000,0.80
2013-04-16,0.80,0.80,0.80,0.80,100,0.80
2013-04-15,0.80,0.80,0.80,0.80,100,0.80
2013-04-12,0.80,0.80,0.80,0.80,200,0.80
2013-04-11,1.20,1.20,1.20,1.20,000,1.20
2013-04-10,1.20,1.20,1.20,1.20,000,1.20
2013-04-09,1.20,1.20,1.20,1.20,000,1.20
2013-04-08,1.20,1.20,1.20,1.20,000,1.20
2013-04-05,1.20,1.20,1.20,1.20,000,1.20
2013-04-04,1.20,1.20,1.20,1.20,000,1.20
2013-04-03,1.20,1.20,1.20,1.20,000,1.20
2013-04-02,1.20,1.20,1.20,1.20,000,1.20
2013-04-01,1.20,1.20,1.20,1.20,000,1.20
2013-03-29,1.20,1.20,1.20,1.20,000,1.20
