Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,0.42,0.42,0.42,0.42,100,0.42
2012-09-28,0.42,0.42,0.42,0.42,000,0.42
2012-09-27,0.42,0.42,0.42,0.42,700,0.42
2012-09-26,0.42,0.45,0.42,0.45,100,0.45
2012-09-25,0.42,0.42,0.42,0.42,000,0.42
2012-09-24,0.42,0.42,0.42,0.42,000,0.42
2012-09-21,0.42,0.42,0.42,0.42,000,0.42
2012-09-20,0.49,0.49,0.49,0.49,000,0.49
2012-09-19,0.42,0.49,0.42,0.49,5200,0.49
2012-09-18,0.46,0.48,0.46,0.48,1400,0.48
2012-09-17,0.42,0.43,0.42,0.43,200,0.43
2012-09-14,0.42,0.42,0.42,0.42,000,0.42
2012-09-13,0.45,0.46,0.42,0.42,31700,0.42
2012-09-12,0.41,0.45,0.41,0.45,4500,0.45
2012-09-11,0.41,0.45,0.40,0.45,14200,0.45
2012-09-10,0.45,0.45,0.40,0.41,17700,0.41
2012-09-07,0.45,0.45,0.40,0.43,20400,0.43
2012-09-06,0.49,0.50,0.43,0.50,26400,0.50
2012-09-05,0.53,0.53,0.43,0.50,26200,0.50
2012-09-04,0.53,0.53,0.53,0.53,000,0.53
2012-09-03,0.53,0.53,0.53,0.53,000,0.53
2012-08-31,0.53,0.53,0.53,0.53,000,0.53
2012-08-30,0.50,0.58,0.50,0.53,24900,0.53
2012-08-29,0.56,0.56,0.56,0.56,6000,0.56
2012-08-28,0.55,0.55,0.55,0.55,000,0.55
2012-08-27,0.55,0.55,0.55,0.55,200,0.55
2012-08-24,0.47,0.47,0.47,0.47,2300,0.47
2012-08-23,0.49,0.49,0.49,0.49,000,0.49
2012-08-22,0.57,0.58,0.49,0.49,27100,0.49
2012-08-21,0.53,0.53,0.53,0.53,400,0.53
2012-08-20,0.57,0.57,0.57,0.57,1500,0.57
2012-08-17,0.57,0.57,0.57,0.57,8000,0.57
2012-08-16,0.57,0.57,0.57,0.57,1700,0.57
2012-08-15,0.52,0.52,0.52,0.52,000,0.52
2012-08-14,0.52,0.52,0.52,0.52,000,0.52
2012-08-13,0.57,0.57,0.52,0.52,7900,0.52
2012-08-10,0.55,0.55,0.55,0.55,2000,0.55
2012-08-09,0.57,0.57,0.57,0.57,000,0.57
2012-08-08,0.57,0.57,0.57,0.57,000,0.57
2012-08-07,0.53,0.57,0.52,0.57,5900,0.57
2012-08-06,0.56,0.60,0.54,0.54,3200,0.54
2012-08-03,0.51,0.51,0.51,0.51,300,0.51
2012-08-02,0.50,0.50,0.50,0.50,000,0.50
2012-08-01,0.50,0.50,0.50,0.50,300,0.50
2012-07-31,0.51,0.52,0.51,0.52,1900,0.52
2012-07-30,0.52,0.52,0.52,0.52,000,0.52
2012-07-27,0.53,0.53,0.53,0.53,000,0.53
2012-07-26,0.53,0.53,0.53,0.53,200,0.53
2012-07-25,0.55,0.55,0.55,0.55,000,0.55
2012-07-24,0.55,0.55,0.55,0.55,000,0.55
2012-07-23,0.55,0.55,0.55,0.55,000,0.55
2012-07-20,0.53,0.53,0.53,0.53,2900,0.53
2012-07-19,0.53,0.53,0.53,0.53,000,0.53
2012-07-18,0.53,0.53,0.53,0.53,000,0.53
2012-07-17,0.55,0.55,0.55,0.55,000,0.55
2012-07-16,0.55,0.55,0.55,0.55,000,0.55
2012-07-13,0.55,0.55,0.55,0.55,000,0.55
2012-07-12,0.55,0.55,0.55,0.55,000,0.55
2012-07-11,0.55,0.55,0.55,0.55,300,0.55
2012-07-10,0.52,0.52,0.52,0.52,000,0.52
2012-07-09,0.52,0.52,0.52,0.52,000,0.52
2012-07-06,0.52,0.52,0.52,0.52,000,0.52
2012-07-05,0.52,0.52,0.52,0.52,000,0.52
2012-07-04,0.52,0.52,0.52,0.52,000,0.52
2012-07-03,0.52,0.52,0.52,0.52,000,0.52
2012-07-02,0.46,0.52,0.46,0.52,6300,0.52
2012-06-29,0.51,0.51,0.51,0.51,000,0.51
2012-06-28,0.51,0.51,0.51,0.51,000,0.51
2012-06-27,0.51,0.51,0.51,0.51,000,0.51
2012-06-26,0.51,0.51,0.51,0.51,2800,0.51
2012-06-25,0.50,0.51,0.50,0.51,1300,0.51
2012-06-22,0.46,0.46,0.46,0.46,000,0.46
2012-06-21,0.50,0.50,0.50,0.50,2000,0.50
2012-06-20,0.45,0.49,0.45,0.49,2000,0.49
2012-06-19,0.50,0.50,0.50,0.50,000,0.50
2012-06-18,0.50,0.50,0.50,0.50,000,0.50
2012-06-15,0.50,0.50,0.50,0.50,2900,0.50
2012-06-14,0.52,0.52,0.52,0.52,000,0.52
2012-06-13,0.52,0.52,0.52,0.52,000,0.52
2012-06-12,0.52,0.52,0.52,0.52,000,0.52
2012-06-11,0.52,0.52,0.52,0.52,000,0.52
2012-06-08,0.52,0.52,0.52,0.52,000,0.52
2012-06-07,0.52,0.52,0.52,0.52,000,0.52
2012-06-06,0.52,0.52,0.52,0.52,000,0.52
2012-06-05,0.52,0.52,0.52,0.52,000,0.52
2012-06-04,0.52,0.52,0.52,0.52,000,0.52
2012-06-01,0.52,0.52,0.52,0.52,400,0.52
2012-05-31,0.52,0.52,0.52,0.52,000,0.52
2012-05-30,0.52,0.52,0.52,0.52,000,0.52
2012-05-29,0.52,0.52,0.52,0.52,000,0.52
2012-05-28,0.52,0.52,0.52,0.52,000,0.52
2012-05-25,0.52,0.52,0.52,0.52,000,0.52
2012-05-24,0.53,0.53,0.52,0.52,2000,0.52
2012-05-23,0.52,0.52,0.52,0.52,2200,0.52
2012-05-22,0.52,0.52,0.52,0.52,5200,0.52
2012-05-21,0.52,0.52,0.52,0.52,000,0.52
2012-05-18,0.52,0.52,0.52,0.52,5700,0.52
2012-05-17,0.52,0.52,0.52,0.52,000,0.52
2012-05-16,0.52,0.52,0.52,0.52,000,0.52
2012-05-15,0.52,0.52,0.52,0.52,3200,0.52
2012-05-14,0.53,0.55,0.52,0.55,2700,0.55
2012-05-11,0.53,0.55,0.53,0.55,600,0.55
2012-05-10,0.53,0.53,0.53,0.53,000,0.53
2012-05-09,0.53,0.53,0.53,0.53,000,0.53
2012-05-08,0.53,0.53,0.53,0.53,000,0.53
2012-05-07,0.53,0.53,0.53,0.53,000,0.53
2012-05-04,0.53,0.53,0.53,0.53,000,0.53
2012-05-03,0.53,0.53,0.53,0.53,200,0.53
2012-05-02,0.53,0.53,0.53,0.53,000,0.53
2012-05-01,0.52,0.52,0.52,0.52,000,0.52
2012-04-30,0.52,0.52,0.52,0.52,000,0.52
2012-04-27,0.52,0.52,0.52,0.52,000,0.52
2012-04-26,0.49,0.49,0.49,0.49,000,0.49
2012-04-25,0.52,0.52,0.49,0.49,7300,0.49
2012-04-24,0.51,0.51,0.51,0.51,000,0.51
2012-04-23,0.51,0.51,0.51,0.51,000,0.51
2012-04-20,0.53,0.53,0.51,0.51,4000,0.51
2012-04-19,0.55,0.59,0.54,0.54,1100,0.54
2012-04-18,0.59,0.59,0.59,0.59,000,0.59
2012-04-17,0.59,0.59,0.59,0.59,5100,0.59
2012-04-16,0.59,0.63,0.58,0.58,4300,0.58
2012-04-13,0.51,0.58,0.51,0.58,2900,0.58
2012-04-12,0.53,0.53,0.53,0.53,1500,0.53
2012-04-11,0.55,0.56,0.55,0.56,1600,0.56
2012-04-10,0.53,0.53,0.53,0.53,000,0.53
2012-04-09,0.53,0.53,0.53,0.53,000,0.53
2012-04-06,0.53,0.53,0.53,0.53,000,0.53
2012-04-05,0.53,0.53,0.53,0.53,000,0.53
2012-04-04,0.53,0.53,0.53,0.53,100,0.53
2012-04-03,0.55,0.55,0.55,0.55,000,0.55
2012-04-02,0.44,0.55,0.44,0.55,1100,0.55
2012-03-30,0.55,0.55,0.55,0.55,000,0.55
2012-03-29,0.55,0.55,0.55,0.55,000,0.55
2012-03-28,0.55,0.55,0.55,0.55,000,0.55
2012-03-27,0.55,0.55,0.55,0.55,000,0.55
2012-03-26,0.55,0.55,0.55,0.55,000,0.55
2012-03-23,0.50,0.50,0.50,0.50,000,0.50
2012-03-22,0.50,0.50,0.50,0.50,000,0.50
2012-03-21,0.50,0.50,0.50,0.50,000,0.50
2012-03-20,0.50,0.50,0.50,0.50,000,0.50
2012-03-19,0.50,0.50,0.50,0.50,000,0.50
2012-03-16,0.50,0.50,0.50,0.50,000,0.50
2012-03-15,0.53,0.53,0.50,0.50,600,0.50
2012-03-14,0.52,0.52,0.50,0.50,400,0.50
2012-03-13,0.53,0.56,0.52,0.56,1200,0.56
2012-03-12,0.56,0.56,0.56,0.56,000,0.56
2012-03-09,0.53,0.53,0.53,0.53,000,0.53
2012-03-08,0.53,0.53,0.53,0.53,000,0.53
2012-03-07,0.53,0.53,0.53,0.53,000,0.53
2012-03-06,0.53,0.53,0.53,0.53,000,0.53
2012-03-05,0.58,0.58,0.58,0.58,400,0.58
2012-03-02,0.53,0.53,0.53,0.53,100,0.53
2012-03-01,0.57,0.57,0.53,0.53,2500,0.53
2012-02-29,0.56,0.56,0.56,0.56,000,0.56
2012-02-28,0.56,0.56,0.55,0.56,100,0.56
2012-02-27,0.54,0.54,0.54,0.54,2000,0.54
2012-02-24,0.55,0.55,0.55,0.55,000,0.55
2012-02-23,0.55,0.55,0.55,0.55,2700,0.55
2012-02-22,0.54,0.54,0.54,0.54,100,0.54
2012-02-21,0.55,0.55,0.55,0.55,100,0.55
2012-02-20,0.57,0.57,0.57,0.57,500,0.57
2012-02-17,0.57,0.57,0.57,0.57,500,0.57
2012-02-16,0.58,0.58,0.58,0.58,2000,0.58
2012-02-15,0.58,0.58,0.58,0.58,700,0.58
2012-02-14,0.58,0.58,0.58,0.58,000,0.58
2012-02-13,0.58,0.58,0.58,0.58,000,0.58
2012-02-10,0.65,0.65,0.65,0.65,000,0.65
2012-02-09,0.60,0.65,0.60,0.65,500,0.65
2012-02-08,0.58,0.58,0.58,0.58,000,0.58
2012-02-07,0.58,0.58,0.58,0.58,000,0.58
2012-02-06,0.65,0.65,0.65,0.65,100,0.65
2012-02-03,0.56,0.61,0.56,0.61,6600,0.61
2012-02-02,0.57,0.57,0.56,0.56,5000,0.56
2012-02-01,0.65,0.65,0.65,0.65,400,0.65
2012-01-31,0.58,0.60,0.58,0.60,000,0.60
2012-01-30,0.61,0.61,0.61,0.61,000,0.61
2012-01-27,0.61,0.61,0.61,0.61,2000,0.61
