Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,6.11,6.20,6.07,6.07,7900,6.07
2013-09-26,6.06,6.11,6.00,6.11,2700,6.11
2013-09-25,6.11,6.20,6.01,6.01,7400,6.01
2013-09-24,6.02,6.14,6.01,6.12,3900,6.12
2013-09-23,6.17,6.17,6.03,6.03,6000,6.03
2013-09-20,6.10,6.15,6.07,6.15,31400,6.15
2013-09-19,6.05,6.09,6.02,6.02,2800,6.02
2013-09-18,5.99,6.12,5.88,6.12,12800,6.12
2013-09-17,5.84,6.03,5.84,5.95,10600,5.95
2013-09-16,5.76,6.00,5.70,5.84,26900,5.84
2013-09-13,5.75,5.80,5.71,5.72,8500,5.72
2013-09-12,5.75,5.86,5.75,5.75,11000,5.75
2013-09-11,5.74,5.88,5.73,5.75,12100,5.75
2013-09-10,5.91,5.91,5.71,5.76,19900,5.76
2013-09-09,6.10,6.14,5.90,5.92,25100,5.92
2013-09-06,6.02,6.30,5.71,6.13,46300,6.13
2013-09-05,6.00,6.08,5.95,6.01,18300,6.01
2013-09-04,5.97,6.05,5.86,5.96,16700,5.96
2013-09-03,5.87,6.07,5.77,5.99,590800,5.99
2013-08-30,5.76,5.83,5.70,5.73,3900,5.73
2013-08-29,5.73,5.78,5.70,5.72,4300,5.72
2013-08-28,5.75,5.75,5.74,5.74,400,5.74
2013-08-27,5.76,5.84,5.71,5.73,16700,5.73
2013-08-26,5.75,5.87,5.75,5.81,11900,5.81
2013-08-23,5.86,5.86,5.80,5.80,21600,5.80
2013-08-22,5.85,5.88,5.85,5.86,14200,5.86
2013-08-21,5.90,5.92,5.82,5.85,5800,5.85
2013-08-20,5.83,5.97,5.83,5.95,5500,5.95
2013-08-19,5.92,5.92,5.82,5.83,7100,5.83
2013-08-16,5.99,6.00,5.95,5.96,14500,5.96
2013-08-15,6.10,6.10,5.92,5.96,35600,5.96
2013-08-14,6.07,6.10,5.93,6.10,62000,6.10
2013-08-13,6.25,6.25,6.05,6.09,10300,6.09
2013-08-12,6.17,6.28,6.05,6.16,9200,6.16
2013-08-09,6.12,6.28,6.11,6.25,43100,6.25
2013-08-08,6.32,6.32,6.06,6.12,17600,6.12
2013-08-07,6.29,6.37,6.21,6.28,3700,6.28
2013-08-06,6.48,6.48,6.34,6.34,13200,6.34
2013-08-05,6.48,6.51,6.44,6.48,10600,6.48
2013-08-02,6.52,6.60,6.18,6.51,26000,6.51
2013-08-01,6.67,6.82,6.17,6.78,33600,6.78
2013-07-31,6.56,6.89,6.33,6.57,248500,6.57
2013-07-30,7.11,7.20,6.96,7.12,41100,7.12
2013-07-29,6.60,7.10,6.60,7.07,62900,7.07
2013-07-26,6.76,6.76,6.57,6.63,79400,6.63
2013-07-25,6.68,6.75,6.60,6.71,30700,6.71
2013-07-24,6.80,6.88,6.65,6.65,52900,6.65
2013-07-23,6.78,6.88,6.64,6.70,47200,6.70
2013-07-22,7.00,7.00,6.79,6.80,58800,6.80
2013-07-19,7.24,7.24,6.87,7.02,35400,7.02
2013-07-18,7.25,7.32,7.20,7.27,70700,7.27
2013-07-17,7.36,7.36,7.20,7.20,21800,7.20
2013-07-16,7.23,7.47,7.23,7.26,18000,7.26
2013-07-15,6.99,7.44,6.99,7.16,27500,7.16
2013-07-12,7.13,7.15,6.75,6.96,35200,6.96
2013-07-11,6.98,7.39,6.90,6.92,42600,6.92
2013-07-10,6.78,6.90,6.78,6.90,44400,6.90
2013-07-09,6.84,6.98,6.65,6.77,51200,6.77
2013-07-08,6.77,6.86,6.58,6.77,10000,6.77
2013-07-05,6.77,6.90,6.63,6.73,22100,6.73
2013-07-03,6.70,6.84,6.69,6.73,4800,6.73
2013-07-02,6.62,6.88,6.50,6.75,22300,6.75
2013-07-01,6.26,6.77,6.21,6.68,33700,6.68
2013-06-28,6.25,6.53,6.05,6.27,653400,6.27
2013-06-27,6.30,6.34,6.13,6.28,61100,6.28
2013-06-26,6.09,6.31,6.09,6.25,48000,6.25
2013-06-25,6.00,6.13,5.96,6.06,27700,6.06
2013-06-24,6.05,6.18,5.95,5.96,40800,5.96
2013-06-21,6.00,6.13,5.96,6.12,34700,6.12
2013-06-20,6.06,6.12,5.95,6.05,32900,6.05
2013-06-19,6.24,6.26,6.10,6.10,17500,6.10
2013-06-18,6.31,6.34,6.20,6.22,21500,6.22
2013-06-17,6.27,6.35,6.20,6.33,19400,6.33
2013-06-14,6.31,6.39,6.23,6.24,19000,6.24
2013-06-13,6.41,6.42,6.28,6.32,16800,6.32
2013-06-12,6.53,6.57,6.41,6.41,22300,6.41
2013-06-11,6.63,6.68,6.41,6.42,39100,6.42
2013-06-10,6.67,6.84,6.55,6.74,29400,6.74
2013-06-07,6.54,6.71,6.50,6.68,26000,6.68
2013-06-06,6.53,6.61,6.47,6.52,18600,6.52
2013-06-05,6.79,6.79,6.43,6.49,24500,6.49
2013-06-04,6.63,6.99,6.61,6.81,31700,6.81
2013-06-03,6.51,6.69,6.37,6.60,51000,6.60
2013-05-31,6.55,6.70,6.50,6.51,21600,6.51
2013-05-30,6.52,6.70,6.52,6.59,14900,6.59
2013-05-29,6.60,6.65,6.51,6.55,15000,6.55
2013-05-28,6.48,6.64,6.44,6.61,31500,6.61
2013-05-24,6.16,6.50,6.07,6.46,35000,6.46
2013-05-23,6.05,6.24,6.05,6.17,37100,6.17
2013-05-22,6.43,6.46,6.05,6.07,16900,6.07
2013-05-21,6.43,6.54,6.42,6.43,25300,6.43
2013-05-20,6.35,6.48,6.20,6.42,32000,6.42
2013-05-17,6.51,6.54,6.32,6.35,29600,6.35
2013-05-16,6.25,6.65,6.25,6.51,39300,6.51
2013-05-15,6.25,6.36,6.20,6.28,17900,6.28
2013-05-14,6.09,6.31,6.09,6.25,20200,6.25
2013-05-13,6.19,6.19,6.00,6.02,13500,6.02
2013-05-10,5.85,6.25,5.85,6.24,22800,6.24
2013-05-09,5.92,5.93,5.85,5.85,18700,5.85
2013-05-08,5.95,5.95,5.85,5.91,13000,5.91
2013-05-07,5.99,6.08,5.91,5.95,39800,5.95
