Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.22,0.38,0.22,0.32,16000,0.32
2013-09-26,0.56,0.56,0.43,0.43,41100,0.43
2013-09-25,0.54,0.56,0.54,0.56,5000,0.56
2013-09-24,0.56,0.56,0.56,0.56,000,0.56
2013-09-23,0.56,0.56,0.56,0.56,000,0.56
2013-09-20,0.54,0.56,0.54,0.56,3000,0.56
2013-09-19,0.55,0.56,0.55,0.55,5400,0.55
2013-09-18,0.47,0.55,0.47,0.55,12000,0.55
2013-09-17,0.45,0.47,0.45,0.47,9600,0.47
2013-09-16,0.43,0.43,0.43,0.43,3100,0.43
2013-09-13,0.55,0.55,0.55,0.55,000,0.55
2013-09-12,0.55,0.55,0.55,0.55,000,0.55
2013-09-11,0.55,0.55,0.55,0.55,000,0.55
2013-09-10,0.55,0.55,0.55,0.55,000,0.55
2013-09-09,0.55,0.55,0.55,0.55,200,0.55
2013-09-06,0.53,0.53,0.53,0.53,000,0.53
2013-09-05,0.53,0.53,0.53,0.53,1500,0.53
2013-09-04,0.41,0.41,0.41,0.41,000,0.41
2013-09-03,0.41,0.41,0.41,0.41,1600,0.41
2013-08-30,0.53,0.53,0.53,0.53,1800,0.53
2013-08-29,0.51,0.51,0.51,0.51,000,0.51
2013-08-28,0.51,0.51,0.51,0.51,000,0.51
2013-08-27,0.51,0.51,0.51,0.51,000,0.51
2013-08-26,0.51,0.51,0.51,0.51,1000,0.51
2013-08-23,0.51,0.51,0.51,0.51,000,0.51
2013-08-22,0.51,0.51,0.51,0.51,000,0.51
2013-08-21,0.51,0.51,0.51,0.51,100,0.51
2013-08-20,0.51,0.51,0.51,0.51,1500,0.51
2013-08-19,0.56,0.56,0.51,0.51,500,0.51
2013-08-16,0.51,0.51,0.51,0.51,2100,0.51
2013-08-15,0.30,0.30,0.30,0.30,6300,0.30
2013-08-14,0.20,0.20,0.20,0.20,000,0.20
2013-08-13,0.20,0.20,0.20,0.20,200,0.20
2013-08-12,0.33,0.33,0.30,0.30,4300,0.30
2013-08-09,0.33,0.33,0.33,0.33,000,0.33
2013-08-08,0.33,0.33,0.33,0.33,000,0.33
2013-08-07,0.33,0.33,0.33,0.33,000,0.33
2013-08-06,0.33,0.33,0.33,0.33,000,0.33
2013-08-05,0.33,0.33,0.33,0.33,2500,0.33
2013-08-02,0.60,0.60,0.60,0.60,000,0.60
2013-08-01,0.60,0.60,0.60,0.60,200,0.60
2013-07-31,0.60,0.60,0.60,0.60,000,0.60
2013-07-30,0.60,0.60,0.60,0.60,000,0.60
2013-07-29,0.60,0.60,0.60,0.60,000,0.60
2013-07-26,0.60,0.60,0.60,0.60,000,0.60
2013-07-25,0.60,0.60,0.60,0.60,000,0.60
2013-07-24,0.60,0.60,0.60,0.60,000,0.60
2013-07-23,0.59,0.60,0.59,0.60,1200,0.60
2013-07-22,0.60,0.60,0.60,0.60,000,0.60
2013-07-19,0.60,0.60,0.60,0.60,000,0.60
2013-07-18,0.40,0.60,0.40,0.60,1500,0.60
2013-07-17,0.60,0.60,0.60,0.60,000,0.60
2013-07-16,0.40,0.60,0.40,0.60,800,0.60
2013-07-15,0.59,0.59,0.59,0.59,000,0.59
2013-07-12,0.59,0.59,0.59,0.59,000,0.59
2013-07-11,0.59,0.59,0.59,0.59,000,0.59
2013-07-10,0.59,0.59,0.59,0.59,000,0.59
2013-07-09,0.59,0.59,0.59,0.59,000,0.59
2013-07-08,0.40,0.60,0.40,0.59,500,0.59
2013-07-05,0.59,0.59,0.59,0.59,000,0.59
2013-07-03,0.59,0.59,0.59,0.59,000,0.59
2013-07-02,0.59,0.59,0.59,0.59,000,0.59
2013-07-01,0.59,0.59,0.59,0.59,000,0.59
2013-06-28,0.59,0.59,0.59,0.59,000,0.59
2013-06-27,0.59,0.59,0.59,0.59,100,0.59
2013-06-26,0.60,0.60,0.60,0.60,000,0.60
2013-06-25,0.60,0.60,0.60,0.60,000,0.60
2013-06-24,0.60,0.60,0.60,0.60,3200,0.60
2013-06-21,0.60,0.60,0.60,0.60,000,0.60
2013-06-20,0.60,0.60,0.60,0.60,000,0.60
2013-06-19,0.60,0.60,0.60,0.60,000,0.60
2013-06-18,0.60,0.60,0.60,0.60,000,0.60
2013-06-17,0.51,0.60,0.48,0.60,27400,0.60
2013-06-14,0.60,0.60,0.60,0.60,000,0.60
2013-06-13,0.60,0.60,0.60,0.60,2000,0.60
