Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.03,0.04,0.03,0.03,127700,0.03
2013-09-26,0.04,0.04,0.03,0.03,211100,0.03
2013-09-25,0.03,0.03,0.03,0.03,263500,0.03
2013-09-24,0.03,0.04,0.03,0.03,1060000,0.03
2013-09-23,0.03,0.04,0.03,0.04,119400,0.04
2013-09-20,0.04,0.04,0.03,0.04,186900,0.04
2013-09-19,0.04,0.04,0.04,0.04,158100,0.04
2013-09-18,0.04,0.04,0.04,0.04,281200,0.04
2013-09-17,0.04,0.04,0.04,0.04,437900,0.04
2013-09-16,0.04,0.04,0.04,0.04,159100,0.04
2013-09-13,0.04,0.04,0.04,0.04,549400,0.04
2013-09-12,0.04,0.04,0.04,0.04,285500,0.04
2013-09-11,0.04,0.04,0.03,0.04,284500,0.04
2013-09-10,0.04,0.04,0.03,0.04,653100,0.04
2013-09-09,0.04,0.04,0.03,0.03,177000,0.03
2013-09-06,0.04,0.04,0.04,0.04,42000,0.04
2013-09-05,0.04,0.04,0.03,0.04,404100,0.04
2013-09-04,0.03,0.04,0.03,0.03,179300,0.03
2013-09-03,0.04,0.04,0.03,0.03,37400,0.03
2013-08-30,0.04,0.04,0.03,0.04,202300,0.04
2013-08-29,0.04,0.04,0.03,0.04,92800,0.04
2013-08-28,0.03,0.04,0.03,0.04,180800,0.04
2013-08-27,0.03,0.04,0.03,0.03,561300,0.03
2013-08-26,0.04,0.04,0.03,0.03,190800,0.03
2013-08-23,0.03,0.03,0.03,0.03,116600,0.03
2013-08-22,0.03,0.03,0.03,0.03,44100,0.03
2013-08-21,0.03,0.03,0.03,0.03,404100,0.03
2013-08-20,0.04,0.04,0.03,0.03,97600,0.03
2013-08-19,0.04,0.04,0.03,0.03,495500,0.03
2013-08-16,0.04,0.04,0.04,0.04,174800,0.04
2013-08-15,0.04,0.04,0.03,0.04,143200,0.04
2013-08-14,0.04,0.04,0.03,0.04,1228900,0.04
2013-08-13,0.05,0.05,0.04,0.04,563600,0.04
2013-08-12,0.06,0.06,0.04,0.04,772900,0.04
2013-08-09,0.06,0.06,0.05,0.06,337000,0.06
2013-08-08,0.06,0.06,0.05,0.05,515500,0.05
2013-08-07,0.05,0.06,0.05,0.06,1033200,0.06
2013-08-06,0.04,0.05,0.04,0.05,1181300,0.05
2013-08-05,0.04,0.04,0.04,0.04,1151400,0.04
2013-08-02,0.04,0.04,0.04,0.04,733300,0.04
2013-08-01,0.04,0.04,0.04,0.04,392000,0.04
2013-07-31,0.04,0.04,0.03,0.04,588100,0.04
2013-07-30,0.04,0.04,0.03,0.04,526200,0.04
2013-07-29,0.03,0.04,0.03,0.03,77500,0.03
2013-07-26,0.04,0.04,0.03,0.03,184600,0.03
2013-07-25,0.04,0.04,0.03,0.03,231600,0.03
2013-07-24,0.03,0.03,0.03,0.03,92500,0.03
2013-07-23,0.04,0.04,0.03,0.03,335400,0.03
2013-07-22,0.03,0.03,0.03,0.03,39700,0.03
2013-07-19,0.04,0.04,0.03,0.03,226400,0.03
2013-07-18,0.04,0.04,0.04,0.04,90600,0.04
2013-07-17,0.03,0.04,0.03,0.03,139100,0.03
2013-07-16,0.03,0.03,0.03,0.03,119300,0.03
2013-07-15,0.03,0.03,0.03,0.03,143600,0.03
2013-07-12,0.03,0.03,0.03,0.03,122100,0.03
2013-07-11,0.03,0.03,0.03,0.03,436000,0.03
2013-07-10,0.03,0.03,0.03,0.03,125600,0.03
2013-07-09,0.03,0.03,0.03,0.03,713500,0.03
2013-07-08,0.03,0.03,0.03,0.03,371500,0.03
2013-07-05,0.03,0.03,0.03,0.03,109600,0.03
2013-07-03,0.03,0.03,0.03,0.03,166600,0.03
2013-07-02,0.03,0.03,0.03,0.03,767700,0.03
2013-07-01,0.03,0.03,0.03,0.03,482300,0.03
2013-06-28,0.03,0.03,0.03,0.03,420500,0.03
2013-06-27,0.03,0.03,0.03,0.03,913600,0.03
2013-06-26,0.03,0.03,0.03,0.03,763000,0.03
2013-06-25,0.03,0.03,0.02,0.03,227200,0.03
2013-06-24,0.03,0.03,0.02,0.02,344600,0.02
2013-06-21,0.02,0.03,0.02,0.03,434200,0.03
2013-06-20,0.02,0.03,0.02,0.02,485900,0.02
2013-06-19,0.02,0.02,0.02,0.02,1052000,0.02
2013-06-18,0.02,0.02,0.02,0.02,174700,0.02
2013-06-17,0.02,0.02,0.02,0.02,667200,0.02
2013-06-14,0.02,0.02,0.02,0.02,836000,0.02
2013-06-13,0.02,0.02,0.02,0.02,223700,0.02
2013-06-12,0.02,0.02,0.02,0.02,26800,0.02
2013-06-11,0.02,0.02,0.02,0.02,97400,0.02
2013-06-10,0.02,0.02,0.02,0.02,521000,0.02
2013-06-07,0.02,0.02,0.02,0.02,348500,0.02
2013-06-06,0.02,0.02,0.02,0.02,366300,0.02
2013-06-05,0.02,0.02,0.02,0.02,109200,0.02
2013-06-04,0.02,0.02,0.02,0.02,40100,0.02
2013-06-03,0.02,0.02,0.02,0.02,25300,0.02
2013-05-31,0.02,0.02,0.02,0.02,99800,0.02
2013-05-30,0.02,0.02,0.02,0.02,64000,0.02
2013-05-29,0.02,0.02,0.02,0.02,207800,0.02
2013-05-28,0.02,0.02,0.02,0.02,202100,0.02
2013-05-24,0.02,0.02,0.02,0.02,165600,0.02
