Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,2.23,2.32,2.23,2.28,41200,2.28
2013-09-26,2.22,2.28,2.16,2.23,83500,2.23
2013-09-25,2.22,2.28,2.21,2.26,37400,2.26
2013-09-24,2.22,2.28,2.16,2.27,114800,2.27
2013-09-23,2.19,2.23,2.15,2.19,61600,2.19
2013-09-20,2.31,2.35,2.05,2.24,361900,2.24
2013-09-19,2.38,2.40,2.31,2.31,63100,2.31
2013-09-18,2.35,2.40,2.28,2.38,84200,2.38
2013-09-17,2.42,2.48,2.30,2.33,149300,2.33
2013-09-16,2.45,2.47,2.39,2.40,223000,2.40
2013-09-13,2.47,2.48,2.41,2.46,50700,2.46
2013-09-12,2.49,2.50,2.40,2.43,60000,2.43
2013-09-11,2.47,2.57,2.43,2.45,36100,2.45
2013-09-10,2.47,2.61,2.42,2.48,83900,2.48
2013-09-09,2.37,2.43,2.37,2.42,16400,2.42
2013-09-06,2.43,2.49,2.39,2.43,49200,2.43
2013-09-05,2.42,2.49,2.33,2.42,75600,2.42
2013-09-04,2.37,2.44,2.36,2.44,12400,2.44
2013-09-03,2.38,2.39,2.33,2.38,24900,2.38
2013-08-30,2.39,2.43,2.32,2.35,45600,2.35
2013-08-29,2.40,2.75,2.34,2.40,513400,2.40
2013-08-28,2.29,2.55,2.25,2.37,160100,2.37
2013-08-27,2.38,2.38,2.27,2.28,23700,2.28
2013-08-26,2.40,2.49,2.34,2.38,82100,2.38
2013-08-23,2.30,2.40,2.30,2.39,47000,2.39
2013-08-22,2.44,2.44,2.23,2.34,22300,2.34
2013-08-21,2.35,2.35,2.26,2.35,40800,2.35
2013-08-20,2.47,2.47,2.26,2.33,197000,2.33
2013-08-19,2.47,2.52,2.42,2.44,22800,2.44
2013-08-16,2.46,2.49,2.41,2.49,33000,2.49
2013-08-15,2.55,2.55,2.41,2.48,71100,2.48
2013-08-14,2.54,2.64,2.47,2.56,58100,2.56
2013-08-13,2.48,2.53,2.43,2.52,27200,2.52
2013-08-12,2.48,2.55,2.46,2.46,32600,2.46
2013-08-09,2.47,2.59,2.46,2.46,41000,2.46
2013-08-08,2.48,2.55,2.40,2.47,57700,2.47
2013-08-07,2.59,2.65,2.40,2.43,109500,2.43
2013-08-06,2.70,2.72,2.58,2.59,54500,2.59
2013-08-05,2.71,2.72,2.63,2.68,46400,2.68
2013-08-02,2.75,2.75,2.64,2.72,81800,2.72
2013-08-01,2.61,2.77,2.52,2.72,102100,2.72
2013-07-31,2.60,2.70,2.56,2.59,81400,2.59
2013-07-30,2.57,2.78,2.51,2.55,135200,2.55
2013-07-29,2.54,2.62,2.52,2.53,43900,2.53
2013-07-26,2.54,2.60,2.54,2.56,28200,2.56
2013-07-25,2.66,2.67,2.52,2.60,21800,2.60
2013-07-24,2.66,2.66,2.54,2.58,14700,2.58
2013-07-23,2.50,2.74,2.50,2.63,120600,2.63
2013-07-22,2.57,2.67,2.51,2.52,49400,2.52
2013-07-19,2.61,2.70,2.56,2.60,54500,2.60
2013-07-18,2.75,2.81,2.60,2.61,242800,2.61
2013-07-17,2.52,2.57,2.45,2.50,114200,2.50
2013-07-16,2.52,2.58,2.50,2.58,21900,2.58
2013-07-15,2.50,2.55,2.50,2.55,22500,2.55
2013-07-12,2.48,2.56,2.48,2.52,20300,2.52
2013-07-11,2.45,2.52,2.45,2.51,9700,2.51
2013-07-10,2.51,2.51,2.41,2.49,13600,2.49
2013-07-09,2.51,2.55,2.40,2.51,36000,2.51
2013-07-08,2.52,2.58,2.46,2.51,30500,2.51
2013-07-05,2.47,2.49,2.42,2.49,50000,2.49
2013-07-03,2.47,2.48,2.40,2.42,2500,2.42
2013-07-02,2.49,2.49,2.38,2.47,41500,2.47
2013-07-01,2.41,2.50,2.40,2.49,15300,2.49
2013-06-28,2.43,2.48,2.40,2.42,25200,2.42
2013-06-27,2.41,2.50,2.38,2.44,35900,2.44
2013-06-26,2.38,2.46,2.35,2.42,20000,2.42
2013-06-25,2.35,2.46,2.33,2.39,24900,2.39
2013-06-24,2.40,2.40,2.30,2.33,61000,2.33
2013-06-21,2.51,2.59,2.36,2.45,129700,2.45
2013-06-20,2.62,2.66,2.50,2.51,136900,2.51
2013-06-19,2.66,2.70,2.66,2.66,9500,2.66
2013-06-18,2.68,2.71,2.65,2.66,25100,2.66
2013-06-17,2.67,2.74,2.63,2.71,60500,2.71
2013-06-14,2.70,2.72,2.62,2.68,109100,2.68
2013-06-13,2.76,2.76,2.60,2.71,180900,2.71
2013-06-12,2.81,2.84,2.67,2.71,90300,2.71
2013-06-11,2.73,2.86,2.73,2.79,15900,2.79
2013-06-10,2.80,2.88,2.80,2.82,56500,2.82
2013-06-07,2.67,2.87,2.63,2.80,167800,2.80
2013-06-06,2.69,2.69,2.65,2.67,33300,2.67
2013-06-05,2.77,2.77,2.66,2.69,73400,2.69
2013-06-04,2.73,2.77,2.70,2.70,72900,2.70
2013-06-03,2.83,2.83,2.71,2.73,24600,2.73
2013-05-31,2.80,2.84,2.75,2.81,28800,2.81
2013-05-30,2.77,2.90,2.75,2.83,77200,2.83
2013-05-29,2.80,2.90,2.74,2.75,75100,2.75
2013-05-28,2.82,2.88,2.80,2.82,64100,2.82
2013-05-24,2.88,2.88,2.75,2.82,123600,2.82
2013-05-23,2.83,2.92,2.80,2.86,60500,2.86
2013-05-22,3.35,3.35,2.85,2.88,435300,2.88
2013-05-21,3.44,3.50,3.17,3.24,316900,3.24
2013-05-20,3.39,3.54,3.24,3.40,433400,3.40
2013-05-17,3.36,3.44,3.17,3.30,251400,3.30
2013-05-16,2.96,3.50,2.96,3.29,528700,3.29
2013-05-15,2.97,3.05,2.97,3.00,27900,3.00
2013-05-14,2.97,3.08,2.96,2.97,82600,2.97
2013-05-13,2.83,3.02,2.83,2.94,125300,2.94
2013-05-10,2.88,2.93,2.82,2.86,94400,2.86
2013-05-09,2.95,3.20,2.82,2.85,187400,2.85
2013-05-08,3.08,3.09,2.94,3.05,70000,3.05
2013-05-07,3.06,3.25,2.94,3.00,234800,3.00
2013-05-06,2.75,3.19,2.68,3.10,507000,3.10
2013-05-03,2.67,2.79,2.63,2.76,69500,2.76
2013-05-02,2.68,2.70,2.63,2.67,16300,2.67
2013-05-01,2.69,2.74,2.67,2.70,7000,2.70
2013-04-30,2.70,2.75,2.70,2.75,16500,2.75
2013-04-29,2.69,2.77,2.68,2.68,22200,2.68
2013-04-26,2.70,2.74,2.65,2.69,24700,2.69
2013-04-25,2.76,2.78,2.70,2.73,23900,2.73
2013-04-24,2.62,2.75,2.61,2.74,43200,2.74
2013-04-23,2.66,2.66,2.60,2.60,17900,2.60
2013-04-22,2.70,2.71,2.62,2.64,23000,2.64
2013-04-19,2.70,2.73,2.67,2.73,6300,2.73
2013-04-18,2.72,2.80,2.60,2.67,50600,2.67
2013-04-17,2.72,2.75,2.63,2.68,34300,2.68
2013-04-16,2.77,2.79,2.71,2.73,13600,2.73
2013-04-15,2.76,2.84,2.67,2.73,41600,2.73
2013-04-12,2.76,2.84,2.76,2.78,17600,2.78
2013-04-11,2.76,2.80,2.75,2.75,12000,2.75
2013-04-10,2.70,2.80,2.69,2.74,28300,2.74
2013-04-09,2.67,2.80,2.67,2.76,45600,2.76
2013-04-08,2.76,2.76,2.63,2.68,45800,2.68
2013-04-05,2.70,2.74,2.70,2.70,32300,2.70
2013-04-04,2.75,2.77,2.71,2.73,39700,2.73
2013-04-03,2.80,2.84,2.75,2.76,55800,2.76
2013-04-02,2.80,2.81,2.75,2.78,30500,2.78
2013-04-01,2.75,2.87,2.72,2.78,27800,2.78
2013-03-28,2.89,2.89,2.77,2.78,47700,2.78
2013-03-27,2.92,3.01,2.81,2.92,43900,2.92
2013-03-26,2.83,2.97,2.78,2.97,72800,2.97
2013-03-25,2.75,2.83,2.75,2.81,16100,2.81
2013-03-22,2.70,2.84,2.70,2.74,18200,2.74
2013-03-21,2.72,2.81,2.70,2.70,42100,2.70
2013-03-20,2.72,2.77,2.69,2.72,47300,2.72
2013-03-19,2.72,2.80,2.68,2.74,81300,2.74
2013-03-18,2.75,2.85,2.71,2.76,65500,2.76
2013-03-15,2.90,3.04,2.74,2.74,156000,2.74
2013-03-14,2.91,2.99,2.90,2.91,40500,2.91
2013-03-13,2.90,2.96,2.85,2.91,32500,2.91
2013-03-12,2.93,2.97,2.87,2.93,33700,2.93
2013-03-11,3.05,3.14,2.92,3.00,97600,3.00
2013-03-08,2.67,3.19,2.67,3.06,302700,3.06
2013-03-07,2.74,2.75,2.62,2.71,78900,2.71
2013-03-06,2.66,2.69,2.62,2.67,27800,2.67
2013-03-05,2.63,2.70,2.63,2.70,41000,2.70
2013-03-04,2.65,2.74,2.60,2.63,99200,2.63
2013-03-01,2.68,2.75,2.58,2.65,95400,2.65
2013-02-28,2.75,2.82,2.68,2.70,67400,2.70
2013-02-27,2.80,2.83,2.75,2.79,45000,2.79
2013-02-26,2.76,2.80,2.70,2.78,29700,2.78
2013-02-25,2.84,2.93,2.75,2.77,40800,2.77
2013-02-22,2.80,2.96,2.80,2.82,48100,2.82
2013-02-21,2.87,3.00,2.76,2.79,80200,2.79
2013-02-20,3.00,3.00,2.87,2.87,58900,2.87
2013-02-19,2.92,3.05,2.92,2.98,59300,2.98
2013-02-15,2.96,3.02,2.92,2.94,18600,2.94
2013-02-14,2.99,3.05,2.96,2.98,31300,2.98
2013-02-13,3.08,3.08,2.96,3.00,50500,3.00
2013-02-12,3.08,3.15,3.01,3.05,39500,3.05
2013-02-11,2.93,3.19,2.92,3.10,148100,3.10
2013-02-08,2.95,2.95,2.85,2.90,49400,2.90
2013-02-07,2.93,2.99,2.82,2.91,15900,2.91
2013-02-06,2.91,2.94,2.86,2.91,33800,2.91
2013-02-05,2.88,2.92,2.86,2.91,57300,2.91
2013-02-04,2.90,2.97,2.82,2.83,123300,2.83
2013-02-01,2.94,2.99,2.92,2.96,67700,2.96
2013-01-31,2.95,3.04,2.93,2.95,76300,2.95
2013-01-30,3.10,3.11,2.97,2.99,100000,2.99
2013-01-29,3.15,3.28,3.03,3.07,58000,3.07
2013-01-28,3.00,3.39,2.99,3.13,312900,3.13
2013-01-25,3.05,3.09,2.96,3.03,85500,3.03
2013-01-24,3.10,3.33,3.04,3.09,237600,3.09
2013-01-23,3.23,3.35,3.15,3.23,132600,3.23
2013-01-22,3.11,3.33,3.11,3.23,151500,3.23
2013-01-18,3.15,3.20,3.10,3.10,60700,3.10
2013-01-17,3.20,3.31,3.15,3.18,105400,3.18
2013-01-16,3.32,3.38,3.09,3.12,280800,3.12
2013-01-15,3.56,3.56,3.23,3.34,136100,3.34
2013-01-14,3.55,3.82,3.40,3.52,489300,3.52
2013-01-11,3.00,3.60,3.00,3.50,756200,3.50
2013-01-10,2.98,3.05,2.88,2.97,40100,2.97
2013-01-09,2.96,3.00,2.83,2.95,88600,2.95
2013-01-08,3.02,3.07,2.90,2.95,54900,2.95
2013-01-07,3.12,3.18,2.96,3.07,39100,3.07
2013-01-04,3.05,3.15,2.98,3.10,82500,3.10
2013-01-03,2.97,3.18,2.90,3.01,114000,3.01
2013-01-02,2.95,3.03,2.81,2.97,94000,2.97
2012-12-31,2.85,2.92,2.70,2.85,171800,2.85
2012-12-28,2.87,2.94,2.80,2.87,63200,2.87
2012-12-27,2.92,3.14,2.85,2.92,58000,2.92
2012-12-26,3.00,3.00,2.85,2.90,31100,2.90
2012-12-24,2.90,2.99,2.86,2.95,15700,2.95
2012-12-21,3.07,3.07,2.85,2.96,113300,2.96
2012-12-20,3.18,3.28,3.00,3.16,112100,3.16
2012-12-19,3.02,3.38,3.02,3.20,439600,3.20
2012-12-18,2.77,2.99,2.75,2.96,153300,2.96
2012-12-17,2.71,2.78,2.65,2.70,35400,2.70
2012-12-14,2.69,2.77,2.69,2.71,34300,2.71
2012-12-13,2.72,2.75,2.68,2.69,47000,2.69
2012-12-12,2.77,2.77,2.64,2.66,62700,2.66
2012-12-11,2.77,2.85,2.68,2.72,46700,2.72
2012-12-10,2.84,2.86,2.71,2.78,34600,2.78
2012-12-07,2.70,2.87,2.67,2.82,43700,2.82
2012-12-06,2.77,2.91,2.73,2.73,26400,2.73
2012-12-05,2.79,2.85,2.75,2.80,30700,2.80
2012-12-04,2.83,2.92,2.74,2.79,62400,2.79
2012-12-03,2.94,3.05,2.79,2.87,61400,2.87
2012-11-30,3.10,3.21,2.85,2.96,181000,2.96
2012-11-29,2.74,3.25,2.74,3.11,416500,3.11
2012-11-28,2.62,2.77,2.54,2.68,72300,2.68
2012-11-27,2.39,2.75,2.39,2.67,220700,2.67
2012-11-26,2.50,2.51,2.41,2.45,55000,2.45
2012-11-23,2.44,2.53,2.41,2.50,45500,2.50
2012-11-21,2.42,2.46,2.22,2.44,39900,2.44
2012-11-20,2.40,2.48,2.34,2.38,40500,2.38
2012-11-19,2.31,2.50,2.18,2.43,85900,2.43
2012-11-16,2.31,2.35,2.16,2.23,45600,2.23
2012-11-15,2.17,2.30,2.15,2.25,37700,2.25
2012-11-14,2.25,2.30,2.17,2.18,65200,2.18
2012-11-13,2.21,2.37,2.17,2.27,129200,2.27
2012-11-12,2.32,2.40,2.29,2.30,26900,2.30
2012-11-09,2.27,2.49,2.10,2.41,123600,2.41
2012-11-08,2.38,2.39,2.26,2.29,44000,2.29
2012-11-07,2.43,2.43,2.25,2.37,73600,2.37
2012-11-06,2.52,2.52,2.36,2.40,174100,2.40
2012-11-05,2.35,2.49,2.35,2.49,50600,2.49
2012-11-02,2.42,2.55,2.35,2.43,148800,2.43
2012-11-01,2.11,2.48,2.06,2.46,729200,2.46
2012-10-31,3.29,3.29,1.82,1.94,1199000,1.94
2012-10-26,3.80,3.80,3.08,3.18,256500,3.18
2012-10-25,3.50,3.79,3.49,3.78,114800,3.78
2012-10-24,3.60,3.65,3.40,3.43,78000,3.43
2012-10-23,3.76,3.80,3.51,3.62,120900,3.62
2012-10-22,4.03,4.10,3.77,3.82,60900,3.82
2012-10-19,4.04,4.06,3.76,3.95,134200,3.95
2012-10-18,4.20,4.20,3.92,4.03,157700,4.03
2012-10-17,3.80,4.45,3.75,4.19,628700,4.19
2012-10-16,3.49,3.65,3.49,3.63,74200,3.63
2012-10-15,3.43,3.50,3.40,3.45,44500,3.45
2012-10-12,3.54,3.54,3.40,3.42,26500,3.42
2012-10-11,3.51,3.62,3.45,3.47,25300,3.47
2012-10-10,3.50,3.56,3.40,3.42,77500,3.42
2012-10-09,3.58,3.58,3.50,3.52,41200,3.52
2012-10-08,3.56,3.58,3.50,3.51,42800,3.51
2012-10-05,3.88,3.89,3.61,3.64,59700,3.64
2012-10-04,3.85,3.90,3.71,3.82,35500,3.82
2012-10-03,3.73,3.90,3.73,3.84,40600,3.84
2012-10-02,3.77,3.81,3.62,3.67,35600,3.67
2012-10-01,3.88,3.99,3.79,3.79,85400,3.79
2012-09-28,3.50,3.87,3.50,3.79,107700,3.79
2012-09-27,3.54,3.59,3.42,3.45,57500,3.45
2012-09-26,3.72,3.76,3.51,3.54,43500,3.54
2012-09-25,3.74,3.89,3.60,3.67,60700,3.67
2012-09-24,3.95,3.98,3.72,3.75,54000,3.75
2012-09-21,4.18,4.20,3.93,3.97,76400,3.97
2012-09-20,3.96,4.03,3.89,3.98,68300,3.98
2012-09-19,4.18,4.23,4.00,4.01,47000,4.01
2012-09-18,4.06,4.22,4.06,4.14,44500,4.14
2012-09-17,4.33,4.33,3.84,4.12,228600,4.12
2012-09-14,3.93,4.65,3.84,4.33,470300,4.33
2012-09-13,3.95,3.99,3.76,3.87,192500,3.87
2012-09-12,4.22,4.40,3.84,4.06,350900,4.06
2012-09-11,3.61,4.30,3.61,4.24,713400,4.24
2012-09-10,3.02,3.59,3.02,3.56,400500,3.56
2012-09-07,2.80,3.04,2.77,2.99,98900,2.99
2012-09-06,2.75,2.80,2.70,2.76,43100,2.76
2012-09-05,2.79,2.81,2.73,2.73,6600,2.73
2012-09-04,2.70,2.81,2.70,2.77,8200,2.77
2012-08-31,2.79,2.80,2.70,2.72,34500,2.72
2012-08-30,2.83,2.84,2.75,2.75,25400,2.75
2012-08-29,2.79,2.85,2.75,2.81,34200,2.81
2012-08-28,2.85,2.91,2.78,2.79,30000,2.79
2012-08-27,2.90,2.94,2.78,2.80,38100,2.80
2012-08-24,2.90,3.03,2.89,2.96,14200,2.96
2012-08-23,3.02,3.02,2.92,2.92,7300,2.92
2012-08-22,2.97,3.04,2.97,3.00,38200,3.00
2012-08-21,2.94,2.98,2.91,2.92,12300,2.92
2012-08-20,2.90,2.94,2.90,2.90,16600,2.90
2012-08-17,2.92,2.95,2.88,2.90,31000,2.90
2012-08-16,2.94,2.95,2.86,2.89,31400,2.89
2012-08-15,2.87,2.99,2.85,2.85,16900,2.85
2012-08-14,2.82,2.87,2.71,2.81,43500,2.81
2012-08-13,2.91,2.96,2.80,2.80,26200,2.80
2012-08-10,2.98,2.98,2.91,2.91,28600,2.91
2012-08-09,3.04,3.04,2.96,2.98,24500,2.98
2012-08-08,2.98,3.03,2.95,2.98,17500,2.98
2012-08-07,2.87,3.01,2.81,2.91,19200,2.91
