Date,Open,High,Low,Close,Volume,Adj Close
2013-09-25,11.58,11.89,11.52,11.86,879000,11.86
2013-09-24,11.54,11.63,11.48,11.50,568100,11.50
2013-09-23,11.68,11.70,11.46,11.52,701800,11.52
2013-09-20,11.87,11.94,11.72,11.73,953800,11.73
2013-09-19,11.64,11.99,11.61,11.93,1792500,11.93
2013-09-18,11.38,11.60,11.29,11.60,1881800,11.60
2013-09-17,11.60,11.62,11.41,11.42,1003200,11.42
2013-09-16,11.50,11.70,11.43,11.65,1157500,11.65
2013-09-13,11.45,11.50,11.38,11.39,1179000,11.39
2013-09-12,11.51,11.73,11.49,11.66,1722200,11.66
2013-09-11,11.33,11.66,11.29,11.63,1845700,11.51
2013-09-10,11.77,11.79,11.29,11.36,2503800,11.24
2013-09-09,11.40,11.74,11.39,11.70,1680700,11.58
2013-09-06,11.34,11.38,11.13,11.32,1448700,11.20
2013-09-05,11.30,11.44,11.18,11.43,2103900,11.31
2013-09-04,11.29,11.31,11.10,11.25,1576500,11.13
2013-09-03,11.10,11.33,11.06,11.31,1582400,11.19
2013-09-02,10.78,11.14,10.77,11.13,2003400,11.02
2013-08-30,10.54,10.79,10.54,10.70,2369700,10.59
2013-08-29,10.75,10.76,10.49,10.54,1684700,10.43
2013-08-28,10.62,10.73,10.53,10.72,2292000,10.61
2013-08-27,10.93,11.11,10.78,10.82,2118900,10.71
2013-08-26,10.90,11.11,10.63,11.08,3433200,10.97
2013-08-23,10.50,10.91,10.38,10.77,4625300,10.66
2013-08-22,9.72,10.22,9.53,10.19,18958600,10.08
2013-08-21,9.75,9.83,9.38,9.76,7317000,9.66
2013-08-20,9.19,9.44,9.19,9.37,1345800,9.27
2013-08-19,9.62,9.64,9.32,9.34,1380600,9.24
2013-08-16,9.25,9.52,9.21,9.52,1492600,9.42
2013-08-15,9.30,9.30,9.16,9.23,2343400,9.13
2013-08-14,9.46,9.49,9.28,9.29,1634800,9.19
2013-08-13,9.18,9.49,9.18,9.46,1721400,9.36
2013-08-12,9.15,9.32,9.15,9.25,1635300,9.15
2013-08-09,9.38,9.48,9.17,9.20,1165100,9.11
2013-08-08,9.36,9.38,9.21,9.35,1234300,9.25
2013-08-07,9.52,9.58,9.31,9.37,1041200,9.27
2013-08-06,9.65,9.80,9.61,9.68,1286700,9.58
2013-08-05,9.60,9.66,9.48,9.57,335200,9.47
2013-08-02,9.70,9.73,9.57,9.62,1517900,9.52
2013-08-01,9.57,9.63,9.50,9.60,1797300,9.50
2013-07-31,9.34,9.59,9.34,9.43,899000,9.33
2013-07-30,9.35,9.35,9.12,9.21,750500,9.11
