Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.85,0.85,0.85,0.85,000,0.85
2013-09-26,0.85,0.85,0.85,0.85,11900,0.85
2013-09-25,0.88,0.88,0.88,0.88,000,0.88
2013-09-24,0.88,0.88,0.88,0.88,000,0.88
2013-09-23,0.90,0.90,0.85,0.88,78500,0.88
2013-09-20,0.85,0.85,0.85,0.85,000,0.85
2013-09-19,0.85,0.85,0.85,0.85,000,0.85
2013-09-18,0.85,0.85,0.85,0.85,000,0.85
2013-09-17,0.85,0.85,0.85,0.85,30600,0.85
2013-09-16,0.90,0.90,0.90,0.90,5500,0.90
2013-09-13,0.90,0.90,0.90,0.90,000,0.90
2013-09-12,0.90,0.90,0.90,0.90,000,0.90
2013-09-11,0.89,0.90,0.89,0.90,19500,0.90
2013-09-10,0.90,0.90,0.90,0.90,000,0.90
2013-09-09,0.93,0.93,0.90,0.90,5900,0.90
2013-09-06,0.94,0.94,0.94,0.94,000,0.94
2013-09-05,0.94,0.94,0.94,0.94,000,0.94
2013-09-04,0.94,0.94,0.94,0.94,000,0.94
2013-09-03,0.94,0.94,0.94,0.94,300,0.94
2013-08-30,1.00,1.00,0.95,0.95,43100,0.95
2013-08-29,0.95,1.09,0.95,1.02,69100,1.02
2013-08-28,0.90,0.95,0.90,0.95,37700,0.95
2013-08-27,0.95,1.02,0.95,0.95,12500,0.95
2013-08-26,0.95,0.95,0.95,0.95,000,0.95
2013-08-23,0.95,0.95,0.95,0.95,000,0.95
2013-08-22,0.95,0.95,0.95,0.95,000,0.95
2013-08-21,0.87,0.95,0.87,0.95,2500,0.95
2013-08-20,0.95,0.95,0.95,0.95,000,0.95
2013-08-19,0.95,0.95,0.95,0.95,2000,0.95
2013-08-16,1.00,1.00,1.00,1.00,2000,1.00
2013-08-15,0.93,0.93,0.93,0.93,31000,0.93
2013-08-14,0.95,0.95,0.95,0.95,000,0.95
2013-08-13,1.05,1.05,0.90,0.95,30800,0.95
2013-08-12,1.06,1.06,1.06,1.06,000,1.06
2013-08-09,1.06,1.06,1.06,1.06,000,1.06
2013-08-08,1.07,1.08,1.06,1.06,150000,1.06
2013-08-07,1.05,1.05,1.05,1.05,50100,1.05
2013-08-06,1.04,1.05,1.04,1.05,50000,1.05
2013-08-05,1.15,1.16,1.00,1.05,217700,1.05
2013-08-02,0.95,0.95,0.90,0.90,28400,0.90
2013-08-01,1.00,1.00,0.90,0.90,55200,0.90
2013-07-31,1.05,1.05,1.05,1.05,20000,1.05
2013-07-30,1.05,1.05,1.05,1.05,55400,1.05
2013-07-29,1.05,1.05,1.05,1.05,10000,1.05
2013-07-26,1.05,1.05,1.05,1.05,25000,1.05
2013-07-25,1.10,1.10,1.09,1.09,40000,1.09
2013-07-24,1.15,1.15,1.15,1.15,000,1.15
2013-07-23,1.15,1.17,1.15,1.15,5100,1.15
2013-07-22,1.05,1.15,1.00,1.15,11300,1.15
2013-07-19,1.15,1.15,1.15,1.15,000,1.15
2013-07-18,1.15,1.15,1.15,1.15,000,1.15
2013-07-17,1.15,1.15,1.15,1.15,000,1.15
2013-07-16,1.15,1.15,1.15,1.15,16500,1.15
2013-07-15,1.14,1.14,1.14,1.14,000,1.14
2013-07-12,1.00,1.14,0.90,1.14,56000,1.14
2013-07-11,1.00,1.00,1.00,1.00,20000,1.00
2013-07-10,1.00,1.00,1.00,1.00,000,1.00
2013-07-09,1.00,1.00,1.00,1.00,17500,1.00
2013-07-08,1.00,1.00,1.00,1.00,000,1.00
2013-07-05,1.00,1.00,1.00,1.00,000,1.00
2013-07-03,1.00,1.00,1.00,1.00,10000,1.00
2013-07-02,1.00,1.00,1.00,1.00,20000,1.00
2013-07-01,1.00,1.05,1.00,1.00,35800,1.00
2013-06-28,1.15,1.15,1.15,1.15,000,1.15
2013-06-27,1.15,1.15,1.15,1.15,000,1.15
2013-06-26,1.15,1.15,1.15,1.15,4900,1.15
2013-06-25,1.17,1.17,1.17,1.17,000,1.17
2013-06-24,1.17,1.17,1.17,1.17,000,1.17
2013-06-21,1.17,1.17,1.17,1.17,000,1.17
2013-06-20,1.17,1.17,1.17,1.17,1000,1.17
2013-06-19,1.15,1.15,1.15,1.15,5100,1.15
2013-06-18,1.00,1.10,1.00,1.10,25200,1.10
2013-06-17,1.03,1.25,1.03,1.08,66400,1.08
2013-06-14,1.04,1.05,0.96,1.04,126600,1.04
2013-06-13,0.95,1.17,0.95,0.99,60500,0.99
2013-06-12,1.00,1.20,0.92,0.92,50100,0.92
2013-06-11,1.09,1.09,1.09,1.09,100,1.09
2013-06-10,1.10,1.10,1.10,1.10,000,1.10
2013-06-07,1.20,1.20,1.10,1.10,10000,1.10
2013-06-06,1.10,1.22,1.10,1.10,20000,1.10
2013-06-05,1.10,1.10,1.10,1.10,100,1.10
2013-06-04,1.30,1.30,1.30,1.30,200,1.30
2013-06-03,1.25,1.25,1.25,1.25,12900,1.25
2013-05-31,1.20,1.20,1.20,1.20,100,1.20
2013-05-30,1.31,1.31,1.31,1.31,000,1.31
2013-05-29,1.31,1.31,1.31,1.31,000,1.31
2013-05-28,1.31,1.31,1.31,1.31,000,1.31
2013-05-24,1.31,1.31,1.31,1.31,000,1.31
2013-05-23,1.31,1.31,1.31,1.31,000,1.31
2013-05-22,1.31,1.31,1.31,1.31,000,1.31
2013-05-21,1.31,1.31,1.31,1.31,000,1.31
2013-05-20,1.31,1.31,1.31,1.31,000,1.31
2013-05-17,1.31,1.31,1.31,1.31,000,1.31
2013-05-16,1.31,1.31,1.31,1.31,000,1.31
2013-05-15,1.31,1.31,1.31,1.31,7500,1.31
2013-05-14,1.16,1.16,1.16,1.16,200,1.16
2013-05-13,1.30,1.30,1.30,1.30,000,1.30
2013-05-10,1.30,1.30,1.30,1.30,5000,1.30
2013-05-09,1.30,1.34,1.30,1.30,13900,1.30
2013-05-08,1.29,1.30,1.21,1.21,23400,1.21
2013-05-07,1.25,1.30,1.20,1.20,25900,1.20
2013-05-06,1.10,1.10,1.10,1.10,000,1.10
2013-05-03,1.10,1.10,1.10,1.10,000,1.10
2013-05-02,1.10,1.10,1.10,1.10,5000,1.10
2013-05-01,1.15,1.15,1.15,1.15,10000,1.15
2013-04-30,1.15,1.15,1.10,1.10,20200,1.10
2013-04-29,1.10,1.30,1.05,1.10,93800,1.10
2013-04-26,1.25,1.25,1.25,1.25,000,1.25
2013-04-25,1.25,1.25,1.25,1.25,000,1.25
2013-04-24,1.25,1.25,1.25,1.25,000,1.25
2013-04-23,1.25,1.25,1.25,1.25,000,1.25
2013-04-22,1.10,1.25,1.10,1.25,9300,1.25
2013-04-19,1.05,1.05,1.04,1.05,38000,1.05
2013-04-18,1.07,1.07,1.04,1.04,9500,1.04
2013-04-17,1.15,1.15,1.15,1.15,7000,1.15
2013-04-16,1.20,1.20,1.20,1.20,000,1.20
2013-04-15,1.20,1.20,1.20,1.20,000,1.20
2013-04-12,1.20,1.20,1.20,1.20,000,1.20
2013-04-11,1.20,1.20,1.20,1.20,500,1.20
2013-04-10,1.18,1.18,1.18,1.18,000,1.18
2013-04-09,1.18,1.18,1.18,1.18,000,1.18
2013-04-08,1.18,1.18,1.18,1.18,000,1.18
2013-04-05,1.20,1.20,1.18,1.18,18000,1.18
2013-04-04,1.20,1.20,1.20,1.20,000,1.20
2013-04-03,1.20,1.20,1.20,1.20,5000,1.20
2013-04-02,1.26,1.26,1.26,1.26,000,1.26
2013-04-01,1.26,1.26,1.26,1.26,000,1.26
2013-03-28,1.26,1.26,1.26,1.26,000,1.26
2013-03-27,1.26,1.26,1.26,1.26,000,1.26
2013-03-26,1.26,1.26,1.26,1.26,100,1.26
2013-03-25,1.25,1.25,1.25,1.25,000,1.25
2013-03-22,1.25,1.25,1.25,1.25,100,1.25
2013-03-21,1.05,1.25,1.05,1.25,68300,1.25
2013-03-20,1.25,1.25,1.05,1.05,129500,1.05
2013-03-19,1.32,1.32,1.32,1.32,000,1.32
2013-03-18,1.29,1.32,1.29,1.32,31800,1.32
2013-03-15,1.30,1.30,1.30,1.30,000,1.30
2013-03-14,1.30,1.30,1.30,1.30,000,1.30
2013-03-13,1.30,1.30,1.30,1.30,000,1.30
2013-03-12,1.30,1.30,1.30,1.30,000,1.30
2013-03-11,1.30,1.30,1.30,1.30,30000,1.30
2013-03-08,1.30,1.30,1.30,1.30,30000,1.30
2013-03-07,1.29,1.30,1.29,1.30,10000,1.30
2013-03-06,1.30,1.30,1.30,1.30,000,1.30
2013-03-05,1.30,1.30,1.30,1.30,000,1.30
2013-03-04,1.30,1.30,1.30,1.30,20000,1.30
2013-03-01,1.28,1.28,1.28,1.28,000,1.28
2013-02-28,1.28,1.28,1.28,1.28,13000,1.28
2013-02-27,1.28,1.28,1.28,1.28,2000,1.28
2013-02-26,1.28,1.28,1.28,1.28,000,1.28
2013-02-25,1.28,1.28,1.28,1.28,000,1.28
2013-02-22,1.28,1.28,1.28,1.28,000,1.28
2013-02-21,1.28,1.28,1.28,1.28,000,1.28
2013-02-20,1.28,1.28,1.28,1.28,000,1.28
2013-02-19,1.28,1.28,1.28,1.28,000,1.28
2013-02-15,1.30,1.30,1.28,1.28,10000,1.28
2013-02-14,1.28,1.28,1.28,1.28,000,1.28
2013-02-13,1.28,1.28,1.28,1.28,1000,1.28
2013-02-12,1.15,1.15,1.15,1.15,000,1.15
2013-02-11,1.15,1.15,1.15,1.15,000,1.15
2013-02-08,1.15,1.15,1.15,1.15,000,1.15
2013-02-07,1.15,1.15,1.15,1.15,000,1.15
2013-02-06,1.15,1.15,1.15,1.15,000,1.15
2013-02-05,1.15,1.15,1.15,1.15,000,1.15
2013-02-04,1.15,1.15,1.15,1.15,000,1.15
2013-02-01,1.15,1.15,1.15,1.15,000,1.15
2013-01-31,1.20,1.25,1.15,1.15,83500,1.15
2013-01-30,1.16,1.16,1.16,1.16,000,1.16
2013-01-29,1.15,1.20,1.15,1.16,18500,1.16
2013-01-28,1.20,1.20,1.20,1.20,000,1.20
2013-01-25,1.21,1.25,1.20,1.20,10000,1.20
2013-01-24,1.21,1.21,1.21,1.21,000,1.21
2013-01-23,1.20,1.21,1.20,1.21,55300,1.21
2013-01-22,1.20,1.20,1.20,1.20,000,1.20
2013-01-18,1.20,1.20,1.20,1.20,000,1.20
2013-01-17,1.23,1.25,1.20,1.20,50200,1.20
2013-01-16,1.25,1.25,1.20,1.20,25700,1.20
2013-01-15,1.25,1.25,1.25,1.25,9500,1.25
2013-01-14,1.25,1.25,1.25,1.25,1000,1.25
2013-01-11,1.24,1.28,1.24,1.28,41000,1.28
2013-01-10,1.00,1.00,1.00,1.00,23900,1.00
2013-01-09,1.00,1.00,1.00,1.00,000,1.00
2013-01-08,1.00,1.00,1.00,1.00,25000,1.00
2013-01-07,1.00,1.00,1.00,1.00,000,1.00
2013-01-04,1.00,1.00,1.00,1.00,5000,1.00
2013-01-03,1.00,1.00,1.00,1.00,5000,1.00
2013-01-02,1.00,1.00,1.00,1.00,000,1.00
2012-12-31,1.00,1.00,1.00,1.00,000,1.00
2012-12-28,1.00,1.00,1.00,1.00,000,1.00
2012-12-27,1.00,1.00,1.00,1.00,000,1.00
2012-12-26,1.00,1.00,1.00,1.00,000,1.00
2012-12-24,1.00,1.00,1.00,1.00,000,1.00
2012-12-21,1.00,1.00,1.00,1.00,000,1.00
2012-12-20,1.02,1.02,1.00,1.00,50100,1.00
2012-12-19,1.05,1.05,1.04,1.04,30000,1.04
2012-12-18,1.04,1.04,1.04,1.04,000,1.04
2012-12-17,1.04,1.04,1.04,1.04,000,1.04
2012-12-14,1.15,1.15,1.04,1.04,50000,1.04
2012-12-13,1.03,1.10,1.01,1.05,9100,1.05
2012-12-12,1.00,1.00,1.00,1.00,000,1.00
2012-12-11,1.00,1.00,1.00,1.00,000,1.00
2012-12-10,1.00,1.00,1.00,1.00,000,1.00
2012-12-07,1.00,1.00,1.00,1.00,000,1.00
2012-12-06,1.00,1.00,1.00,1.00,000,1.00
2012-12-05,1.00,1.00,1.00,1.00,000,1.00
2012-12-04,1.00,1.00,1.00,1.00,15000,1.00
2012-12-03,1.00,1.00,1.00,1.00,000,1.00
2012-11-30,1.00,1.00,1.00,1.00,000,1.00
2012-11-29,1.00,1.00,1.00,1.00,000,1.00
2012-11-28,1.00,1.00,1.00,1.00,000,1.00
2012-11-27,1.00,1.00,1.00,1.00,000,1.00
2012-11-26,1.00,1.00,1.00,1.00,000,1.00
2012-11-23,1.00,1.00,1.00,1.00,000,1.00
2012-11-21,1.00,1.00,1.00,1.00,000,1.00
2012-11-20,1.00,1.01,1.00,1.00,27500,1.00
2012-11-19,1.00,1.00,1.00,1.00,000,1.00
2012-11-16,1.00,1.00,1.00,1.00,000,1.00
2012-11-15,1.00,1.00,1.00,1.00,000,1.00
2012-11-14,1.00,1.00,1.00,1.00,000,1.00
2012-11-13,1.00,1.00,1.00,1.00,000,1.00
2012-11-12,1.00,1.00,1.00,1.00,000,1.00
2012-11-09,1.00,1.00,1.00,1.00,000,1.00
2012-11-08,1.00,1.00,1.00,1.00,000,1.00
2012-11-07,1.00,1.01,1.00,1.00,40500,1.00
2012-11-06,1.00,1.00,1.00,1.00,2500,1.00
2012-11-05,1.25,1.25,1.25,1.25,000,1.25
2012-11-02,1.25,1.25,1.25,1.25,000,1.25
2012-11-01,1.25,1.25,1.25,1.25,000,1.25
2012-10-31,1.25,1.25,1.25,1.25,000,1.25
2012-10-26,1.25,1.25,1.25,1.25,000,1.25
2012-10-25,1.25,1.25,1.25,1.25,000,1.25
2012-10-24,1.25,1.25,1.25,1.25,000,1.25
2012-10-23,1.25,1.25,1.25,1.25,000,1.25
2012-10-22,1.25,1.25,1.25,1.25,000,1.25
2012-10-19,1.25,1.25,1.25,1.25,000,1.25
2012-10-18,1.25,1.25,1.25,1.25,000,1.25
2012-10-17,1.25,1.25,1.25,1.25,000,1.25
2012-10-16,1.25,1.25,1.25,1.25,000,1.25
2012-10-15,1.25,1.25,1.25,1.25,000,1.25
2012-10-12,1.26,1.26,1.25,1.25,60000,1.25
2012-10-11,1.26,1.30,1.25,1.25,86000,1.25
2012-10-10,1.25,1.25,1.25,1.25,000,1.25
2012-10-09,1.25,1.25,1.25,1.25,1800,1.25
2012-10-08,1.25,1.25,1.25,1.25,72000,1.25
2012-10-05,1.25,1.25,1.25,1.25,000,1.25
2012-10-04,1.25,1.25,1.25,1.25,000,1.25
2012-10-03,1.25,1.25,1.25,1.25,1000,1.25
2012-10-02,1.25,1.25,1.25,1.25,27000,1.25
2012-10-01,1.25,1.25,1.25,1.25,95000,1.25
2012-09-28,1.25,1.25,1.25,1.25,105000,1.25
2012-09-27,1.25,1.25,1.25,1.25,100000,1.25
2012-09-26,1.50,1.50,1.50,1.50,000,1.50
2012-09-25,1.50,1.50,1.50,1.50,000,1.50
2012-09-24,1.50,1.50,1.50,1.50,000,1.50
2012-09-21,1.50,1.50,1.50,1.50,000,1.50
2012-09-20,1.50,1.50,1.50,1.50,000,1.50
2012-09-19,1.50,1.50,1.50,1.50,000,1.50
2012-09-18,1.50,1.50,1.50,1.50,000,1.50
2012-09-17,1.50,1.50,1.50,1.50,000,1.50
2012-09-14,1.50,1.50,1.50,1.50,000,1.50
2012-09-13,1.50,1.50,1.50,1.50,000,1.50
2012-09-12,1.50,1.50,1.50,1.50,000,1.50
2012-09-11,1.50,1.50,1.50,1.50,000,1.50
2012-09-10,1.50,1.50,1.50,1.50,000,1.50
2012-09-07,1.50,1.50,1.50,1.50,000,1.50
2012-09-06,1.50,1.50,1.50,1.50,000,1.50
2012-09-05,1.50,1.50,1.50,1.50,000,1.50
2012-09-04,1.50,1.50,1.50,1.50,000,1.50
2012-08-31,1.50,1.50,1.50,1.50,000,1.50
2012-08-30,1.50,1.50,1.50,1.50,000,1.50
2012-08-29,1.50,1.50,1.50,1.50,000,1.50
2012-08-28,1.50,1.50,1.50,1.50,000,1.50
2012-08-27,1.50,1.50,1.50,1.50,000,1.50
2012-08-24,1.50,1.50,1.50,1.50,500,1.50
2012-08-23,1.50,1.52,1.50,1.52,5000,1.52
2012-08-22,0.85,1.00,0.85,1.00,9500,1.00
2012-08-21,0.84,0.84,0.84,0.84,000,0.84
2012-08-20,0.84,0.84,0.84,0.84,000,0.84
2012-08-17,0.84,0.84,0.84,0.84,000,0.84
2012-08-16,0.84,0.84,0.84,0.84,000,0.84
2012-08-15,0.84,0.84,0.84,0.84,000,0.84
2012-08-14,0.84,0.84,0.84,0.84,000,0.84
2012-08-13,0.84,0.84,0.84,0.84,000,0.84
2012-08-10,0.84,0.84,0.84,0.84,000,0.84
2012-08-09,0.84,0.84,0.84,0.84,000,0.84
2012-08-08,0.84,0.84,0.84,0.84,000,0.84
2012-08-07,0.84,0.84,0.84,0.84,000,0.84
2012-08-06,0.84,0.84,0.84,0.84,000,0.84
2012-08-03,0.84,0.84,0.84,0.84,000,0.84
2012-08-02,0.84,0.84,0.84,0.84,1000,0.84
2012-08-01,0.85,0.85,0.85,0.85,000,0.85
2012-07-31,0.85,0.85,0.85,0.85,000,0.85
2012-07-30,0.85,0.85,0.85,0.85,000,0.85
2012-07-27,0.85,0.85,0.85,0.85,000,0.85
2012-07-26,0.85,0.85,0.85,0.85,000,0.85
2012-07-25,0.85,0.85,0.85,0.85,5000,0.85
2012-07-24,0.90,0.90,0.90,0.90,000,0.90
2012-07-23,0.90,0.90,0.90,0.90,000,0.90
2012-07-20,0.90,0.90,0.90,0.90,000,0.90
2012-07-19,0.90,0.90,0.90,0.90,000,0.90
2012-07-18,0.90,0.90,0.90,0.90,000,0.90
2012-07-17,0.90,0.90,0.90,0.90,5000,0.90
2012-07-16,0.95,0.95,0.95,0.95,000,0.95
2012-07-13,0.95,0.95,0.95,0.95,000,0.95
2012-07-12,0.95,0.95,0.95,0.95,000,0.95
2012-07-11,0.95,0.95,0.95,0.95,000,0.95
2012-07-10,0.95,0.95,0.95,0.95,5000,0.95
2012-07-09,0.99,0.99,0.99,0.99,5000,0.99
2012-07-06,1.05,1.05,1.05,1.05,000,1.05
2012-07-05,1.05,1.05,1.05,1.05,000,1.05
2012-07-03,1.05,1.05,1.05,1.05,000,1.05
2012-07-02,1.05,1.05,1.05,1.05,000,1.05
2012-06-29,1.05,1.05,1.05,1.05,000,1.05
2012-06-28,1.05,1.05,1.05,1.05,000,1.05
2012-06-27,1.05,1.05,1.05,1.05,000,1.05
2012-06-26,1.10,1.10,1.05,1.05,1000,1.05
2012-06-25,1.10,1.10,1.10,1.10,000,1.10
2012-06-22,1.10,1.10,1.10,1.10,5000,1.10
2012-06-21,1.11,1.11,1.11,1.11,000,1.11
2012-06-20,1.11,1.11,1.11,1.11,000,1.11
2012-06-19,1.11,1.11,1.11,1.11,000,1.11
2012-06-18,1.11,1.11,1.11,1.11,000,1.11
