Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,1.71,1.71,1.71,1.71,2000,1.71
2013-09-26,1.65,1.65,1.65,1.65,000,1.65
2013-09-25,1.65,1.65,1.65,1.65,000,1.65
2013-09-24,1.65,1.65,1.65,1.65,000,1.65
2013-09-23,1.65,1.65,1.65,1.65,200,1.65
2013-09-20,1.82,1.82,1.68,1.68,7600,1.68
2013-09-19,1.80,1.80,1.65,1.80,12500,1.80
2013-09-18,1.80,1.80,1.80,1.80,2100,1.80
2013-09-17,1.71,1.80,1.71,1.77,8700,1.77
2013-09-16,1.75,1.80,1.61,1.75,7300,1.75
2013-09-13,1.70,1.80,1.70,1.80,13900,1.80
2013-09-12,1.68,1.70,1.68,1.70,4000,1.70
2013-09-11,1.63,1.64,1.63,1.64,5900,1.64
2013-09-10,1.55,1.68,1.55,1.60,9600,1.60
2013-09-09,1.59,1.59,1.59,1.59,700,1.59
2013-09-06,1.55,1.55,1.55,1.55,000,1.55
2013-09-05,1.56,1.56,1.55,1.55,2700,1.55
2013-09-04,1.60,1.60,1.60,1.60,1500,1.60
2013-09-03,1.60,1.60,1.60,1.60,000,1.60
2013-09-02,1.57,1.60,1.57,1.60,2100,1.60
2013-08-30,1.55,1.55,1.55,1.55,3200,1.55
2013-08-29,1.55,1.55,1.55,1.55,2000,1.55
2013-08-28,1.49,1.49,1.48,1.49,11300,1.49
2013-08-27,1.51,1.51,1.49,1.50,1100,1.50
2013-08-26,1.55,1.55,1.51,1.51,1100,1.51
2013-08-23,1.49,1.51,1.49,1.51,4000,1.51
2013-08-22,1.50,1.50,1.45,1.48,6000,1.48
2013-08-21,1.51,1.51,1.51,1.51,1100,1.51
2013-08-20,1.56,1.56,1.50,1.50,8500,1.50
2013-08-19,1.54,1.54,1.52,1.52,5200,1.52
2013-08-16,1.54,1.58,1.54,1.58,800,1.58
2013-08-15,1.60,1.60,1.60,1.60,000,1.60
2013-08-14,1.60,1.60,1.60,1.60,000,1.60
2013-08-13,1.58,1.62,1.54,1.60,3600,1.60
2013-08-12,1.61,1.61,1.61,1.61,1200,1.61
2013-08-09,1.55,1.58,1.55,1.58,2200,1.58
2013-08-08,1.56,1.56,1.56,1.56,000,1.56
2013-08-07,1.56,1.56,1.56,1.56,000,1.56
2013-08-06,1.56,1.56,1.56,1.56,000,1.56
2013-08-05,1.56,1.56,1.56,1.56,100,1.56
2013-08-02,1.55,1.62,1.55,1.62,4100,1.62
2013-08-01,1.57,1.57,1.57,1.57,000,1.57
2013-07-31,1.57,1.57,1.57,1.57,800,1.57
2013-07-30,1.57,1.57,1.57,1.57,2000,1.57
2013-07-29,1.57,1.60,1.57,1.60,400,1.60
2013-07-26,1.57,1.57,1.57,1.57,100,1.57
2013-07-25,1.58,1.58,1.58,1.58,000,1.58
2013-07-24,1.58,1.58,1.58,1.58,900,1.58
2013-07-23,1.58,1.61,1.58,1.61,3100,1.61
2013-07-22,1.62,1.62,1.60,1.60,1400,1.60
2013-07-19,1.61,1.63,1.61,1.63,5100,1.63
2013-07-18,1.56,1.56,1.56,1.56,100,1.56
2013-07-17,1.56,1.56,1.56,1.56,000,1.56
2013-07-16,1.56,1.56,1.56,1.56,100,1.56
2013-07-15,1.56,1.56,1.56,1.56,3300,1.56
2013-07-12,1.56,1.56,1.56,1.56,500,1.56
2013-07-11,1.57,1.57,1.57,1.57,500,1.57
2013-07-10,1.53,1.53,1.53,1.53,000,1.53
2013-07-09,1.53,1.53,1.53,1.53,000,1.53
2013-07-08,1.53,1.53,1.53,1.53,1000,1.53
2013-07-05,1.55,1.55,1.55,1.55,000,1.55
2013-07-04,1.55,1.55,1.55,1.55,100,1.55
2013-07-03,1.52,1.53,1.52,1.53,2600,1.53
2013-07-02,1.54,1.54,1.54,1.54,600,1.54
2013-07-01,1.50,1.55,1.50,1.53,1900,1.53
2013-06-28,1.54,1.54,1.54,1.54,000,1.54
2013-06-27,1.55,1.55,1.54,1.54,1400,1.54
2013-06-26,1.55,1.59,1.55,1.59,1000,1.59
2013-06-25,1.55,1.55,1.55,1.55,1000,1.55
2013-06-24,1.56,1.56,1.56,1.56,000,1.56
2013-06-21,1.56,1.56,1.56,1.56,1000,1.56
2013-06-20,1.57,1.57,1.55,1.55,600,1.55
2013-06-19,1.62,1.62,1.62,1.62,100,1.62
2013-06-18,1.67,1.67,1.67,1.67,800,1.67
2013-06-17,1.67,1.67,1.67,1.67,1000,1.67
2013-06-14,1.65,1.65,1.65,1.65,000,1.65
2013-06-13,1.65,1.65,1.65,1.65,000,1.65
2013-06-12,1.65,1.65,1.65,1.65,7900,1.65
2013-06-11,1.65,1.65,1.65,1.65,3500,1.65
2013-06-10,1.66,1.66,1.66,1.66,000,1.66
2013-06-07,1.65,1.66,1.65,1.66,7800,1.66
2013-06-06,1.65,1.65,1.65,1.65,1300,1.65
2013-06-05,1.65,1.67,1.65,1.67,200,1.67
2013-06-04,1.65,1.65,1.65,1.65,3800,1.65
2013-06-03,1.65,1.67,1.65,1.65,2200,1.65
2013-05-31,1.65,1.65,1.65,1.65,000,1.65
2013-05-30,1.65,1.65,1.65,1.65,4700,1.65
2013-05-29,1.65,1.65,1.65,1.65,3600,1.65
2013-05-28,1.65,1.65,1.65,1.65,000,1.65
2013-05-27,1.65,1.65,1.65,1.65,2900,1.65
2013-05-24,1.65,1.65,1.65,1.65,11900,1.65
2013-05-23,1.65,1.65,1.65,1.65,7400,1.65
2013-05-22,1.68,1.68,1.65,1.65,6700,1.65
2013-05-21,1.65,1.65,1.65,1.65,15400,1.65
2013-05-20,1.65,1.65,1.65,1.65,200,1.65
2013-05-17,1.68,1.68,1.65,1.65,6700,1.65
2013-05-16,1.68,1.68,1.65,1.65,4500,1.65
2013-05-15,1.66,1.66,1.65,1.65,9700,1.65
2013-05-14,1.66,1.66,1.65,1.65,8300,1.65
2013-05-13,1.65,1.65,1.65,1.65,1800,1.65
2013-05-10,1.62,1.66,1.62,1.63,10000,1.63
2013-05-09,1.62,1.62,1.62,1.62,000,1.62
2013-05-08,1.62,1.62,1.62,1.62,500,1.62
2013-05-07,1.61,1.62,1.61,1.62,8100,1.62
2013-05-06,1.53,1.58,1.53,1.58,1500,1.58
2013-05-03,1.61,1.61,1.54,1.54,1200,1.54
2013-05-02,1.53,1.59,1.53,1.59,1000,1.59
2013-05-01,1.55,1.55,1.55,1.55,000,1.55
2013-04-30,1.55,1.55,1.55,1.55,1300,1.55
2013-04-29,1.64,1.64,1.56,1.56,1600,1.56
2013-04-26,1.61,1.61,1.61,1.61,200,1.61
2013-04-25,1.61,1.61,1.61,1.61,2800,1.61
2013-04-24,1.60,1.62,1.60,1.61,3600,1.61
2013-04-23,1.55,1.60,1.55,1.60,12500,1.60
2013-04-22,1.55,1.55,1.48,1.50,11700,1.50
2013-04-19,1.62,1.62,1.62,1.62,000,1.62
2013-04-18,1.65,1.65,1.62,1.62,8100,1.62
2013-04-17,1.65,1.65,1.65,1.65,500,1.65
2013-04-16,1.65,1.65,1.65,1.65,900,1.65
2013-04-15,1.67,1.67,1.67,1.67,000,1.67
2013-04-12,1.65,1.67,1.65,1.67,300,1.67
2013-04-11,1.65,1.67,1.65,1.67,18300,1.67
2013-04-10,1.66,1.69,1.60,1.61,35900,1.61
2013-04-09,1.71,1.71,1.71,1.71,1500,1.71
2013-04-08,1.66,1.76,1.66,1.76,2200,1.76
2013-04-05,1.66,1.73,1.66,1.73,700,1.73
2013-04-04,1.66,1.76,1.66,1.76,200,1.76
2013-04-03,1.76,1.76,1.76,1.76,000,1.76
2013-04-02,1.76,1.76,1.76,1.76,100,1.76
2013-04-01,1.73,1.73,1.73,1.73,000,1.73
2013-03-29,1.73,1.73,1.73,1.73,000,1.73
2013-03-28,1.76,1.76,1.65,1.73,800,1.73
2013-03-27,1.63,1.76,1.63,1.76,700,1.76
2013-03-26,1.76,1.76,1.76,1.76,100,1.76
2013-03-25,1.70,1.70,1.70,1.70,600,1.70
2013-03-22,1.72,1.76,1.72,1.76,400,1.76
2013-03-21,1.76,1.76,1.72,1.72,900,1.72
2013-03-20,1.75,1.75,1.75,1.75,9600,1.75
2013-03-19,1.70,1.75,1.70,1.75,500,1.75
2013-03-18,1.74,1.74,1.74,1.74,6400,1.74
2013-03-15,1.80,1.80,1.80,1.80,100,1.80
2013-03-14,1.80,1.80,1.70,1.78,1200,1.78
2013-03-13,1.75,1.75,1.75,1.75,2700,1.75
2013-03-12,1.78,1.78,1.70,1.70,100,1.70
2013-03-11,1.76,1.76,1.73,1.76,100,1.76
2013-03-08,1.70,1.74,1.69,1.74,40600,1.74
2013-03-07,1.73,1.75,1.70,1.74,12200,1.74
2013-03-06,1.75,1.75,1.70,1.70,300,1.70
2013-03-05,1.69,1.74,1.69,1.74,24500,1.74
2013-03-04,1.61,1.69,1.61,1.69,1200,1.69
2013-03-01,1.59,1.71,1.59,1.71,4900,1.71
2013-02-28,1.65,1.65,1.65,1.65,1400,1.65
2013-02-27,1.66,1.66,1.66,1.66,100,1.66
2013-02-26,1.68,1.68,1.68,1.68,400,1.68
2013-02-25,1.77,1.77,1.77,1.77,100,1.77
2013-02-22,1.65,1.75,1.65,1.74,29700,1.74
2013-02-21,1.65,1.73,1.65,1.70,2000,1.70
2013-02-20,1.73,1.73,1.65,1.70,1300,1.70
2013-02-19,1.70,1.73,1.70,1.73,3500,1.73
2013-02-18,1.72,1.72,1.72,1.72,600,1.72
2013-02-15,1.70,1.70,1.65,1.70,11000,1.70
2013-02-14,1.73,1.73,1.73,1.73,000,1.73
2013-02-13,1.65,1.70,1.62,1.70,28800,1.70
2013-02-12,1.58,1.58,1.58,1.58,500,1.58
2013-02-11,1.60,1.60,1.60,1.60,100,1.60
2013-02-08,1.51,1.65,1.51,1.65,28300,1.65
2013-02-07,1.59,1.59,1.50,1.52,4800,1.52
2013-02-06,1.58,1.58,1.58,1.58,000,1.58
2013-02-05,1.60,1.60,1.55,1.55,11900,1.55
2013-02-04,1.60,1.60,1.60,1.60,000,1.60
2013-02-01,1.59,1.59,1.59,1.59,3900,1.59
2013-01-31,1.59,1.64,1.59,1.64,100,1.64
2013-01-30,1.66,1.66,1.59,1.66,100,1.66
