Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,5.92,6.10,5.78,6.09,62400,6.09
2013-09-26,6.00,6.07,6.00,6.07,3000,6.07
2013-09-25,6.00,6.04,5.96,6.00,43400,6.00
2013-09-24,6.28,6.30,5.97,6.01,17600,6.01
2013-09-23,6.30,6.35,6.00,6.35,34000,6.35
2013-09-20,6.09,6.38,5.82,6.26,108400,6.26
2013-09-19,6.06,6.32,6.05,6.23,76500,6.23
2013-09-18,5.99,6.07,5.97,6.02,60800,6.02
2013-09-17,5.64,5.95,5.64,5.90,39800,5.90
2013-09-16,5.85,5.92,5.69,5.84,49300,5.84
2013-09-13,5.65,5.88,5.65,5.84,63800,5.84
2013-09-12,5.60,5.80,5.60,5.78,23600,5.78
2013-09-11,5.62,5.80,5.51,5.75,39800,5.75
2013-09-10,5.52,5.76,5.51,5.65,35800,5.65
2013-09-09,5.38,5.54,5.17,5.54,40000,5.54
2013-09-06,5.06,5.47,5.00,5.35,42700,5.35
2013-09-05,4.80,5.29,4.80,5.19,64700,5.19
2013-09-04,4.65,5.00,4.65,4.78,19600,4.78
2013-09-03,4.66,4.82,4.55,4.80,35900,4.80
2013-08-30,4.63,4.81,4.54,4.81,22700,4.81
2013-08-29,4.47,4.60,4.46,4.57,40200,4.57
2013-08-28,4.63,4.74,4.59,4.60,11100,4.60
2013-08-27,4.63,4.79,4.63,4.64,14100,4.64
2013-08-26,4.84,4.87,4.65,4.81,70200,4.81
2013-08-23,5.03,5.03,4.92,4.98,18700,4.98
2013-08-22,5.66,5.93,4.80,4.97,119200,4.97
2013-08-21,5.43,5.48,5.26,5.35,71500,5.35
2013-08-20,6.09,6.16,5.21,5.54,82700,5.54
2013-08-19,6.22,6.36,5.94,5.99,64900,5.99
2013-08-16,6.10,6.10,5.82,6.05,38000,6.05
2013-08-15,6.11,6.80,5.54,6.21,141000,6.21
2013-08-14,5.95,6.98,5.79,6.82,361100,6.82
2013-08-13,5.17,5.95,5.17,5.89,199700,5.89
2013-08-12,5.04,5.09,4.98,5.04,19300,5.04
2013-08-09,5.10,5.17,5.05,5.17,16600,5.17
2013-08-08,4.77,5.09,4.77,5.06,16100,5.06
2013-08-07,5.02,5.09,5.00,5.03,8700,5.03
2013-08-06,5.00,5.16,4.98,5.00,6900,5.00
2013-08-05,4.98,5.13,4.97,5.02,52600,5.02
2013-08-02,5.03,5.19,4.87,4.94,63100,4.94
2013-08-01,4.75,5.10,4.75,5.10,53200,5.10
2013-07-31,4.77,4.83,4.63,4.63,17600,4.63
2013-07-30,4.65,4.82,4.52,4.75,19800,4.75
2013-07-29,4.49,4.74,4.48,4.65,38400,4.65
2013-07-26,4.46,4.59,4.35,4.35,58600,4.35
2013-07-25,4.40,4.49,4.26,4.39,38100,4.39
2013-07-24,4.46,4.46,4.34,4.35,18000,4.35
2013-07-23,4.20,4.37,4.20,4.35,9800,4.35
2013-07-22,4.21,4.21,4.21,4.21,200,4.21
2013-07-19,4.32,4.47,4.26,4.26,18900,4.26
2013-07-18,4.25,4.30,4.11,4.28,21100,4.28
2013-07-17,4.32,4.35,4.27,4.29,12300,4.29
2013-07-16,4.35,4.38,4.30,4.36,17900,4.36
2013-07-15,4.13,4.32,4.12,4.32,17300,4.32
2013-07-12,4.15,4.20,4.12,4.14,8000,4.14
2013-07-11,4.09,4.11,4.08,4.11,2600,4.11
2013-07-10,4.15,4.15,4.08,4.12,17400,4.12
2013-07-09,4.02,4.15,4.02,4.15,9800,4.15
2013-07-08,4.70,4.70,3.92,4.02,71400,4.02
2013-07-05,4.77,4.77,4.77,4.77,1000,4.77
2013-07-03,4.75,4.77,4.75,4.77,900,4.77
2013-07-02,4.75,4.76,4.71,4.71,4500,4.71
2013-07-01,4.61,4.74,4.60,4.73,7700,4.73
2013-06-28,4.50,4.64,4.50,4.64,11900,4.64
2013-06-27,4.69,4.78,4.51,4.57,28800,4.57
2013-06-26,4.92,4.93,4.81,4.81,3900,4.81
2013-06-25,5.00,5.00,4.86,4.87,12600,4.87
2013-06-24,4.99,5.08,4.93,5.08,64800,5.08
2013-06-21,4.71,5.10,4.71,5.00,52200,5.00
2013-06-20,4.80,4.98,4.74,4.96,104500,4.96
2013-06-19,4.50,4.80,4.43,4.80,66700,4.80
2013-06-18,4.42,4.58,4.42,4.53,19200,4.53
2013-06-17,4.21,4.54,4.00,4.54,84100,4.54
2013-06-14,3.97,4.35,3.97,4.30,77800,4.30
