Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.00,0.00,0.00,0.00,160000,0.00
2013-09-26,0.00,0.00,0.00,0.00,144700,0.00
2013-09-25,0.00,0.00,0.00,0.00,80000,0.00
2013-09-24,0.00,0.00,0.00,0.00,2100,0.00
2013-09-23,0.00,0.00,0.00,0.00,4300,0.00
2013-09-20,0.00,0.00,0.00,0.00,000,0.00
2013-09-19,0.00,0.00,0.00,0.00,50800,0.00
2013-09-18,0.00,0.00,0.00,0.00,50000,0.00
2013-09-17,0.00,0.00,0.00,0.00,300,0.00
2013-09-16,0.00,0.00,0.00,0.00,748000,0.00
2013-09-13,0.00,0.00,0.00,0.00,55400,0.00
2013-09-12,0.00,0.00,0.00,0.00,241700,0.00
2013-09-11,0.00,0.00,0.00,0.00,000,0.00
2013-09-10,0.00,0.00,0.00,0.00,241200,0.00
2013-09-09,0.00,0.00,0.00,0.00,000,0.00
2013-09-06,0.00,0.00,0.00,0.00,000,0.00
2013-09-05,0.00,0.00,0.00,0.00,458700,0.00
2013-09-04,0.00,0.00,0.00,0.00,000,0.00
2013-09-03,0.00,0.00,0.00,0.00,000,0.00
2013-09-02,0.00,0.00,0.00,0.00,000,0.00
2013-08-30,0.00,0.00,0.00,0.00,330600,0.00
2013-08-29,0.00,0.00,0.00,0.00,46500,0.00
2013-08-28,0.00,0.00,0.00,0.00,800,0.00
2013-08-27,0.00,0.00,0.00,0.00,40400,0.00
2013-08-26,0.00,0.00,0.00,0.00,000,0.00
2013-08-23,0.00,0.00,0.00,0.00,47000,0.00
2013-08-22,0.00,0.00,0.00,0.00,200,0.00
2013-08-21,0.00,0.00,0.00,0.00,6000,0.00
2013-08-20,0.00,0.00,0.00,0.00,000,0.00
2013-08-19,0.00,0.00,0.00,0.00,281200,0.00
2013-08-16,0.00,0.00,0.00,0.00,000,0.00
2013-08-15,0.00,0.00,0.00,0.00,200000,0.00
2013-08-14,0.00,0.00,0.00,0.00,1000,0.00
2013-08-13,0.00,0.00,0.00,0.00,10300,0.00
2013-08-12,0.00,0.00,0.00,0.00,215100,0.00
2013-08-09,0.00,0.00,0.00,0.00,977100,0.00
2013-08-08,0.00,0.00,0.00,0.00,4400,0.00
2013-08-07,0.00,0.00,0.00,0.00,000,0.00
2013-08-06,0.00,0.00,0.00,0.00,000,0.00
2013-08-05,0.00,0.00,0.00,0.00,000,0.00
2013-08-02,0.00,0.00,0.00,0.00,200,0.00
2013-08-01,0.00,0.00,0.00,0.00,334100,0.00
2013-07-31,0.00,0.00,0.00,0.00,100,0.00
2013-07-30,0.00,0.00,0.00,0.00,000,0.00
2013-07-29,0.00,0.00,0.00,0.00,7600,0.00
2013-07-26,0.00,0.00,0.00,0.00,2000,0.00
2013-07-25,0.00,0.00,0.00,0.00,18500,0.00
2013-07-24,0.00,0.00,0.00,0.00,5300,0.00
2013-07-23,0.00,0.00,0.00,0.00,2400,0.00
2013-07-22,0.00,0.00,0.00,0.00,3600,0.00
2013-07-19,0.00,0.00,0.00,0.00,000,0.00
2013-07-18,0.00,0.00,0.00,0.00,000,0.00
2013-07-17,0.00,0.00,0.00,0.00,29400,0.00
