Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,75.00,76.09,74.10,75.85,1048800,75.85
2013-09-26,74.99,75.89,74.58,75.30,883800,75.30
2013-09-25,75.29,75.92,74.06,74.78,1245500,74.78
2013-09-24,74.15,75.74,73.12,75.30,1212700,75.30
2013-09-23,77.00,78.17,73.54,74.30,2376600,74.30
2013-09-20,74.27,79.08,74.25,75.12,4442400,75.12
2013-09-19,74.32,75.00,73.14,74.27,1196300,74.27
2013-09-18,73.14,74.61,72.50,73.92,1645500,73.92
2013-09-17,73.40,73.46,72.11,72.93,853600,72.93
2013-09-16,73.83,74.16,72.56,72.60,745800,72.60
2013-09-13,74.37,74.37,72.42,72.82,1291000,72.82
2013-09-12,73.93,75.90,73.85,74.49,1258000,74.49
2013-09-11,72.53,74.40,72.42,73.79,1645600,73.79
2013-09-10,74.25,74.64,72.25,72.62,2319300,72.62
2013-09-09,74.53,75.20,74.29,74.50,1198700,74.50
2013-09-06,74.96,75.47,73.05,74.11,1012000,74.11
2013-09-05,74.61,75.73,74.17,74.67,1000800,74.67
2013-09-04,74.02,74.96,73.32,74.74,602600,74.74
2013-09-03,74.90,75.31,72.76,73.82,1132500,73.82
2013-08-30,74.64,74.67,72.60,73.97,1054000,73.97
2013-08-29,72.32,74.61,71.28,74.18,1009100,74.18
2013-08-28,71.51,73.16,71.16,72.52,1119500,72.52
2013-08-27,71.21,71.78,70.60,71.08,1403400,71.08
2013-08-26,71.72,72.64,71.50,72.25,1137200,72.25
2013-08-23,71.65,72.62,70.91,71.87,1225200,71.87
2013-08-22,70.39,71.43,70.00,71.21,869700,71.21
2013-08-21,69.49,71.25,69.42,70.20,1022100,70.20
2013-08-20,69.36,70.20,68.84,69.81,1230000,69.81
2013-08-19,71.15,72.29,69.22,69.26,1408300,69.26
2013-08-16,70.29,72.48,69.19,70.99,2405000,70.99
2013-08-15,71.53,72.16,69.56,70.52,4459600,70.52
2013-08-14,80.61,81.99,72.88,73.55,6889900,73.55
2013-08-13,81.50,81.70,79.68,80.96,933200,80.96
2013-08-12,80.76,82.19,80.03,81.26,1113800,81.26
2013-08-09,80.90,81.49,80.01,80.94,1429000,80.94
2013-08-08,78.55,80.54,78.48,79.71,1081300,79.71
2013-08-07,78.89,78.99,76.33,77.99,1352900,77.99
2013-08-06,78.20,80.69,77.43,79.28,2520200,79.28
2013-08-05,75.96,78.04,75.83,78.01,1008500,78.01
2013-08-02,75.90,76.27,74.92,75.79,1053300,75.79
2013-08-01,75.78,76.93,75.14,75.89,1193400,75.89
2013-07-31,73.71,76.20,73.59,75.02,1814400,75.02
2013-07-30,73.94,74.66,73.27,73.27,1014200,73.27
2013-07-29,73.49,74.74,72.01,73.29,1308600,73.29
2013-07-26,70.46,74.86,70.46,73.95,2980500,73.95
2013-07-25,69.88,72.26,68.71,71.10,5496900,71.10
2013-07-24,60.60,62.15,60.41,61.14,2704000,61.14
2013-07-23,60.98,61.29,60.03,60.66,1400000,60.66
2013-07-22,61.11,61.27,60.27,60.65,1283900,60.65
2013-07-19,62.37,62.39,60.25,60.62,1249000,60.62
2013-07-18,61.61,62.97,61.50,62.27,1269600,62.27
2013-07-17,60.94,61.34,60.20,61.09,1037200,61.09
2013-07-16,60.67,60.95,59.85,60.62,1416200,60.62
2013-07-15,61.35,61.35,60.09,60.45,807800,60.45
2013-07-12,60.33,61.49,60.11,61.05,1265400,61.05
2013-07-11,62.34,62.56,59.74,60.44,2705300,60.44
2013-07-10,62.74,63.01,60.52,61.93,1746900,61.93
2013-07-09,63.54,63.75,62.24,62.74,1302200,62.74
2013-07-08,62.00,63.47,61.88,63.16,2060600,63.16
2013-07-05,60.85,61.74,60.37,61.70,1602300,61.70
2013-07-03,59.61,60.85,59.54,60.79,1203400,60.79
2013-07-02,60.91,61.13,60.00,60.23,1817200,60.23
2013-07-01,61.45,61.78,60.11,61.07,2544100,61.07
2013-06-28,60.76,61.56,60.47,60.87,4314600,60.87
2013-06-27,62.17,62.72,60.55,60.84,2360100,60.84
2013-06-26,62.35,63.02,60.76,61.91,2344800,61.91
2013-06-25,61.12,61.83,60.79,61.53,926900,61.53
2013-06-24,59.48,61.23,58.74,60.68,1454700,60.68
2013-06-21,61.86,62.29,60.10,60.28,2821800,60.28
2013-06-20,62.70,63.69,61.32,61.52,1496600,61.52
2013-06-19,63.41,64.85,63.37,63.77,973200,63.77
2013-06-18,64.19,65.20,63.72,63.85,1659700,63.85
2013-06-17,64.18,65.04,63.60,64.36,2113900,64.36
2013-06-14,64.38,64.84,63.67,63.75,1244100,63.75
2013-06-13,63.59,64.54,63.20,64.51,1208100,64.51
2013-06-12,64.48,64.82,63.18,63.18,1419100,63.18
2013-06-11,63.95,65.10,63.42,63.86,907900,63.86
2013-06-10,64.17,64.49,63.57,64.31,932000,64.31
2013-06-07,62.62,64.17,62.40,64.05,1090300,64.05
2013-06-06,61.71,62.03,60.73,62.03,1486300,62.03
2013-06-05,62.18,62.69,61.25,61.52,1026700,61.52
2013-06-04,62.43,63.91,61.81,62.19,2868300,62.19
2013-06-03,63.15,63.73,60.93,62.06,4068800,62.06
2013-05-31,63.92,65.41,63.76,64.49,6723400,64.49
2013-05-30,63.77,64.10,63.14,63.99,1248400,63.99
2013-05-29,63.97,64.90,63.12,63.56,1783600,63.56
2013-05-28,62.57,64.37,62.01,64.30,2532800,64.30
2013-05-24,61.73,62.02,60.80,61.69,1454600,61.69
2013-05-23,61.06,62.55,59.07,62.06,1479600,62.06
2013-05-22,62.26,63.57,61.00,61.51,2051300,61.51
2013-05-21,62.70,63.22,61.89,62.34,1773600,62.34
2013-05-20,60.07,63.01,59.90,62.63,3039500,62.63
2013-05-17,59.64,60.48,59.25,59.88,2675400,59.88
2013-05-16,59.53,60.39,58.65,59.03,2265700,59.03
2013-05-15,58.00,60.26,57.91,59.36,2893500,59.36
2013-05-14,55.04,58.38,54.81,58.01,3802200,58.01
2013-05-13,53.68,55.31,53.29,54.79,1785500,54.79
2013-05-10,52.19,54.30,52.15,53.84,2088300,53.84
2013-05-09,52.58,53.10,51.76,51.99,2300900,51.99
2013-05-08,53.34,54.57,51.72,52.49,4386200,52.49
2013-05-07,55.94,56.80,54.07,55.01,2896000,55.01
2013-05-06,55.26,55.55,54.83,55.17,1972600,55.17
2013-05-03,54.21,55.64,54.00,55.30,2378100,55.30
2013-05-02,51.90,53.54,51.90,53.51,1271900,53.51
2013-05-01,52.53,53.00,51.88,52.11,1115600,52.11
2013-04-30,53.07,53.50,52.38,52.58,1842600,52.58
2013-04-29,53.69,54.00,52.25,53.07,1898200,53.07
2013-04-26,53.75,54.80,52.83,53.72,3038000,53.72
2013-04-25,51.33,53.39,51.30,53.01,2121800,53.01
2013-04-24,52.11,52.61,51.00,51.34,1115500,51.34
2013-04-23,51.41,52.55,51.37,52.30,789600,52.30
2013-04-22,51.29,51.55,50.34,51.09,742900,51.09
2013-04-19,51.23,51.82,50.62,51.09,779400,51.09
2013-04-18,52.19,52.45,50.95,51.35,1214400,51.35
2013-04-17,52.14,52.54,51.08,52.17,1698500,52.17
2013-04-16,51.90,52.97,51.85,52.94,1565600,52.94
2013-04-15,52.82,53.50,51.10,51.56,3201700,51.56
2013-04-12,51.85,52.69,51.60,52.49,1101900,52.49
2013-04-11,50.18,52.35,50.11,51.89,1987700,51.89
2013-04-10,48.66,50.18,48.41,50.07,2281300,50.07
2013-04-09,48.70,49.04,48.18,48.29,1314600,48.29
2013-04-08,48.86,49.48,48.27,48.68,1272600,48.68
2013-04-05,49.03,49.51,48.29,48.88,1439900,48.88
2013-04-04,48.87,49.80,48.65,49.52,1364800,49.52
