Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,2.18,2.18,2.09,2.09,40600,2.09
2013-09-26,2.12,2.14,2.09,2.10,59100,2.10
2013-09-25,2.12,2.14,2.07,2.11,83200,2.11
2013-09-24,2.10,2.14,2.08,2.08,75200,2.08
2013-09-23,2.15,2.17,2.04,2.08,149000,2.08
2013-09-20,2.10,2.24,2.00,2.00,146500,2.00
2013-09-19,2.07,2.12,2.07,2.10,27700,2.10
2013-09-18,2.13,2.15,2.05,2.11,64800,2.11
2013-09-17,2.15,2.19,2.13,2.14,45900,2.14
2013-09-16,2.16,2.19,2.15,2.15,25700,2.15
2013-09-13,2.15,2.20,2.15,2.15,12500,2.15
2013-09-12,2.15,2.19,2.14,2.18,47200,2.18
2013-09-11,2.18,2.20,2.16,2.17,15000,2.17
2013-09-10,2.22,2.22,2.18,2.18,20900,2.18
2013-09-09,2.23,2.24,2.18,2.18,15700,2.18
2013-09-06,2.17,2.21,2.12,2.20,54200,2.20
2013-09-05,2.25,2.25,2.15,2.16,23100,2.16
2013-09-04,2.20,2.21,2.15,2.19,42100,2.19
2013-09-03,2.20,2.23,2.18,2.20,20700,2.20
2013-08-30,2.19,2.20,2.15,2.20,14600,2.20
2013-08-29,2.19,2.19,2.17,2.18,9800,2.18
2013-08-28,2.20,2.20,2.12,2.17,64700,2.17
2013-08-27,2.25,2.25,2.17,2.20,74100,2.20
2013-08-26,2.25,2.29,2.18,2.27,38200,2.27
2013-08-23,2.30,2.33,2.25,2.28,32500,2.28
2013-08-22,2.23,2.30,2.22,2.30,60400,2.30
2013-08-21,2.21,2.26,2.18,2.22,100100,2.22
2013-08-20,2.25,2.27,2.23,2.25,34700,2.25
2013-08-19,2.23,2.25,2.23,2.23,49800,2.23
2013-08-16,2.22,2.25,2.15,2.21,41000,2.21
2013-08-15,2.08,2.25,2.08,2.23,63100,2.23
2013-08-14,2.25,2.30,2.15,2.23,42100,2.23
2013-08-13,2.26,2.30,2.13,2.28,97900,2.28
2013-08-12,2.29,2.29,2.22,2.23,69700,2.23
2013-08-09,2.17,2.29,2.15,2.29,184000,2.29
2013-08-08,2.15,2.15,2.11,2.15,34700,2.15
2013-08-07,2.10,2.19,2.09,2.11,28600,2.11
2013-08-06,2.17,2.17,2.10,2.10,85600,2.10
2013-08-05,2.19,2.19,2.06,2.17,91500,2.17
2013-08-02,2.07,2.15,2.02,2.14,84200,2.14
2013-08-01,2.06,2.10,2.02,2.05,70900,2.05
2013-07-31,2.00,2.05,1.97,2.01,91800,2.01
2013-07-30,2.01,2.06,1.96,1.96,46000,1.96
2013-07-29,2.01,2.04,1.97,2.03,60600,2.03
2013-07-26,1.99,2.01,1.97,1.99,25900,1.99
2013-07-25,2.01,2.02,1.95,1.98,69000,1.98
2013-07-24,2.00,2.02,1.94,2.02,82900,2.02
2013-07-23,1.95,2.05,1.91,1.96,204300,1.96
2013-07-22,1.89,1.95,1.88,1.94,72700,1.94
2013-07-19,1.90,1.90,1.88,1.88,14600,1.88
2013-07-18,1.86,1.90,1.86,1.88,31100,1.88
2013-07-17,1.90,1.92,1.83,1.90,47800,1.90
2013-07-16,1.85,1.90,1.82,1.89,34900,1.89
2013-07-15,1.86,1.90,1.85,1.85,10200,1.85
2013-07-12,1.87,1.90,1.86,1.90,28700,1.90
2013-07-11,1.87,1.89,1.87,1.89,24400,1.89
2013-07-10,1.83,1.87,1.83,1.87,36000,1.87
2013-07-09,1.84,1.87,1.81,1.82,27300,1.82
2013-07-08,1.85,1.86,1.82,1.83,16000,1.83
2013-07-05,1.86,1.86,1.83,1.84,9900,1.84
2013-07-03,1.85,1.86,1.82,1.86,12500,1.86
2013-07-02,1.85,1.88,1.83,1.86,27500,1.86
2013-07-01,1.85,1.88,1.81,1.88,36900,1.88
2013-06-28,1.86,1.89,1.84,1.86,40200,1.86
2013-06-27,1.87,1.88,1.85,1.85,9500,1.85
2013-06-26,1.88,1.91,1.83,1.87,7500,1.87
2013-06-25,1.87,1.87,1.82,1.86,71600,1.86
2013-06-24,1.85,1.88,1.83,1.88,32700,1.88
2013-06-21,1.94,1.95,1.85,1.85,46100,1.85
2013-06-20,1.90,1.95,1.87,1.89,12600,1.89
2013-06-19,1.94,1.94,1.87,1.89,123700,1.89
2013-06-18,1.88,1.93,1.87,1.89,45800,1.89
2013-06-17,1.87,1.89,1.85,1.88,39400,1.88
2013-06-14,1.87,1.90,1.84,1.86,18800,1.86
2013-06-13,1.88,1.88,1.85,1.85,14300,1.85
2013-06-12,1.87,1.89,1.83,1.89,42900,1.89
2013-06-11,1.89,1.90,1.86,1.87,23700,1.87
2013-06-10,1.88,1.90,1.86,1.90,18100,1.90
2013-06-07,1.91,1.91,1.86,1.90,33500,1.90
2013-06-06,1.88,1.89,1.86,1.89,9500,1.89
2013-06-05,1.90,1.92,1.86,1.87,43700,1.87
2013-06-04,1.94,1.95,1.91,1.92,32000,1.92
2013-06-03,1.95,1.99,1.89,1.95,62700,1.95
2013-05-31,2.00,2.01,1.96,1.98,36800,1.98
2013-05-30,1.99,2.00,1.96,1.98,13300,1.98
2013-05-29,1.96,1.98,1.93,1.98,59400,1.98
2013-05-28,1.96,2.00,1.92,1.95,73300,1.95
2013-05-24,1.94,1.98,1.90,1.96,34700,1.96
2013-05-23,1.90,1.95,1.88,1.94,28000,1.94
2013-05-22,1.90,1.94,1.88,1.94,32200,1.94
2013-05-21,1.86,1.90,1.83,1.90,28500,1.90
2013-05-20,1.87,1.87,1.85,1.87,23600,1.87
2013-05-17,1.87,1.88,1.85,1.86,21700,1.86
2013-05-16,1.82,1.86,1.82,1.86,27400,1.86
2013-05-15,1.85,1.87,1.85,1.85,17200,1.85
2013-05-14,1.82,1.87,1.82,1.86,32500,1.86
2013-05-13,1.86,1.88,1.82,1.85,128300,1.85
2013-05-10,1.85,1.94,1.85,1.85,66300,1.85
2013-05-09,1.88,1.93,1.88,1.91,28100,1.91
2013-05-08,1.94,1.94,1.88,1.94,44200,1.94
2013-05-07,1.94,1.94,1.89,1.92,16100,1.92
2013-05-06,1.91,1.95,1.91,1.93,33100,1.93
2013-05-03,1.95,1.95,1.89,1.91,24300,1.91
2013-05-02,1.90,1.94,1.90,1.94,48700,1.94
2013-05-01,1.91,1.91,1.87,1.90,4700,1.90
2013-04-30,1.89,1.94,1.85,1.86,59000,1.86
2013-04-29,1.94,1.94,1.88,1.93,28700,1.93
2013-04-26,1.92,1.94,1.88,1.94,36700,1.94
2013-04-25,1.89,1.91,1.84,1.88,42900,1.88
2013-04-24,1.90,1.90,1.88,1.89,6600,1.89
2013-04-23,1.92,1.92,1.86,1.89,26900,1.89
2013-04-22,1.93,1.93,1.90,1.93,558700,1.93
2013-04-19,1.90,1.91,1.90,1.91,3700,1.91
2013-04-18,1.86,1.95,1.85,1.93,73100,1.93
2013-04-17,1.93,1.93,1.88,1.88,75600,1.88
2013-04-16,1.86,1.91,1.84,1.91,25600,1.91
2013-04-15,1.89,1.90,1.84,1.86,83800,1.86
2013-04-12,1.87,1.92,1.85,1.91,42700,1.91
2013-04-11,1.85,1.95,1.82,1.90,31800,1.90
2013-04-10,1.92,1.92,1.85,1.85,9900,1.85
2013-04-09,1.89,1.93,1.86,1.89,18600,1.89
2013-04-08,1.85,1.94,1.85,1.90,69000,1.90
2013-04-05,1.92,1.92,1.88,1.89,16200,1.89
2013-04-04,1.90,1.92,1.88,1.90,28900,1.90
2013-04-03,1.85,1.91,1.85,1.89,29700,1.89
2013-04-02,1.81,1.92,1.78,1.89,38200,1.89
2013-04-01,1.92,1.95,1.86,1.92,50900,1.92
2013-03-28,1.91,1.93,1.85,1.91,36400,1.91
2013-03-27,1.94,1.94,1.89,1.91,11500,1.91
2013-03-26,1.88,1.92,1.82,1.92,16300,1.92
2013-03-25,1.91,1.92,1.87,1.90,81600,1.90
2013-03-22,1.93,1.94,1.86,1.93,31600,1.93
2013-03-21,1.90,1.94,1.86,1.93,159000,1.93
2013-03-20,1.90,1.90,1.86,1.86,60400,1.86
2013-03-19,1.88,1.91,1.87,1.91,48000,1.91
2013-03-18,1.79,1.89,1.77,1.89,290300,1.89
2013-03-15,1.87,1.90,1.77,1.77,259000,1.77
2013-03-14,1.85,1.91,1.83,1.90,59500,1.90
2013-03-13,1.81,1.84,1.81,1.84,29700,1.84
2013-03-12,1.82,1.85,1.82,1.85,20000,1.85
2013-03-11,1.92,1.92,1.82,1.82,101400,1.82
2013-03-08,1.92,1.94,1.86,1.89,35800,1.89
2013-03-07,1.85,1.94,1.83,1.91,83100,1.91
2013-03-06,1.84,1.86,1.82,1.85,28500,1.85
2013-03-05,1.80,1.85,1.80,1.83,21000,1.83
2013-03-04,1.86,1.86,1.80,1.82,67300,1.82
2013-03-01,1.85,1.89,1.82,1.85,79800,1.85
2013-02-28,1.89,1.90,1.82,1.85,73900,1.85
2013-02-27,1.82,1.90,1.82,1.90,43900,1.90
2013-02-26,1.82,1.89,1.81,1.86,123300,1.86
2013-02-25,1.84,1.88,1.80,1.86,58000,1.86
2013-02-22,1.79,1.90,1.77,1.87,131200,1.87
2013-02-21,1.76,1.79,1.74,1.77,97200,1.77
2013-02-20,1.78,1.80,1.75,1.79,141200,1.79
2013-02-19,1.83,1.83,1.76,1.79,93100,1.79
2013-02-15,1.75,1.80,1.75,1.80,106100,1.80
2013-02-14,1.67,1.77,1.65,1.71,150200,1.71
2013-02-13,1.66,1.68,1.65,1.68,38200,1.68
2013-02-12,1.70,1.70,1.63,1.64,113900,1.64
2013-02-11,1.70,1.75,1.66,1.72,60500,1.72
2013-02-08,1.67,1.67,1.66,1.66,16800,1.66
2013-02-07,1.74,1.74,1.67,1.70,16000,1.70
2013-02-06,1.68,1.77,1.68,1.70,253600,1.70
2013-02-05,1.70,1.72,1.66,1.68,32800,1.68
2013-02-04,1.69,1.72,1.66,1.66,59400,1.66
2013-02-01,1.63,1.70,1.63,1.70,320000,1.70
2013-01-31,1.63,1.63,1.62,1.63,15200,1.63
2013-01-30,1.60,1.63,1.60,1.63,13700,1.63
2013-01-29,1.62,1.63,1.62,1.63,9500,1.63
2013-01-28,1.62,1.64,1.62,1.62,15600,1.62
