Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,15.30,15.30,15.30,15.30,000,15.30
2013-09-26,15.30,15.30,15.30,15.30,000,15.30
2013-09-25,14.96,15.10,14.96,15.10,300,15.10
2013-09-24,15.10,15.40,15.10,15.40,000,15.40
2013-09-23,15.30,15.30,15.30,15.30,000,15.30
2013-09-20,15.25,15.25,15.25,15.25,000,15.25
2013-09-19,15.19,15.25,15.05,15.25,100,15.25
2013-09-18,15.01,15.01,15.00,15.00,100,15.00
2013-09-17,15.10,15.40,15.05,15.40,1000,15.40
2013-09-16,14.80,15.35,14.80,15.35,900,15.35
2013-09-13,14.56,14.56,14.56,14.56,000,14.56
2013-09-12,14.56,14.56,14.56,14.56,100,14.56
2013-09-11,14.85,14.85,14.85,14.85,000,14.85
2013-09-10,14.60,14.60,14.60,14.60,000,14.60
2013-09-09,14.60,14.60,14.60,14.60,600,14.60
2013-09-06,14.51,15.00,14.50,14.60,1700,14.60
2013-09-05,14.50,14.50,14.50,14.50,000,14.50
2013-09-04,14.50,14.50,14.50,14.50,700,14.50
2013-09-03,14.35,14.45,13.90,14.45,2200,14.45
2013-09-02,14.40,14.55,14.31,14.55,900,14.55
2013-08-30,14.20,14.65,14.20,14.65,2000,14.65
2013-08-29,14.10,14.10,14.10,14.10,000,14.10
2013-08-28,14.01,14.10,14.01,14.10,000,14.10
2013-08-27,14.40,14.40,14.40,14.40,000,14.40
2013-08-26,14.10,14.10,14.10,14.10,000,14.10
2013-08-23,14.10,14.10,14.10,14.10,000,14.10
2013-08-22,14.20,14.20,14.19,14.20,900,14.20
2013-08-21,14.35,14.35,14.30,14.30,000,14.30
2013-08-20,14.41,14.41,14.25,14.25,000,14.25
2013-08-19,14.65,14.65,14.49,14.49,1000,14.49
2013-08-16,14.74,14.74,14.74,14.74,000,14.74
2013-08-15,14.70,14.70,14.70,14.70,300,14.70
2013-08-14,14.65,14.80,14.65,14.80,100,14.80
2013-08-13,14.56,14.56,14.56,14.56,200,14.56
2013-08-12,14.55,14.61,14.55,14.61,400,14.61
2013-08-09,14.94,14.94,14.94,14.94,000,14.94
2013-08-08,14.65,14.65,14.65,14.65,100,14.65
2013-08-07,14.76,14.99,14.60,14.99,300,14.99
2013-08-06,14.80,15.00,14.65,15.00,100,15.00
2013-08-05,14.85,14.85,14.85,14.85,000,14.85
2013-08-02,14.70,14.70,14.68,14.68,000,14.68
2013-08-01,14.80,15.00,14.80,15.00,300,15.00
2013-07-31,14.80,14.80,14.80,14.80,000,14.80
2013-07-30,14.70,14.70,14.70,14.70,000,14.70
2013-07-29,14.90,14.90,14.61,14.61,100,14.61
2013-07-26,14.61,14.99,14.61,14.99,000,14.99
2013-07-25,14.40,15.00,14.30,15.00,2600,15.00
2013-07-24,14.40,14.40,14.29,14.36,500,14.36
2013-07-23,14.85,14.85,14.45,14.45,1900,14.45
2013-07-22,14.90,15.00,14.90,15.00,1400,15.00
2013-07-19,14.17,14.20,14.16,14.20,1300,14.20
2013-07-18,14.00,14.00,14.00,14.00,100,14.00
2013-07-17,14.01,14.01,13.78,13.99,1200,13.99
2013-07-16,14.25,14.40,14.05,14.12,2500,14.12
2013-07-15,12.95,14.12,12.95,14.12,3700,14.12
2013-07-12,12.68,12.80,12.68,12.80,600,12.80
2013-07-11,12.55,12.60,12.55,12.60,100,12.60
2013-07-10,11.70,12.35,11.70,12.35,2300,12.35
2013-07-09,11.85,11.85,11.85,11.85,400,11.85
2013-07-08,12.20,12.60,12.00,12.00,3100,12.00
2013-07-05,11.82,11.82,11.82,11.82,000,11.82
2013-07-04,11.94,12.00,11.94,12.00,200,12.00
2013-07-03,11.90,11.90,11.90,11.90,000,11.90
2013-07-02,11.93,11.94,11.93,11.94,100,11.94
2013-07-01,11.94,11.94,11.94,11.94,000,11.94
2013-06-28,11.70,11.94,11.70,11.94,300,11.94
2013-06-27,11.90,11.90,11.60,11.60,300,11.60
2013-06-26,11.91,11.91,11.91,11.91,000,11.91
2013-06-25,11.91,11.91,11.91,11.91,100,11.91
2013-06-24,11.62,11.62,11.62,11.62,300,11.62
