Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,51.51,51.66,50.98,51.18,700800,51.18
2013-09-26,51.35,52.04,51.26,51.73,1081800,51.73
2013-09-25,51.75,51.88,51.24,51.24,953700,51.24
2013-09-24,51.28,51.94,51.13,51.62,1199200,51.62
2013-09-23,51.64,51.70,50.66,51.17,1505700,51.17
2013-09-20,51.94,52.13,51.24,51.70,4772100,51.70
2013-09-19,51.40,52.09,51.30,51.90,1196500,51.90
2013-09-18,50.54,51.38,50.27,51.30,1457400,51.30
2013-09-17,49.91,50.50,49.80,50.44,724800,50.44
2013-09-16,50.26,50.40,49.81,49.89,1272700,49.89
2013-09-13,49.83,50.09,49.57,49.85,711300,49.85
2013-09-12,49.92,50.08,49.77,49.88,793100,49.88
2013-09-11,49.78,50.14,49.67,49.91,836000,49.91
2013-09-10,49.65,49.99,49.65,49.90,1396900,49.90
2013-09-09,49.52,49.91,49.35,49.50,771300,49.50
2013-09-06,48.91,49.55,48.55,49.31,993000,49.31
2013-09-05,48.72,49.13,48.60,48.83,563700,48.83
2013-09-04,48.52,48.91,48.17,48.77,1113300,48.77
2013-09-03,48.54,48.98,48.36,48.56,2178800,48.56
2013-08-30,48.34,48.52,47.95,47.99,1420700,47.99
2013-08-29,48.46,48.93,48.31,48.38,1152500,48.38
2013-08-28,48.77,49.10,48.30,48.46,1570900,48.46
2013-08-27,49.55,49.55,48.75,48.75,2292900,48.75
2013-08-26,49.56,50.11,49.53,49.93,1511400,49.93
2013-08-23,49.40,49.84,49.27,49.50,962000,49.50
2013-08-22,48.68,49.37,48.65,49.17,1162600,49.17
2013-08-21,48.78,49.01,48.57,48.62,1026300,48.62
2013-08-20,48.69,49.00,48.49,48.90,681100,48.90
2013-08-19,48.61,49.04,48.47,48.59,1158200,48.59
2013-08-16,48.64,49.03,48.47,48.72,1151800,48.72
2013-08-15,48.84,49.06,48.48,48.70,1847400,48.70
2013-08-14,49.33,49.56,49.09,49.25,1105700,49.25
2013-08-13,49.09,49.52,48.73,49.32,2376000,49.32
2013-08-12,48.51,49.15,48.42,49.14,1183400,49.14
2013-08-09,48.21,48.83,48.21,48.76,1071000,48.76
2013-08-08,48.46,48.65,48.17,48.30,1287900,48.30
2013-08-07,48.33,48.50,47.99,48.30,1230300,48.30
2013-08-06,48.53,48.70,48.24,48.55,1398800,48.55
2013-08-05,48.25,48.67,48.11,48.64,697700,48.64
2013-08-02,48.07,48.67,48.00,48.42,1378000,48.42
2013-08-01,48.01,48.53,47.87,48.38,2057900,48.38
2013-07-31,47.68,47.99,47.38,47.84,1446000,47.84
2013-07-30,47.46,47.93,47.40,47.57,1342400,47.57
2013-07-29,47.49,47.94,47.18,47.36,1493700,47.36
2013-07-26,46.70,48.84,46.50,47.32,4259900,47.32
2013-07-25,45.37,46.01,45.17,45.93,1295100,45.93
2013-07-24,45.45,45.65,45.04,45.34,655800,45.34
2013-07-23,45.80,45.88,45.29,45.31,673500,45.31
2013-07-22,45.99,45.99,45.52,45.65,750600,45.65
2013-07-19,45.79,46.00,45.55,45.74,1162100,45.74
2013-07-18,45.71,46.12,45.63,45.88,1055500,45.88
2013-07-17,45.77,45.97,45.45,45.71,1841700,45.71
2013-07-16,45.91,45.97,45.37,45.46,1678000,45.46
2013-07-15,46.04,46.17,45.74,45.90,817400,45.90
2013-07-12,45.85,46.32,45.85,46.04,1373100,46.04
2013-07-11,46.18,46.24,45.42,46.10,1345600,46.10
2013-07-10,45.33,45.66,45.23,45.66,1355700,45.66
2013-07-09,45.44,45.66,45.23,45.29,1080100,45.29
2013-07-08,45.58,45.80,45.21,45.27,1211200,45.27
2013-07-05,45.19,45.57,44.99,45.47,577400,45.47
2013-07-03,44.55,45.26,44.38,45.00,632800,45.00
2013-07-02,44.77,45.50,44.74,44.92,1428800,44.92
2013-07-01,45.01,45.50,44.87,44.91,1324900,44.91
2013-06-28,44.61,44.80,43.99,44.66,3037300,44.66
2013-06-27,44.72,44.93,44.63,44.67,1020500,44.67
2013-06-26,44.96,45.10,44.42,44.42,2326100,44.42
2013-06-25,43.99,44.87,43.74,44.67,2387000,44.67
2013-06-24,43.97,44.05,43.28,43.59,2109100,43.59
2013-06-21,44.00,44.20,43.39,44.19,2309500,44.19
2013-06-20,44.76,44.88,43.68,43.75,1888600,43.75
2013-06-19,45.12,45.49,44.92,44.95,2025100,44.95
2013-06-18,45.28,45.63,44.96,45.00,2053500,45.00
2013-06-17,45.20,45.81,45.00,45.17,1479800,45.17
2013-06-14,45.42,45.59,44.97,45.03,1547200,45.03
2013-06-13,45.24,45.77,45.01,45.38,1591600,45.38
2013-06-12,45.97,46.07,45.10,45.26,1362800,45.26
2013-06-11,45.38,46.19,45.22,45.69,1225200,45.69
2013-06-10,46.25,46.27,45.70,45.74,1157000,45.74
2013-06-07,45.83,46.32,45.51,46.20,1412400,46.20
2013-06-06,45.38,45.65,44.78,45.46,1666700,45.46
2013-06-05,45.71,46.29,45.51,45.55,1173200,45.55
2013-06-04,46.58,46.77,45.86,45.86,1654600,45.86
2013-06-03,47.14,47.18,46.40,46.70,1860600,46.70
2013-05-31,46.96,47.65,46.74,47.04,1918300,47.04
2013-05-30,46.45,47.39,46.39,47.09,1140400,47.09
2013-05-29,47.07,47.15,46.28,46.39,1764000,46.39
2013-05-28,47.78,48.16,47.22,47.31,998300,47.31
2013-05-24,47.39,47.73,47.05,47.40,1309800,47.40
2013-05-23,47.70,47.84,47.08,47.51,1400900,47.51
2013-05-22,48.52,48.57,47.50,47.77,1479800,47.77
2013-05-21,48.40,48.89,48.36,48.36,844900,48.36
2013-05-20,48.70,48.98,48.39,48.44,886600,48.44
2013-05-17,48.94,49.16,48.46,48.70,1470400,48.70
2013-05-16,49.27,49.53,48.81,48.88,1393300,48.88
2013-05-15,48.75,49.62,48.75,49.27,1206900,49.27
2013-05-14,49.01,49.47,48.80,48.97,1666500,48.97
2013-05-13,48.92,49.18,48.67,48.93,703100,48.93
2013-05-10,48.74,49.20,48.63,48.96,1179700,48.96
2013-05-09,48.81,49.06,48.49,48.69,1112300,48.69
