Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,67.75,69.16,67.18,68.05,2144000,68.05
2013-09-26,69.42,69.83,68.05,68.45,1978900,68.45
2013-09-25,67.68,69.94,66.90,68.93,2425500,68.93
2013-09-24,65.70,68.72,65.59,67.36,3110200,67.36
2013-09-23,69.13,69.47,63.50,65.80,6079800,65.80
2013-09-20,70.72,71.50,67.83,70.02,4647800,70.02
2013-09-19,70.12,71.08,67.33,70.59,4768600,70.59
2013-09-18,66.00,69.77,65.26,69.09,4971300,69.09
2013-09-17,62.98,65.98,61.39,65.92,3003800,65.92
2013-09-16,64.29,64.60,62.58,62.76,2406700,62.76
2013-09-13,64.20,64.59,61.62,62.91,2436300,62.91
2013-09-12,65.24,65.95,63.35,63.77,3566200,63.77
2013-09-11,63.13,66.24,62.62,64.58,3523600,64.58
2013-09-10,62.80,64.25,62.18,63.20,2920200,63.20
2013-09-09,62.75,63.09,60.95,61.91,3833500,61.91
2013-09-06,61.00,64.39,60.00,62.40,8792700,62.40
2013-09-05,56.51,59.00,56.11,58.91,5877400,58.91
2013-09-04,52.31,55.96,52.31,55.95,3616600,55.95
2013-09-03,52.65,53.60,51.62,52.37,1824200,52.37
2013-08-30,54.20,54.51,51.67,51.98,2378000,51.98
2013-08-29,51.90,54.69,51.89,53.80,4883100,53.80
2013-08-28,50.97,52.23,50.61,51.67,2013000,51.67
2013-08-27,50.21,52.77,50.20,51.47,2428800,51.47
2013-08-26,51.60,52.14,50.30,51.26,1465400,51.26
2013-08-23,52.71,52.98,51.07,51.83,1822700,51.83
2013-08-22,52.12,52.56,51.64,52.10,1725300,52.10
2013-08-21,49.51,52.54,49.50,51.45,3648700,51.45
2013-08-20,49.57,50.24,49.01,49.64,1149200,49.64
2013-08-19,49.73,50.25,49.00,49.23,1812500,49.23
2013-08-16,47.54,50.40,46.96,50.13,3847500,50.13
2013-08-15,49.46,49.66,47.44,47.75,4568000,47.75
2013-08-14,51.45,52.00,50.02,50.82,2490600,50.82
2013-08-13,50.75,51.77,49.91,51.29,3003400,51.29
2013-08-12,51.41,53.36,50.61,50.75,3549800,50.75
2013-08-09,51.23,51.99,50.55,51.85,2693900,51.85
