Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,24.65,24.91,24.28,24.75,12200,24.75
2013-09-26,23.43,24.00,23.30,23.88,6700,23.88
2013-09-25,23.35,23.65,23.08,23.56,26900,23.56
2013-09-24,22.54,23.23,22.54,23.20,1400,23.20
2013-09-23,22.95,23.17,22.22,22.22,3000,22.22
2013-09-20,22.82,23.00,22.77,22.85,6200,22.85
2013-09-19,22.70,22.71,22.40,22.55,2500,22.55
2013-09-18,22.55,22.66,22.36,22.38,4700,22.38
2013-09-17,22.07,22.31,21.97,22.19,2500,22.19
2013-09-16,22.26,22.41,22.08,22.33,4400,22.33
2013-09-13,22.00,22.25,21.90,22.13,1500,22.13
2013-09-12,21.97,22.80,21.97,22.50,3100,22.50
2013-09-11,22.30,22.30,21.89,21.89,1900,21.89
2013-09-10,22.00,22.37,22.00,22.30,7500,22.30
2013-09-09,21.58,21.58,21.27,21.27,200,21.27
2013-09-06,21.61,21.61,21.20,21.20,1300,21.20
2013-09-05,21.20,21.50,21.20,21.40,800,21.40
2013-09-04,21.05,21.05,20.84,21.05,700,21.05
2013-09-03,20.51,21.09,20.51,20.95,1100,20.95
2013-09-02,20.79,20.79,20.62,20.62,2300,20.62
2013-08-30,20.80,20.80,20.80,20.80,100,20.80
2013-08-29,20.62,20.65,20.41,20.50,2000,20.50
2013-08-28,20.39,20.39,20.00,20.26,3100,20.26
2013-08-27,20.80,20.80,20.25,20.33,1400,20.33
2013-08-26,20.82,21.17,20.82,20.99,1500,20.99
2013-08-23,21.10,21.63,20.89,20.93,15400,20.93
2013-08-22,20.31,21.03,20.31,21.03,6500,21.03
2013-08-21,20.01,20.50,20.01,20.50,500,20.50
2013-08-20,20.27,20.31,20.00,20.11,1300,20.11
2013-08-19,20.55,20.55,20.39,20.39,000,20.39
2013-08-16,20.49,20.67,20.05,20.60,2000,20.60
2013-08-15,21.13,21.13,21.13,21.13,100,21.13
2013-08-14,21.25,21.32,21.12,21.12,2600,21.12
2013-08-13,21.50,21.50,21.26,21.50,2000,21.50
2013-08-12,20.80,20.80,20.62,20.70,2400,20.70
2013-08-09,20.50,20.68,20.40,20.68,1100,20.68
2013-08-08,20.32,20.65,20.32,20.53,2300,20.53
2013-08-07,20.50,20.60,20.28,20.33,2200,20.33
2013-08-06,20.74,21.01,20.73,20.85,1800,20.85
2013-08-05,20.63,21.11,20.63,20.81,400,20.81
2013-08-02,21.20,21.20,20.81,20.81,600,20.81
2013-08-01,21.46,21.46,21.24,21.35,1200,21.35
2013-07-31,20.92,21.27,20.91,20.91,6400,20.91
2013-07-30,21.17,21.17,20.84,21.10,800,21.10
2013-07-29,21.40,21.40,21.00,21.15,1100,21.15
2013-07-26,21.40,21.40,20.99,20.99,400,20.99
2013-07-25,21.27,21.50,20.96,21.50,800,21.50
2013-07-24,20.77,20.77,20.51,20.58,2300,20.58
2013-07-23,21.25,21.50,20.82,20.92,6900,20.92
2013-07-22,22.08,22.24,20.83,21.02,4500,21.02
2013-07-19,22.50,22.75,22.35,22.47,9400,22.47
2013-07-18,22.60,22.69,22.05,22.25,8700,22.25
2013-07-17,20.57,22.00,20.20,21.85,12500,21.85
2013-07-16,21.01,21.10,20.76,20.85,1100,20.85
2013-07-15,21.12,21.12,20.82,20.82,2500,20.82
2013-07-12,20.53,21.00,20.53,21.00,900,21.00
2013-07-11,20.80,20.83,20.58,20.73,1600,20.73
2013-07-10,20.95,21.05,20.48,20.48,2300,20.48
2013-07-09,19.83,19.85,19.83,19.85,1200,19.85
2013-07-08,20.23,20.33,19.97,20.16,3000,20.16
2013-07-05,19.99,20.20,19.88,20.20,2600,20.20
2013-07-04,19.88,19.88,19.88,19.88,100,19.88
2013-07-03,19.40,19.54,19.11,19.54,1600,19.54
2013-07-02,19.50,19.50,19.50,19.50,000,19.50
2013-07-01,19.20,19.50,19.20,19.50,500,19.50
2013-06-28,19.47,19.47,19.37,19.37,1300,19.37
2013-06-27,19.97,19.97,19.65,19.65,900,19.65
2013-06-26,19.24,19.55,19.24,19.55,100,19.55
2013-06-25,18.91,18.91,18.84,18.84,400,18.84
2013-06-24,19.11,19.17,18.27,18.31,5100,18.31
2013-06-21,19.11,19.42,19.11,19.42,1300,19.42
2013-06-20,19.75,19.75,19.41,19.41,500,19.41
2013-06-19,20.05,20.05,19.84,19.86,700,19.86
2013-06-18,20.13,20.13,19.65,20.05,1300,20.05
2013-06-17,19.79,20.10,19.78,20.10,900,20.10
2013-06-14,19.71,20.00,19.71,20.00,200,20.00
2013-06-13,19.18,19.47,19.15,19.47,1800,19.47
2013-06-12,20.00,20.00,20.00,20.00,000,20.00
2013-06-11,19.94,20.06,19.94,20.00,1300,20.00
2013-06-10,20.38,20.50,20.38,20.43,1000,20.43
2013-06-07,19.94,19.99,19.94,19.99,100,19.99
2013-06-06,19.66,19.75,19.49,19.50,1900,19.50
2013-06-05,20.18,20.18,19.88,20.03,2800,20.03
2013-06-04,19.99,20.32,19.99,20.30,2000,20.30
2013-06-03,20.10,20.47,20.02,20.40,4600,20.40
2013-05-31,19.98,20.42,19.98,20.14,1100,20.14
2013-05-30,19.71,20.06,19.71,20.06,1200,20.06
2013-05-29,20.30,20.30,19.55,19.62,2500,19.62
2013-05-28,20.66,20.78,20.55,20.55,1000,20.55
2013-05-27,20.63,20.63,20.38,20.47,2500,20.47
2013-05-24,20.02,20.15,19.71,20.15,3200,20.15
2013-05-23,20.50,20.55,19.91,20.27,5900,20.27
2013-05-22,20.90,21.12,20.80,20.98,4600,20.98
2013-05-21,20.80,21.08,20.70,21.00,7700,21.00
