Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,32.00,32.00,32.00,32.00,000,32.00
2013-09-26,32.00,32.00,32.00,32.00,000,32.00
2013-09-24,32.00,32.00,32.00,32.00,000,32.00
2013-09-23,32.00,32.00,32.00,32.00,000,32.00
2013-09-20,32.00,32.00,32.00,32.00,8600,32.00
2013-09-19,25.55,25.55,25.55,25.55,000,25.55
2013-09-18,25.55,25.55,25.55,25.55,000,25.55
2013-09-17,25.55,25.55,25.55,25.55,000,25.55
2013-09-16,25.55,25.55,25.55,25.55,000,25.55
2013-09-13,25.55,25.55,25.55,25.55,000,25.55
2013-09-12,25.55,25.55,25.55,25.55,000,25.55
2013-09-11,25.55,25.55,25.55,25.55,000,25.55
2013-09-10,25.55,25.55,25.55,25.55,000,25.55
2013-09-09,25.55,25.55,25.55,25.55,000,25.55
2013-09-06,25.55,25.55,25.55,25.55,000,25.55
2013-09-05,25.55,25.55,25.55,25.55,000,25.55
2013-09-04,25.55,25.55,25.55,25.55,000,25.55
2013-09-03,25.55,25.55,25.55,25.55,000,25.55
2013-09-02,25.55,25.55,25.55,25.55,000,25.55
2013-08-30,25.55,25.55,25.55,25.55,10300,25.55
2013-08-29,26.85,26.85,26.85,26.85,19500,26.85
2013-08-28,22.60,22.60,22.60,22.60,000,22.60
2013-08-27,22.60,22.60,22.60,22.60,000,22.60
2013-08-26,22.60,22.60,22.60,22.60,000,22.60
2013-08-23,22.60,22.60,22.60,22.60,000,22.60
2013-08-22,22.60,22.60,22.60,22.60,000,22.60
2013-08-20,22.60,22.60,22.60,22.60,000,22.60
2013-08-19,22.60,22.60,22.60,22.60,000,22.60
2013-08-16,22.60,22.60,22.60,22.60,000,22.60
2013-08-15,22.60,22.60,22.60,22.60,000,22.60
2013-08-13,22.60,22.60,22.60,22.60,000,22.60
2013-08-12,22.60,22.60,22.60,22.60,000,22.60
2013-08-09,22.60,22.60,22.60,22.60,000,22.60
2013-08-08,22.60,22.60,22.60,22.60,000,22.60
2013-08-07,22.60,22.60,22.60,22.60,000,22.60
2013-08-06,22.60,22.60,22.60,22.60,000,22.60
2013-08-05,22.60,22.60,22.60,22.60,000,22.60
2013-08-02,22.60,22.60,22.60,22.60,000,22.60
2013-08-01,22.60,22.60,22.60,22.60,000,22.60
2013-07-31,22.60,22.60,22.60,22.60,000,22.60
2013-07-30,22.60,22.60,22.60,22.60,000,22.60
2013-07-29,22.60,22.60,22.60,22.60,000,22.60
2013-07-25,22.60,22.60,22.60,22.60,000,22.60
2013-07-24,22.60,22.60,22.60,22.60,000,22.60
2013-07-23,22.60,22.60,22.60,22.60,000,22.60
2013-07-22,22.60,22.60,22.60,22.60,000,22.60
2013-07-19,22.60,22.60,22.60,22.60,000,22.60
2013-07-18,22.60,22.60,22.60,22.60,000,22.60
2013-07-17,22.60,22.60,22.60,22.60,000,22.60
2013-07-16,22.60,22.60,22.60,22.60,000,22.60
2013-07-15,22.60,22.60,22.60,22.60,000,22.60
2013-07-12,22.60,22.60,22.60,22.60,000,22.60
2013-07-11,22.60,22.60,22.60,22.60,000,22.60
2013-07-10,22.60,22.60,22.60,22.60,000,22.60
2013-07-09,22.60,22.60,22.60,22.60,000,22.60
2013-07-08,22.60,22.60,22.60,22.60,000,22.60
2013-07-05,22.60,22.60,22.60,22.60,000,22.60
2013-07-04,22.60,22.60,22.60,22.60,000,22.60
2013-07-03,22.60,22.60,22.60,22.60,000,22.60
2013-07-02,22.60,22.60,22.60,22.60,58900,22.60
2013-07-01,22.60,22.60,22.60,22.60,58900,22.60
2013-06-28,5.95,5.95,5.95,5.95,000,5.95
2013-06-27,5.95,5.95,5.95,5.95,000,5.95
2013-06-26,5.95,5.95,5.95,5.95,000,5.95
2013-06-25,5.95,5.95,5.95,5.95,000,5.95
2013-06-24,5.95,5.95,5.95,5.95,000,5.95
2013-06-21,5.95,5.95,5.95,5.95,000,5.95
2013-06-20,5.95,5.95,5.95,5.95,000,5.95
2013-06-19,5.95,5.95,5.95,5.95,000,5.95
2013-06-18,5.95,5.95,5.95,5.95,000,5.95
2013-06-17,5.95,5.95,5.95,5.95,000,5.95
2013-06-14,5.95,5.95,5.95,5.95,000,5.95
2013-06-13,5.95,5.95,5.95,5.95,000,5.95
2013-06-12,5.95,5.95,5.95,5.95,000,5.95
2013-06-11,5.95,5.95,5.95,5.95,000,5.95
2013-06-10,5.95,5.95,5.95,5.95,000,5.95
2013-06-07,5.95,5.95,5.95,5.95,000,5.95
2013-06-05,5.95,5.95,5.95,5.95,000,5.95
2013-06-04,5.95,5.95,5.95,5.95,000,5.95
2013-06-03,5.95,5.95,5.95,5.95,000,5.95
2013-05-31,5.95,5.95,5.95,5.95,000,5.95
2013-05-30,5.95,5.95,5.95,5.95,000,5.95
2013-05-29,5.95,5.95,5.95,5.95,000,5.95
2013-05-28,5.95,5.95,5.95,5.95,000,5.95
2013-05-27,5.95,5.95,5.95,5.95,000,5.95
2013-05-24,5.95,5.95,5.95,5.95,000,5.95
2013-05-23,5.95,5.95,5.95,5.95,000,5.95
2013-05-22,5.95,5.95,5.95,5.95,000,5.95
2013-05-21,5.95,5.95,5.95,5.95,000,5.95
2013-05-20,5.95,5.95,5.95,5.95,000,5.95
2013-05-17,5.95,5.95,5.95,5.95,000,5.95
2013-05-16,5.95,5.95,5.95,5.95,000,5.95
2013-05-15,5.95,5.95,5.95,5.95,000,5.95
2013-05-14,5.95,5.95,5.95,5.95,000,5.95
2013-05-13,5.95,5.95,5.95,5.95,000,5.95
2013-05-10,5.95,5.95,5.95,5.95,000,5.95
2013-05-09,5.95,5.95,5.95,5.95,000,5.95
2013-05-08,5.95,5.95,5.95,5.95,000,5.95
2013-05-07,5.95,5.95,5.95,5.95,000,5.95
2013-05-06,5.95,5.95,5.95,5.95,000,5.95
2013-05-03,5.95,5.95,5.95,5.95,000,5.95
2013-05-02,5.95,5.95,5.95,5.95,000,5.95
2013-05-01,5.95,5.95,5.95,5.95,000,5.95
2013-04-30,5.95,5.95,5.95,5.95,000,5.95
2013-04-29,5.95,5.95,5.95,5.95,000,5.95
