Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,443.00,443.00,438.00,438.00,000,438.00
2013-09-26,420.00,420.00,420.00,420.00,000,420.00
2013-09-25,407.80,408.00,406.50,407.60,52600,407.60
2013-09-24,401.00,403.55,401.00,402.40,7400,402.40
2013-09-23,394.74,394.74,394.74,394.74,000,394.74
2013-09-20,394.74,394.74,394.74,394.74,900,394.74
2013-09-19,391.00,394.50,391.00,394.50,23700,394.50
2013-09-18,388.30,392.00,388.30,389.00,36100,389.00
2013-09-17,381.50,381.50,381.50,381.50,100,381.50
2013-09-16,381.50,381.50,381.50,381.50,000,381.50
2013-09-13,392.00,392.00,380.00,381.50,3300,381.50
2013-09-12,392.00,393.01,392.00,392.00,1500,392.00
2013-09-11,386.30,386.30,386.30,386.30,100,386.30
2013-09-10,386.00,386.30,386.00,386.30,1000,386.30
2013-09-09,373.00,373.00,373.00,373.00,000,373.00
2013-09-06,373.09,373.09,373.00,373.00,800,373.00
2013-09-05,373.00,373.00,373.00,373.00,000,373.00
2013-09-04,371.70,373.00,371.70,373.00,1600,373.00
2013-09-03,345.00,345.00,345.00,345.00,1200,345.00
2013-09-02,359.00,359.00,359.00,359.00,000,359.00
2013-08-30,359.00,359.00,359.00,359.00,200,359.00
2013-08-29,359.00,359.00,359.00,359.00,000,359.00
2013-08-28,359.00,359.00,359.00,359.00,400,359.00
2013-08-27,361.50,361.50,361.50,361.50,300,361.50
2013-08-26,368.50,368.50,368.00,368.00,700,368.00
2013-08-23,367.00,367.00,367.00,367.00,400,367.00
2013-08-22,365.00,365.00,365.00,365.00,200,365.00
2013-08-21,358.00,358.00,358.00,358.00,000,358.00
2013-08-20,358.00,358.00,358.00,358.00,000,358.00
2013-08-19,358.00,358.00,358.00,358.00,000,358.00
2013-08-16,358.00,358.00,358.00,358.00,000,358.00
2013-08-15,358.00,358.00,358.00,358.00,000,358.00
2013-08-14,358.00,358.00,358.00,358.00,700,358.00
2013-08-13,364.00,364.00,360.00,361.00,16300,361.00
2013-08-12,355.00,359.60,355.00,359.20,29700,359.20
2013-08-09,348.00,348.00,348.00,348.00,600,348.00
2013-08-08,350.00,350.00,350.00,350.00,000,350.00
2013-08-07,349.00,350.00,349.00,350.00,1600,350.00
2013-08-06,348.30,348.30,348.30,348.30,200,348.30
2013-08-05,358.50,358.50,358.50,358.50,000,358.50
2013-08-02,358.50,358.50,358.50,358.50,000,358.50
2013-08-01,358.50,358.50,358.50,358.50,500,358.50
2013-07-31,356.20,356.20,356.20,356.20,400,356.20
2013-07-30,354.98,354.98,354.98,354.98,100,354.98
2013-07-29,358.50,358.50,354.98,354.98,5200,354.98
2013-07-26,342.00,342.00,342.00,342.00,000,342.00
2013-07-25,342.00,342.00,342.00,342.00,000,342.00
2013-07-24,342.00,342.00,342.00,342.00,000,342.00
2013-07-23,344.00,344.00,342.00,342.00,300,342.00
2013-07-22,363.40,363.40,363.40,363.40,000,363.40
2013-07-19,363.40,363.40,363.40,363.40,000,363.40
2013-07-18,361.75,363.40,361.75,363.40,200,363.40
2013-07-17,362.11,369.50,362.11,369.50,1000,369.50
2013-07-16,342.60,342.60,342.60,342.60,1000,342.60
2013-07-15,345.80,348.20,345.80,348.20,7100,348.20
2013-07-12,347.50,349.31,347.50,348.51,2200,348.51
2013-07-11,347.50,347.50,347.50,347.50,200,347.50
2013-07-10,340.00,340.00,340.00,340.00,000,340.00
2013-07-09,338.00,340.00,338.00,340.00,100,340.00
2013-07-08,336.18,336.18,336.18,336.18,000,336.18
2013-07-05,336.18,336.18,336.18,336.18,100,336.18
2013-07-04,333.70,333.70,333.70,333.70,000,333.70
2013-07-03,332.50,333.70,332.50,333.70,13500,333.70
2013-07-02,326.12,326.12,326.12,326.12,100,326.12
2013-07-01,324.70,324.70,324.70,324.70,000,324.70
2013-06-28,340.00,340.00,324.70,324.70,100,324.70
2013-06-27,334.00,339.49,333.53,339.49,400,339.49
2013-06-26,333.53,333.53,333.53,333.53,200,333.53
2013-06-25,329.12,329.12,329.12,329.12,200,329.12
2013-06-24,321.70,321.70,321.70,321.70,7600,321.70
2013-06-21,335.18,335.18,335.18,335.18,200,335.18
2013-06-20,343.25,343.25,343.25,343.25,000,343.25
2013-06-19,343.25,343.25,343.25,343.25,000,343.25
2013-06-18,343.25,343.25,343.25,343.25,800,343.25
2013-06-17,346.55,346.55,346.55,346.55,000,346.55
2013-06-14,346.55,346.55,346.55,346.55,000,346.55
2013-06-13,346.55,346.55,346.55,346.55,000,346.55
2013-06-12,346.55,346.55,346.55,346.55,000,346.55
2013-06-11,346.55,346.55,346.55,346.55,000,346.55
2013-06-10,346.55,346.55,346.55,346.55,28000,346.55
2013-06-07,336.10,336.10,336.10,336.10,000,336.10
2013-06-06,336.10,336.10,336.10,336.10,000,336.10
2013-06-05,336.10,336.10,336.10,336.10,000,336.10
2013-06-04,336.10,336.10,336.10,336.10,000,336.10
2013-06-03,334.50,334.50,334.50,334.50,3100,334.50
2013-05-31,338.28,338.28,338.28,338.28,000,338.28
2013-05-30,338.28,338.28,338.28,338.28,1000,338.28
2013-05-29,328.70,328.70,328.70,328.70,1000,328.70
2013-05-28,332.99,335.00,332.99,335.00,4300,335.00
2013-05-27,331.50,331.50,331.50,331.50,000,331.50
2013-05-24,331.50,331.50,331.50,331.50,1600,331.50
2013-05-23,324.70,324.70,324.70,324.70,17000,324.70
2013-05-22,334.70,334.70,328.40,328.40,17400,328.40
2013-05-21,332.10,334.00,332.10,334.00,26000,334.00
2013-05-20,319.59,319.59,319.59,319.59,000,319.59
2013-05-17,319.59,319.59,319.59,319.59,000,319.59
2013-05-16,319.59,319.59,319.59,319.59,000,319.59
2013-05-15,319.59,319.59,319.59,319.59,000,319.59
2013-05-14,319.59,319.59,319.59,319.59,000,319.59
2013-05-13,319.59,319.59,319.59,319.59,000,319.59
2013-05-10,319.59,319.59,319.59,319.59,000,319.59
2013-05-09,314.00,314.00,314.00,319.59,000,319.59
2013-05-08,319.59,319.59,319.59,319.59,15300,319.59
2013-05-07,313.10,314.80,313.10,314.80,17500,314.80
2013-05-06,306.50,306.50,306.50,306.50,300,306.50
2013-05-03,303.00,303.00,303.00,303.00,000,303.00
2013-05-02,303.00,303.00,303.00,303.00,500,303.00
2013-05-01,298.25,298.25,298.25,298.25,000,298.25
2013-04-30,298.25,298.25,298.25,298.25,000,298.25
2013-04-29,305.75,305.75,298.25,298.25,2700,298.25
2013-04-26,305.75,305.75,305.75,305.75,000,305.75
2013-04-25,305.75,305.75,305.75,305.75,3200,305.75
2013-04-24,289.92,289.92,289.92,289.92,000,289.92
2013-04-23,289.92,289.92,289.92,289.92,000,289.92
2013-04-22,289.92,289.92,289.92,289.92,000,289.92
2013-04-19,289.92,289.92,289.92,289.92,300,289.92
2013-04-18,290.46,290.46,290.46,290.46,000,290.46
2013-04-17,290.46,290.46,290.46,290.46,000,290.46
2013-04-16,290.46,290.46,290.46,290.46,1700,290.46
2013-04-15,294.63,295.00,293.80,295.00,60600,295.00
2013-04-12,296.05,296.05,296.05,296.05,000,296.05
2013-04-11,295.09,296.05,295.09,296.05,26600,296.05
2013-04-10,293.20,293.20,292.50,292.85,21800,292.85
2013-04-09,283.76,290.50,283.76,290.37,6900,290.37
2013-04-08,283.76,283.76,283.76,284.50,1000,284.50
2013-04-05,284.50,284.50,284.50,284.50,400,284.50
2013-04-04,290.75,290.75,290.75,290.75,10000,290.75
2013-04-03,289.00,289.00,288.00,288.00,10100,288.00
2013-04-02,291.70,291.70,291.70,291.70,6000,291.70
2013-04-01,289.40,289.40,289.40,289.40,000,289.40
2013-03-29,289.40,289.40,289.40,289.40,000,289.40
2013-03-28,289.40,289.40,289.40,289.40,000,289.40
2013-03-27,289.40,289.40,289.40,289.40,000,289.40
2013-03-26,289.40,289.40,289.40,289.40,000,289.40
2013-03-25,289.40,289.40,289.40,289.40,6900,289.40
2013-03-22,284.80,287.50,284.80,286.80,19300,286.80
2013-03-21,292.28,292.28,292.28,292.28,000,292.28
2013-03-20,292.28,292.28,292.28,292.28,000,292.28
2013-03-19,292.28,292.28,292.28,292.28,000,292.28
2013-03-18,292.28,292.28,292.28,292.28,000,292.28
2013-03-15,292.28,292.28,292.28,292.28,000,292.28
2013-03-14,292.28,292.28,292.28,292.28,000,292.28
2013-03-13,292.28,292.28,292.28,292.28,000,292.28
2013-03-12,277.00,277.00,277.00,292.28,000,292.28
2013-03-11,292.28,292.28,292.28,292.28,000,292.28
2013-03-08,292.28,292.28,292.28,292.28,000,292.28
2013-03-07,292.28,292.28,292.28,292.28,000,292.28
2013-03-06,292.28,292.28,292.28,292.28,100,292.28
2013-03-05,293.00,293.20,293.00,293.20,1000,293.20
2013-03-04,275.00,275.00,275.00,275.00,000,275.00
2013-03-01,275.00,275.00,275.00,275.00,000,275.00
2013-02-28,275.00,275.00,275.00,275.00,1200,275.00
2013-02-27,268.45,268.45,268.45,268.45,000,268.45
2013-02-26,268.45,268.45,268.45,268.45,000,268.45
2013-02-25,268.45,268.45,268.45,268.45,000,268.45
2013-02-22,268.45,268.45,268.45,268.45,900,268.45
2013-02-21,265.20,265.90,265.20,265.90,2000,265.90
2013-02-20,269.80,269.80,269.80,269.80,000,269.80
2013-02-19,269.80,269.80,269.80,269.80,000,269.80
2013-02-18,269.80,269.80,269.80,269.80,000,269.80
2013-02-15,269.80,269.80,269.80,269.80,000,269.80
2013-02-14,269.80,269.80,269.80,269.80,000,269.80
2013-02-13,269.80,269.80,269.80,269.80,66500,269.80
2013-02-12,266.00,266.00,266.00,266.00,000,266.00
2013-02-11,264.00,266.00,264.00,266.00,200,266.00
2013-02-08,260.00,260.00,260.00,260.00,1500,260.00
2013-02-07,256.00,258.00,255.00,257.20,3700,257.20
2013-02-06,253.20,253.20,253.20,253.20,000,253.20
2013-02-05,253.20,253.20,253.20,253.20,000,253.20
2013-02-04,253.20,253.20,253.20,253.20,000,253.20
2013-02-01,253.20,253.20,253.20,253.20,000,253.20
2013-01-31,253.20,253.20,253.20,253.20,000,253.20
2013-01-30,253.20,253.20,253.20,253.20,000,253.20
2013-01-29,265.00,265.00,253.20,253.20,46900,253.20
2013-01-28,260.50,260.50,259.00,260.00,6200,260.00
2013-01-25,257.14,257.14,257.14,257.14,000,257.14
2013-01-24,257.14,257.14,257.14,257.14,1700,257.14
2013-01-23,251.70,253.30,249.00,251.00,2000,251.00
2013-01-22,246.70,246.70,246.70,246.70,000,246.70
2013-01-21,246.70,246.70,246.70,246.70,000,246.70
2013-01-18,246.70,246.70,246.70,246.70,000,246.70
2013-01-17,246.70,246.70,246.70,246.70,000,246.70
2013-01-16,246.70,246.70,246.70,246.70,000,246.70
2013-01-15,246.70,246.70,246.70,246.70,1700,246.70
2013-01-14,255.00,255.00,255.00,255.00,000,255.00
2013-01-11,255.00,255.00,255.00,255.00,000,255.00
2013-01-10,255.00,255.00,255.00,255.00,000,255.00
2013-01-09,255.00,255.00,255.00,255.00,000,255.00
2013-01-08,255.00,255.00,255.00,255.00,000,255.00
2013-01-07,255.00,255.00,255.00,255.00,000,255.00
2013-01-04,255.00,255.00,255.00,255.00,000,255.00
2013-01-03,255.00,255.00,255.00,255.00,700,255.00
2013-01-02,251.00,251.00,251.00,251.00,000,251.00
2013-01-01,251.00,251.00,251.00,251.00,000,251.00
2012-12-31,251.00,251.00,251.00,251.00,000,251.00
2012-12-28,251.00,251.00,251.00,251.00,000,251.00
2012-12-27,251.00,251.00,251.00,251.00,000,251.00
2012-12-26,251.00,251.00,251.00,251.00,000,251.00
2012-12-25,251.00,251.00,251.00,251.00,000,251.00
2012-12-24,251.00,251.00,251.00,251.00,000,251.00
2012-12-21,251.00,251.00,251.00,251.00,100,251.00
2012-12-20,251.00,251.00,251.00,251.00,000,251.00
2012-12-19,251.00,251.00,251.00,251.00,000,251.00
2012-12-18,251.00,251.00,251.00,251.00,1000,251.00
2012-12-17,249.60,250.00,249.60,250.00,200,250.00
2012-12-14,248.00,248.00,248.00,248.00,000,248.00
2012-12-13,248.00,248.00,248.00,248.00,000,248.00
2012-12-12,247.94,247.94,247.94,247.94,000,247.94
2012-12-11,247.94,247.94,247.94,247.94,000,247.94
2012-12-10,247.94,247.94,247.94,247.94,10000,247.94
2012-12-07,247.27,247.27,247.27,247.27,000,247.27
2012-12-06,245.48,247.27,245.48,247.27,30000,247.27
2012-12-05,245.00,245.45,245.00,245.45,10000,245.45
2012-12-04,244.00,245.50,244.00,245.50,3100,245.50
2012-12-03,237.89,240.67,237.89,240.67,20000,240.67
2012-11-30,244.00,244.00,244.00,244.00,000,244.00
2012-11-29,244.00,244.00,244.00,244.00,500,244.00
2012-11-28,244.94,244.94,244.94,244.94,000,244.94
2012-11-27,244.94,244.94,244.94,244.94,000,244.94
2012-11-26,244.94,244.94,244.94,244.94,10000,244.94
2012-11-23,239.77,239.77,239.77,239.77,000,239.77
2012-11-22,239.77,239.77,239.77,239.77,000,239.77
2012-11-21,239.77,239.77,239.77,239.77,000,239.77
2012-11-20,239.30,239.77,239.30,239.77,15000,239.77
2012-11-19,239.74,239.74,239.74,239.74,000,239.74
2012-11-16,239.74,239.74,239.74,239.74,000,239.74
2012-11-15,238.50,239.74,238.50,239.74,10000,239.74
2012-11-14,237.10,237.10,236.80,236.80,8400,236.80
2012-11-13,235.38,235.38,235.38,235.38,10000,235.38
2012-11-12,231.00,231.80,231.00,231.80,17600,231.80
2012-11-09,227.00,227.00,227.00,227.00,000,227.00
2012-11-08,227.00,227.00,227.00,227.00,000,227.00
2012-11-07,227.00,227.00,227.00,227.00,5400,227.00
2012-11-06,226.00,226.00,226.00,226.00,000,226.00
2012-11-05,221.20,221.20,221.20,221.20,000,221.20
2012-11-02,221.20,221.20,221.20,221.20,000,221.20
2012-11-01,220.35,221.20,220.35,221.20,21100,221.20
2012-10-31,218.11,218.12,218.11,218.12,10000,218.12
2012-10-30,216.50,216.50,216.50,216.50,000,216.50
2012-10-29,216.50,216.50,216.50,216.50,000,216.50
2012-10-26,216.50,216.50,216.50,216.50,000,216.50
2012-10-25,216.10,216.10,216.10,216.10,000,216.10
2012-10-24,216.15,216.15,216.15,216.15,5000,216.15
2012-10-23,213.90,218.09,213.90,216.99,125200,216.99
2012-10-22,205.00,205.00,205.00,205.00,000,205.00
2012-10-19,205.00,205.00,205.00,205.00,000,205.00
2012-10-18,205.00,205.00,205.00,205.00,000,205.00
2012-10-17,205.00,205.00,205.00,205.00,000,205.00
2012-10-16,205.00,205.00,205.00,205.00,000,205.00
2012-10-15,203.70,203.70,203.70,203.70,000,203.70
2012-10-12,203.70,203.70,203.70,203.70,000,203.70
2012-10-11,203.70,203.70,203.70,203.70,000,203.70
2012-10-10,203.70,203.70,203.70,203.70,000,203.70
2012-10-09,203.70,203.70,203.70,203.70,43000,203.70
2012-10-08,208.73,208.73,208.73,208.73,000,208.73
2012-10-05,208.73,208.73,208.73,208.73,000,208.73
2012-10-04,208.73,208.73,208.73,208.73,000,208.73
2012-10-03,208.90,208.90,208.73,208.73,48000,208.73
2012-10-02,203.12,203.12,203.12,203.12,000,203.12
2012-10-01,203.12,203.12,203.12,203.12,000,203.12
2012-09-28,203.12,203.12,203.12,203.12,000,203.12
2012-09-27,203.12,203.12,203.12,203.12,000,203.12
2012-09-26,203.12,203.12,203.12,203.12,000,203.12
