Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,37.14,37.33,36.51,36.80,1768900,36.80
2013-09-26,37.32,37.63,37.01,37.36,1844400,37.36
2013-09-25,37.25,37.26,36.74,36.87,2881700,36.87
2013-09-24,36.94,37.50,36.71,37.48,2819700,37.48
2013-09-23,36.65,36.82,36.12,36.69,3442800,36.69
2013-09-20,38.05,38.10,36.01,36.59,3059700,36.59
2013-09-19,36.67,37.97,36.40,37.93,3490300,37.93
2013-09-18,35.17,36.45,35.11,36.22,1644900,36.22
2013-09-17,34.86,35.50,34.61,35.19,1531700,35.19
2013-09-16,34.86,35.14,34.55,34.91,4698500,34.91
2013-09-13,34.50,34.60,34.04,34.38,1564400,34.38
2013-09-12,34.44,34.64,33.69,34.40,1780800,34.40
2013-09-11,35.11,35.19,34.40,34.50,2240200,34.50
2013-09-10,35.40,35.88,34.85,35.00,2561600,35.00
2013-09-09,34.33,35.36,34.33,35.17,1989700,35.17
2013-09-06,35.10,35.10,33.63,34.24,3127600,34.24
2013-09-05,33.29,35.24,33.10,34.67,5097200,34.67
2013-09-04,32.16,33.51,31.79,32.98,2443700,32.98
2013-09-03,32.20,32.50,31.62,32.02,1743500,32.02
2013-08-30,32.25,32.71,31.86,32.00,1642900,32.00
2013-08-29,31.21,32.25,31.15,32.01,4330900,32.01
2013-08-28,32.03,32.62,31.82,32.41,1339800,32.41
2013-08-27,32.66,32.97,31.95,32.14,1807000,32.14
2013-08-26,33.60,33.76,33.15,33.24,1064700,33.24
2013-08-23,33.56,33.62,33.01,33.44,823300,33.44
2013-08-22,32.95,33.82,32.80,33.30,994000,33.30
2013-08-21,32.90,33.43,32.58,32.73,1018400,32.73
2013-08-20,32.40,32.98,32.30,32.77,863400,32.77
2013-08-19,32.90,33.08,31.77,32.38,3267900,32.38
2013-08-16,32.99,33.40,32.79,33.12,1265500,33.12
2013-08-15,33.27,33.73,32.82,33.00,1859800,33.00
2013-08-14,33.66,34.79,33.00,33.70,3401200,33.70
2013-08-13,32.61,33.56,32.33,33.20,1326200,33.20
2013-08-12,32.71,32.89,32.31,32.68,1316900,32.68
2013-08-09,32.86,33.28,32.68,33.04,1083200,33.04
2013-08-08,33.00,33.24,32.39,33.00,1333000,33.00
2013-08-07,32.87,32.94,31.92,32.76,1564600,32.76
2013-08-06,33.49,33.57,32.80,33.35,1492700,33.35
2013-08-05,33.58,33.81,33.40,33.50,1415200,33.50
2013-08-02,33.06,33.85,33.03,33.78,2531400,33.78
2013-08-01,33.10,34.27,32.80,33.72,4176500,33.72
2013-07-31,32.13,32.63,32.00,32.51,3150700,32.51
2013-07-30,32.05,32.67,30.39,32.48,3917100,32.48
2013-07-29,33.00,33.31,31.86,31.99,2477600,31.99
2013-07-26,31.60,33.66,31.35,33.42,3858800,33.42
2013-07-25,32.98,33.15,31.25,31.81,4416000,31.81
2013-07-24,31.35,31.59,29.97,30.86,4665400,30.86
2013-07-23,31.50,31.82,31.35,31.45,3267400,31.45
2013-07-22,31.30,31.57,31.16,31.46,2407800,31.46
2013-07-19,30.92,31.46,30.56,31.20,2370100,31.20
2013-07-18,31.03,31.03,30.66,30.86,2659700,30.86
2013-07-17,29.52,31.09,29.52,31.06,2243800,31.06
2013-07-16,30.79,30.83,29.16,29.56,3519000,29.56
2013-07-15,30.80,31.24,30.75,30.78,2110600,30.78
2013-07-12,30.60,31.11,30.39,30.75,2807100,30.75
2013-07-11,29.98,30.68,29.98,30.39,5242400,30.39
2013-07-10,28.47,29.78,28.40,29.49,5213900,29.49
2013-07-09,28.11,28.60,28.11,28.34,3358600,28.34
2013-07-08,27.78,28.01,27.49,28.00,1684100,28.00
2013-07-05,27.93,28.08,27.45,27.55,939600,27.55
2013-07-03,27.56,27.70,27.32,27.49,957300,27.49
2013-07-02,28.05,28.21,27.58,27.70,2087600,27.70
2013-07-01,28.00,28.64,27.81,28.06,3111000,28.06
2013-06-28,27.27,27.90,27.08,27.65,2203200,27.65
2013-06-27,27.60,27.98,27.16,27.22,1340300,27.22
2013-06-26,27.13,27.65,27.10,27.42,2603900,27.42
2013-06-25,26.14,26.85,26.06,26.76,1678100,26.76
2013-06-24,25.89,26.22,25.38,26.00,2796500,26.00
2013-06-21,26.05,26.45,25.82,26.41,3326600,26.41
2013-06-20,26.95,26.95,25.55,25.98,4244400,25.98
2013-06-19,27.57,27.67,27.09,27.15,1193200,27.15
2013-06-18,27.50,27.95,27.43,27.64,1485500,27.64
2013-06-17,26.99,27.54,26.80,27.30,2658200,27.30
2013-06-14,26.49,26.68,26.05,26.52,1931300,26.52
2013-06-13,25.98,26.64,25.96,26.47,2643400,26.47
2013-06-12,26.52,26.94,25.84,26.01,1854500,26.01
2013-06-11,26.31,26.32,25.62,26.07,2528600,26.07
2013-06-10,26.96,27.08,26.55,26.67,1095900,26.67
2013-06-07,26.60,27.12,26.03,27.08,1779300,27.08
2013-06-06,25.79,26.29,25.72,26.19,1025400,26.19
2013-06-05,26.37,26.59,25.74,25.98,1927400,25.98
2013-06-04,27.06,27.38,26.30,26.49,1758300,26.49
2013-06-03,27.20,27.30,26.67,26.99,1524400,26.99
2013-05-31,27.22,27.57,26.96,27.16,1516200,27.16
2013-05-30,26.96,27.51,26.92,27.37,1885400,27.37
2013-05-29,26.62,27.00,26.21,26.93,2289900,26.93
