Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,28.09,28.69,27.53,28.12,2727000,28.12
2013-09-26,27.06,28.84,27.06,28.46,4463900,28.46
2013-09-25,26.75,27.40,26.68,27.00,3395500,27.00
2013-09-24,26.96,27.40,26.48,26.57,2731600,26.57
2013-09-23,27.34,27.69,26.71,27.01,3693800,27.01
2013-09-20,28.86,28.89,26.75,27.08,4003200,27.08
2013-09-19,28.52,29.30,28.31,28.71,3596400,28.71
2013-09-18,27.00,28.65,26.88,28.45,3928600,28.45
2013-09-17,26.50,27.17,25.81,27.03,2633500,27.03
2013-09-16,26.91,27.90,26.21,26.42,4374600,26.42
2013-09-13,24.54,26.85,23.54,26.83,11231300,26.83
2013-09-12,23.53,25.18,23.51,24.63,6355000,24.63
2013-09-11,23.65,24.30,23.26,23.43,2766100,23.43
2013-09-10,24.01,24.15,23.45,23.84,2276400,23.84
2013-09-09,24.30,24.30,23.35,23.89,2382300,23.89
2013-09-06,24.50,24.56,23.73,24.01,1694700,24.01
2013-09-05,23.51,24.79,23.51,24.32,2191900,24.32
2013-09-04,23.79,24.15,23.12,23.52,1051800,23.52
2013-09-03,23.40,24.17,23.31,23.67,1255500,23.67
2013-08-30,23.72,23.85,22.88,23.19,1997600,23.19
2013-08-29,23.84,24.44,23.81,23.96,1366800,23.96
2013-08-28,22.85,23.99,22.81,23.72,1239500,23.72
2013-08-27,23.51,23.85,22.76,23.01,1664300,23.01
2013-08-26,23.90,24.94,23.76,24.12,2645100,24.12
2013-08-23,23.17,23.85,23.14,23.76,1669400,23.76
2013-08-22,22.92,23.50,22.69,23.35,1570700,23.35
2013-08-21,21.46,23.19,21.40,22.63,2995300,22.63
2013-08-20,21.40,21.76,21.10,21.50,1119100,21.50
2013-08-19,21.32,21.94,21.08,21.40,2130300,21.40
2013-08-16,21.44,21.44,21.00,21.24,1604800,21.24
2013-08-15,22.30,22.33,21.08,21.44,2599000,21.44
2013-08-14,23.02,23.18,22.10,22.33,3093200,22.33
2013-08-13,23.00,23.57,22.50,23.20,2884000,23.20
2013-08-12,22.96,23.53,22.61,22.97,3813800,22.97
2013-08-09,23.39,23.70,22.00,23.29,11983600,23.29
2013-08-08,24.43,25.80,24.43,25.40,5066200,25.40
2013-08-07,25.05,25.16,23.71,23.94,3361400,23.94
2013-08-06,25.14,26.37,24.96,25.48,5458500,25.48
2013-08-05,25.00,25.68,24.31,25.27,3657100,25.27
2013-08-02,24.50,25.26,23.80,25.02,7013800,25.02
2013-08-01,22.58,24.70,22.58,23.78,5033200,23.78
2013-07-31,20.63,22.38,20.60,22.18,4193100,22.18
2013-07-30,21.34,21.34,20.41,20.81,1331100,20.81
2013-07-29,21.09,21.79,20.92,21.01,3180100,21.01
2013-07-26,20.43,21.92,20.43,21.27,4145600,21.27
